
Intensity Center Ch=1 Img=1
 ==================== 
Time [s],Intensity Center::1000000258,Intensity Center::1000000284,Intensity Center::1000000374,Intensity Center::1000000425,Intensity Center::1000000426,Intensity Center::1000000428,Intensity Center::1000000430,Intensity Center::1000000446,Intensity Center::1000000447,Intensity Center::1000000449,Intensity Center::1000000453,Intensity Center::1000000466,Intensity Center::1000000468,Intensity Center::1000000471,Intensity Center::1000000475,Intensity Center::1000000483,Intensity Center::1000000486,Intensity Center::1000000489,Intensity Center::1000000498,Intensity Center::1000000502,Intensity Center::1000000503,Intensity Center::1000000509,Intensity Center::1000000516,Intensity Center::1000000524,Intensity Center::1000000527,Intensity Center::1000000528,Intensity Center::1000000530,Intensity Center::1000000534,Intensity Center::1000000545,Intensity Center::1000000550,Intensity Center::1000000551,Intensity Center::1000000553,Intensity Center::1000000562,Intensity Center::1000000570,Intensity Center::1000000571,Intensity Center::1000000572,Intensity Center::1000000575,Intensity Center::1000000579,Intensity Center::1000000580,Intensity Center::1000000582,Intensity Center::1000000583,Intensity Center::1000000585,Intensity Center::1000000589,Intensity Center::1000000590,Intensity Center::1000000596,Intensity Center::1000000597,Intensity Center::1000000601,Intensity Center::1000000602,Intensity Center::1000000603,Intensity Center::1000000606,Intensity Center::1000000607,Intensity Center::1000000609,Intensity Center::1000000613,Intensity Center::1000000614,Intensity Center::1000000615,Intensity Center::1000000617,Intensity Center::1000000618,Intensity Center::1000000619,Intensity Center::1000000624,Intensity Center::1000000626,Intensity Center::1000000630,Intensity Center::1000000631,Intensity Center::1000000636,Intensity Center::1000000638,Intensity Center::1000000639,Intensity Center::1000000640,Intensity Center::1000000642,Intensity Center::1000000644,Intensity Center::1000000647,Intensity Center::1000000650,Intensity Center::1000000651,Intensity Center::1000000654,Intensity Center::1000000656,Intensity Center::1000000660,Intensity Center::1000000663,Intensity Center::1000000668,Intensity Center::1000000669,Intensity Center::1000000670,Intensity Center::1000000672,Intensity Center::1000000673,Intensity Center::1000000675,Intensity Center::1000000678,Intensity Center::1000000679,Intensity Center::1000000685,Intensity Center::1000000687,Intensity Center::1000000690,Intensity Center::1000000693,Intensity Center::1000000695,Intensity Center::1000000696,Intensity Center::1000000700,Intensity Center::1000000702,Intensity Center::1000000704,Intensity Center::1000000707,Intensity Center::1000000712,Intensity Center::1000000713,Intensity Center::1000000716,Intensity Center::1000000733,Intensity Center::1000000741,Intensity Center::1000000744,Intensity Center::1000000745,Intensity Center::1000000748,Intensity Center::1000000751,Intensity Center::1000000753,Intensity Center::1000001050,Intensity Center::1000001234,Intensity Center::1000001278,Intensity Center::1000001290,Intensity Center::1000001299,Intensity Center::1000001301,Intensity Center::1000001312,Intensity Center::1000001315,Intensity Center::1000001323,Intensity Center::1000001335,Intensity Center::1000001348,Intensity Center::1000001349,Intensity Center::1000001372,Intensity Center::1000001375,Intensity Center::1000001389,Intensity Center::1000001392,Intensity Center::1000001396,Intensity Center::1000001406,Intensity Center::1000001418,Intensity Center::1000001424,Intensity Center::1000001430,Intensity Center::1000001442,Intensity Center::1000001455,Intensity Center::1000001461,Intensity Center::1000001472,Intensity Center::1000001474,Intensity Center::1000001476,Intensity Center::1000001482,Intensity Center::1000001483,Intensity Center::1000001484,Intensity Center::1000001491,Intensity Center::1000001497,Intensity Center::1000001500,Intensity Center::1000001501,Intensity Center::1000001502,Intensity Center::1000001531,Intensity Center::1000001532,Intensity Center::1000001535,Intensity Center::1000001545,Intensity Center::1000001546,Intensity Center::1000001558,Intensity Center::1000001567,Intensity Center::1000001568,Intensity Center::1000001575,Intensity Center::1000001577,Intensity Center::1000001589,Intensity Center::1000001595,Intensity Center::1000001600,Intensity Center::1000001614,Intensity Center::1000001646,Intensity Center::1000001682,Intensity Center::1000001778,Intensity Center::1000002036,Intensity Center::1000002040,Intensity Center::1000002041,Intensity Center::1000002050,Intensity Center::1000002060,Intensity Center::1000002071,Intensity Center::1000002083,Intensity Center::1000002166,Intensity Center::1000002179,Intensity Center::1000002198,Intensity Center::1000002199,Intensity Center::1000002202,Intensity Center::1000002990,Intensity Center::1000003057,Intensity Center::1000003075,Intensity Center::1000003182,Intensity Center::1000003935,Intensity Center::1000004026,Intensity Center::1000004033,Intensity Center::1000004049,Intensity Center::1000004102,Intensity Center::1000004130,Intensity Center::1000004133,Intensity Center::1000005595,Intensity Center::1000006466,Intensity Center::1000006503,Intensity Center::1000006559,Intensity Center::1000006602,Intensity Center::1000007182,Intensity Center::1000008245,Intensity Center::1000008415,Intensity Center::1000009103,Intensity Center::1000009707,Intensity Center::1000009746,Intensity Center::1000010825,Intensity Center::1000011680,Intensity Center::1000011823,Intensity Center::1000012274,Intensity Center::1000013351,Intensity Center::1000013503,Intensity Center::1000013531,Intensity Center::1000014041,Intensity Center::1000015481,Intensity Center::1000015769,Intensity Center::1000015908,Intensity Center::1000016698,Intensity Center::1000016740,Intensity Center::1000018335,Intensity Center::1000018939,Intensity Center::1000019158,Intensity Center::1000020400,Intensity Center::1000021144,Intensity Center::1000021495,Intensity Center::1000022761,Intensity Center::1000023761,Intensity Center::1000023862,Intensity Center::1000025547,Intensity Center::1000028961,Intensity Center::1000030619,Intensity Center::1000031381,Intensity Center::1000032707,Intensity Center::1000036074,Intensity Center::1000036304,Intensity Center::1000037818,Intensity Center::1000037862,Intensity Center::1000037883,Intensity Center::1000038583,Intensity Center::1000040837,Intensity Center::1000040853,Intensity Center::1000042023,Intensity Center::1000043188,Intensity Center::1000044563,Intensity Center::1000045799,Intensity Center::1000047643,Intensity Center::1000047655,Intensity Center::1000048134,Intensity Center::1000048895,Intensity Center::1000048953,Intensity Center::1000049138,Intensity Center::1000051731,Intensity Center::1000052633,Intensity Center::1000052721,Intensity Center::1000055847,Intensity Center::1000056223,Intensity Center::1000060644,Intensity Center::1000061640,Intensity Center::1000061743,Intensity Center::1000063781,Intensity Center::1000069762,Intensity Center::1000069941,Intensity Center::1000073066,Intensity Center::1000073128,Intensity Center::1000073135,Intensity Center::1000073162,Intensity Center::1000073196,Intensity Center::1000076131,Intensity Center::1000080456,Intensity Center::1000083231,
0.000000,770,771,918,1444,1013,1455,1105,928,896,2134,929,1542,1361,1222,1269,1398,1360,1073,1421,1057,1201,1288,1003,1915,2370,1985,1435,1985,1461,1068,1130,2274,1031,938,2514,1845,1190,1424,1218,2406,1202,2026,1024,880,1345,1315,1431,1282,2228,928,1544,1949,1985,1493,1802,1538,2089,1363,2293,1506,1640,2424,1955,1740,1261,1472,3265,1459,1535,1062,1587,3000,1178,920,1303,1340,2656,1099,1548,1636,1529,1949,1320,1591,1272,1101,2194,1451,1500,1298,1546,1210,1006,1776,1378,3903,1567,2244,1305,1843,1977,1860,862,984,1028,1178,1589,1306,864,1418,1172,1050,1521,1586,1170,975,1930,1420,1493,2064,2015,2013,1132,911,1421,1412,1152,1026,1138,1075,1136,1312,2067,1567,972,902,1214,1322,1263,1569,1243,1525,901,835,715,1034,2711,1445,960,971,1053,1068,1510,2423,1057,1144,1495,869,1363,1330,948,853,983,1330,1249,887,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.000000,857,,869,1740,1127,1396,1047,962,964,1533,889,1321,1319,1218,1131,1405,1411,962,1172,966,1187,1096,948,1902,2429,1828,1505,1548,1762,1048,983,2554,1049,808,3162,1664,1495,1250,1046,2435,1352,2074,1525,874,1253,1458,1378,1179,2381,1007,1963,1823,2627,1411,1534,1492,1803,1159,2187,1973,1712,2563,1937,1934,1095,1218,2880,1679,1768,1288,1422,2841,1192,917,1614,1574,2504,1081,1354,1719,1801,1952,1377,1629,1307,1095,2378,1293,1427,1301,1560,1257,1098,1881,1178,3638,1389,1805,1599,1449,1947,1528,882,972,938,,1515,1247,1040,1306,1155,1166,1257,1953,1150,958,1766,1330,1326,2063,2309,2109,1254,1048,1514,1463,1092,1165,1271,1139,1141,1225,1872,1480,996,1186,1586,1157,1129,1473,1034,1462,965,1005,682,989,1527,1246,879,908,1139,1228,1371,2598,940,,1582,1042,,1375,986,837,913,1560,1216,939,768,746,781,933,1150,993,1077,1012,673,788,955,717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.000000,819,775,,1653,1141,1352,1167,,909,1887,910,1173,1392,1295,1156,1413,1554,1107,1203,1105,1108,914,956,1951,2264,1740,1633,1502,1637,1186,987,2560,1073,1123,3295,1818,1277,1677,1038,2374,1110,2140,1703,843,1133,1174,1418,1194,2512,1087,1916,2011,2870,1379,1594,1523,1303,1297,2091,2004,1257,2691,1541,1942,,1132,3003,1590,1521,994,1787,2250,978,,1977,1558,2041,1154,1546,1441,1500,1941,1285,1533,1395,1048,2060,1402,1723,1490,1766,1479,1086,1786,1398,3174,1388,2395,1378,1495,1964,1460,1007,938,906,1056,1562,1425,1094,1160,936,1104,1240,2242,1022,1042,1624,1577,1400,2040,2245,2039,1130,1033,1698,1256,1161,932,1231,1433,1177,1432,1845,2261,1090,920,1233,1209,1260,1534,1126,1431,1176,1070,633,1116,1492,1283,991,958,1317,1129,1447,2977,1044,1332,1481,1018,,1369,1013,894,,1417,1098,1089,835,799,840,828,1191,954,1091,971,709,,886,741,1126,1231,1038,1007,721,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.000000,912,,937,1680,945,1436,1018,890,906,1825,952,1305,1403,1380,1243,1425,1442,1107,1175,915,1055,1116,1136,1729,2365,1410,1698,1746,1658,1280,1248,2778,1001,1111,3044,1962,1226,1582,1233,2107,1279,2051,2131,985,1196,1104,1466,1106,2155,1043,2022,2127,2282,1312,1571,1596,1342,1370,2181,2126,1190,2649,1574,1339,1260,1445,2494,1588,1744,913,1435,2764,1401,,1942,1428,2021,1023,1378,1175,1307,1955,1239,1254,1286,1096,1372,1406,1616,1512,2268,,1001,2127,1057,3703,1393,2433,1325,1714,1846,1454,967,985,856,1071,1475,1209,987,1182,899,1102,1308,2200,1213,873,1671,1501,1316,2179,2141,1883,1007,971,1313,1358,1108,1135,1406,1452,1139,1540,2031,2288,1150,1013,1182,1325,1252,1396,1022,1369,982,1010,645,1213,1563,1303,948,848,1187,1526,1307,2130,1009,1055,1425,1074,983,1486,984,984,,1599,1068,1094,811,814,831,865,1210,814,1009,1110,681,831,1007,657,1207,,,,892,,1172,1138,994,896,1128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.000000,845,788,,1848,1369,1459,963,860,887,1912,1008,1369,1241,1555,1206,1126,1395,,1244,,942,999,1036,1725,2574,1186,1497,1569,1543,1159,1262,2062,1158,1057,3440,1914,1266,1570,1200,2112,1228,2153,1870,922,1223,1286,1166,1137,2199,1115,1901,2087,2293,1328,1673,1444,976,1429,2121,2017,1306,2169,1659,1371,1338,1016,2691,1725,1811,1163,1870,2227,1157,746,1645,1160,2349,1265,1568,1724,1445,1975,1108,1413,1279,1072,2203,1601,1259,1735,2285,1101,1085,2042,1615,3393,1435,3038,1465,2098,2231,2109,944,975,780,1037,1273,1325,1139,1211,895,1113,1410,2440,1118,918,1510,1287,1404,2150,2104,1960,1026,1050,1344,1325,952,1187,1546,1581,1395,1365,1874,2355,1224,993,1629,1263,1025,1393,1287,1486,929,947,761,1149,2539,1266,1074,1113,1292,1335,1183,1826,,,1540,1049,1014,1300,1140,1088,,1396,,1071,893,950,762,,1261,1179,963,1249,741,963,1050,753,962,,949,949,810,783,926,,,,997,845,996,842,866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.000000,866,769,,1606,1056,1255,989,,,1565,907,1231,1401,1465,1086,996,1514,872,1223,872,915,1044,1025,1585,2372,1463,1531,1459,1558,981,1499,2236,1044,1129,3074,1541,1111,1158,1341,1912,1248,1659,1987,885,1166,1178,1257,1239,2272,1090,2202,2214,2404,1136,1722,1386,1155,1245,2094,1985,1243,1847,1554,1341,1009,1234,3235,1707,2036,1513,1692,2990,1274,,1790,1585,1924,1104,1466,1781,1630,1952,989,1676,1598,1060,1993,1645,1276,1550,1697,1184,1048,2025,1382,3283,1795,2029,1363,1668,1817,2323,995,,915,,1369,1424,900,1393,950,1214,1302,2201,1141,906,1455,1431,1418,2483,2169,2056,1157,1174,1740,1317,977,1022,1277,1584,1373,1527,2484,2157,1000,873,1573,1158,1189,1409,1312,1527,1382,1339,702,862,2151,1383,1220,1023,1175,1494,1515,1548,,,1377,1133,,1192,1036,1017,925,1117,1165,969,909,916,809,,1201,1013,1045,1253,791,851,1014,,1147,1170,,867,972,930,,,1000,961,1280,818,999,868,,1161,918,1235,1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.000000,842,788,848,1479,1149,1381,1059,,927,1397,883,1495,1083,1441,1298,1273,1301,,1055,881,874,1207,911,1626,2431,1399,1681,1952,1353,937,1420,3003,997,929,2876,1870,1200,1468,1125,2039,1149,2216,1783,1048,,1278,1099,1043,1752,1032,1895,2004,2397,1302,1872,1373,1062,1393,1864,1947,1210,2302,1664,1252,1237,1278,3205,2165,2214,1579,1540,2289,1242,810,1727,1444,2260,1213,1350,1536,1570,1900,1192,1760,1168,1117,2334,1577,1439,1527,1954,1241,1195,1915,1328,3896,1957,3372,1327,1734,,2295,950,,931,,1538,1440,,1128,894,1179,1162,2095,1222,1018,1456,1359,1203,2152,2312,1991,940,1122,1703,1319,1141,1052,1456,1419,1679,1341,2683,1934,1088,845,1168,1108,1034,1370,1340,1715,1224,1283,677,1089,1754,1392,1258,987,1342,1100,1164,1120,1010,,1496,885,,1302,1162,878,974,1339,936,909,1006,915,859,,1289,737,1062,1320,806,1022,1108,,1155,1205,1104,980,973,839,,1099,999,877,1067,840,970,1207,793,1196,995,1261,1007,839,1204,1274,798,1076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.000000,903,764,892,1332,1122,1256,1003,890,888,1797,816,1434,1007,1310,1256,1284,1042,,1412,920,892,1155,1024,1490,2407,1401,1254,1817,1509,1294,1311,2837,999,1039,2813,1474,1183,1341,1205,2079,1255,2399,1772,1173,1143,1250,1141,1431,2222,957,2098,1963,2346,1414,2138,1497,1252,1540,2102,1804,1070,2568,1687,1324,1270,1117,2982,1769,1723,1134,1435,2702,1331,,2071,1624,2032,1113,1558,1597,1633,1644,1032,1463,1355,1229,1822,1400,1418,1166,1750,1089,874,1968,1364,3921,1736,2543,1171,1421,,1522,859,864,883,,1579,1467,,973,1074,1235,1290,1846,1109,1013,1510,1147,1443,2426,2428,1961,,957,1477,1363,1282,1148,1367,1494,1415,1228,2631,1755,1004,934,1629,1446,1098,1293,1028,1488,1317,1261,685,1221,1472,1469,1440,929,1139,763,,1125,734,,1570,1113,,1254,1269,948,847,1300,,1043,898,860,818,919,1495,1084,1258,1264,855,896,1150,,1221,,,904,,954,1270,1236,983,1019,1188,890,974,1009,856,1173,1025,1055,1066,,,993,858,1122,1216,1029,1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.000000,850,915,928,1582,1131,1238,910,,1003,1603,788,1355,970,1189,1271,1570,1305,942,1205,958,968,1136,894,1673,2455,1481,1312,1746,1236,1281,1572,2222,1212,1018,3113,1745,,1874,788,2548,1278,2681,1878,1016,966,1211,1184,1305,2087,1037,1861,2003,2901,1054,1773,1413,1215,1285,2529,1976,974,2196,1520,1346,1354,1251,3579,1973,1652,1272,1671,2786,924,,1552,1705,2226,1592,1514,1583,1533,1872,1198,1238,1310,1130,2237,1459,1540,1351,1989,,1149,1903,1590,3478,1927,3118,1298,1689,,1374,887,939,869,,1826,1720,,1146,850,1225,1044,1735,1140,1045,1451,1546,1446,2650,2289,,,1098,1790,1471,1238,883,1309,1768,1458,1245,2703,1704,1020,869,1520,1471,1154,1489,1498,1645,1251,1095,693,1113,1802,1277,1304,799,1087,845,,1461,,,1436,,,1234,1064,849,,1307,,989,924,1004,769,,1193,965,1170,1360,856,960,1232,,1200,,,860,,912,1161,1045,1036,1072,907,832,,,1104,1415,1102,1078,1049,,,,,966,,,1130,806,853,1046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.000000,948,867,971,1500,909,1306,1017,947,797,1698,787,1362,1047,1232,1171,1687,1539,971,1298,1013,915,1233,927,1746,2536,1461,1289,1656,1110,1179,1697,2437,1122,905,3282,1607,,1691,882,2613,1257,2644,2055,957,,1317,1143,1439,1276,991,2351,2095,2398,1040,2042,1258,1182,1363,2016,2172,1042,1667,1746,1315,1122,1227,3199,2081,1797,898,1129,2523,966,,2224,1424,2164,2186,1637,1628,1499,1738,978,1604,1344,1236,1871,1077,1404,1574,1918,,,2108,1371,3590,1471,2380,1380,1988,,1299,890,,941,,1456,1701,,1158,961,1221,1145,1948,1179,921,1293,1485,1060,2519,2553,,914,1108,1680,1361,1401,1164,1438,1536,1235,1272,2694,1527,1110,1037,1009,1069,1243,1285,1440,1746,1232,1226,745,1220,1831,1240,1342,833,1227,772,,1060,,,1529,,,1212,1290,842,936,1351,,961,1078,955,832,876,1225,921,1022,1163,858,1028,1358,,1148,,,1079,,915,1172,1317,874,1161,964,824,,825,1047,1156,1061,1402,,,1251,1003,771,951,1231,1130,937,892,874,1115,874,813,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
