
Intensity Center Ch=1 Img=1
 ==================== 
Time [s],Intensity Center::1000000241,Intensity Center::1000000244,Intensity Center::1000000297,Intensity Center::1000000302,Intensity Center::1000000309,Intensity Center::1000000314,Intensity Center::1000000352,Intensity Center::1000000355,Intensity Center::1000000361,Intensity Center::1000000371,Intensity Center::1000000374,Intensity Center::1000000381,Intensity Center::1000000384,Intensity Center::1000000387,Intensity Center::1000000391,Intensity Center::1000000396,Intensity Center::1000000399,Intensity Center::1000000400,Intensity Center::1000000406,Intensity Center::1000000407,Intensity Center::1000000410,Intensity Center::1000000418,Intensity Center::1000000421,Intensity Center::1000000423,Intensity Center::1000000785,Intensity Center::1000000800,Intensity Center::1000000802,Intensity Center::1000000803,Intensity Center::1000000809,Intensity Center::1000000812,Intensity Center::1000000815,Intensity Center::1000000816,Intensity Center::1000000818,Intensity Center::1000000826,Intensity Center::1000000827,Intensity Center::1000000828,Intensity Center::1000000829,Intensity Center::1000000831,Intensity Center::1000000835,Intensity Center::1000000846,Intensity Center::1000000848,Intensity Center::1000000851,Intensity Center::1000000855,Intensity Center::1000000858,Intensity Center::1000000859,Intensity Center::1000000863,Intensity Center::1000000872,Intensity Center::1000000873,Intensity Center::1000000874,Intensity Center::1000000876,Intensity Center::1000000877,Intensity Center::1000000879,Intensity Center::1000000883,Intensity Center::1000000887,Intensity Center::1000000888,Intensity Center::1000000889,Intensity Center::1000000893,Intensity Center::1000000896,Intensity Center::1000000903,Intensity Center::1000000905,Intensity Center::1000000907,Intensity Center::1000000910,Intensity Center::1000000913,Intensity Center::1000000916,Intensity Center::1000000919,Intensity Center::1000000920,Intensity Center::1000000925,Intensity Center::1000000929,Intensity Center::1000000932,Intensity Center::1000000933,Intensity Center::1000000934,Intensity Center::1000000938,Intensity Center::1000000942,Intensity Center::1000000944,Intensity Center::1000000945,Intensity Center::1000000946,Intensity Center::1000000947,Intensity Center::1000000951,Intensity Center::1000000952,Intensity Center::1000000953,Intensity Center::1000000956,Intensity Center::1000000961,Intensity Center::1000000972,Intensity Center::1000000981,Intensity Center::1000000982,Intensity Center::1000000984,Intensity Center::1000000988,Intensity Center::1000000989,Intensity Center::1000001002,Intensity Center::1000001005,Intensity Center::1000001008,Intensity Center::1000001009,Intensity Center::1000001015,Intensity Center::1000001054,Intensity Center::1000001059,Intensity Center::1000001077,Intensity Center::1000001231,Intensity Center::1000001246,Intensity Center::1000001260,Intensity Center::1000001285,Intensity Center::1000001345,Intensity Center::1000001356,Intensity Center::1000001390,Intensity Center::1000006289,Intensity Center::1000006341,Intensity Center::1000006349,Intensity Center::1000006356,Intensity Center::1000006390,Intensity Center::1000006397,Intensity Center::1000006401,Intensity Center::1000006413,Intensity Center::1000006422,Intensity Center::1000006427,Intensity Center::1000006428,Intensity Center::1000006431,Intensity Center::1000006433,Intensity Center::1000006438,Intensity Center::1000006439,Intensity Center::1000006446,Intensity Center::1000006450,Intensity Center::1000006454,Intensity Center::1000006460,Intensity Center::1000006461,Intensity Center::1000006463,Intensity Center::1000006752,Intensity Center::1000006768,Intensity Center::1000006772,Intensity Center::1000006774,Intensity Center::1000006780,Intensity Center::1000006782,Intensity Center::1000006784,Intensity Center::1000006786,Intensity Center::1000006793,Intensity Center::1000006796,Intensity Center::1000006797,Intensity Center::1000006798,Intensity Center::1000006805,Intensity Center::1000006808,Intensity Center::1000006814,Intensity Center::1000006818,Intensity Center::1000006820,Intensity Center::1000006824,Intensity Center::1000006829,Intensity Center::1000006835,Intensity Center::1000006840,Intensity Center::1000006842,Intensity Center::1000006843,Intensity Center::1000006845,Intensity Center::1000006849,Intensity Center::1000006854,Intensity Center::1000006855,Intensity Center::1000006858,Intensity Center::1000006861,Intensity Center::1000006862,Intensity Center::1000006865,Intensity Center::1000006866,Intensity Center::1000006875,Intensity Center::1000006876,Intensity Center::1000006877,Intensity Center::1000006882,Intensity Center::1000006884,Intensity Center::1000006886,Intensity Center::1000006888,Intensity Center::1000006894,Intensity Center::1000006897,Intensity Center::1000006899,Intensity Center::1000006901,Intensity Center::1000006903,Intensity Center::1000006905,Intensity Center::1000006907,Intensity Center::1000006908,Intensity Center::1000006912,Intensity Center::1000006913,Intensity Center::1000006916,Intensity Center::1000006922,Intensity Center::1000006925,Intensity Center::1000006945,Intensity Center::1000006946,Intensity Center::1000006947,Intensity Center::1000006948,Intensity Center::1000006952,Intensity Center::1000006954,Intensity Center::1000006965,Intensity Center::1000006968,Intensity Center::1000006971,Intensity Center::1000006996,Intensity Center::1000006998,Intensity Center::1000007014,Intensity Center::1000007033,Intensity Center::1000007177,Intensity Center::1000007190,Intensity Center::1000007203,Intensity Center::1000007228,Intensity Center::1000007288,Intensity Center::1000007297,Intensity Center::1000007314,Intensity Center::1000007328,Intensity Center::1000008239,Intensity Center::1000008359,Intensity Center::1000008364,Intensity Center::1000008430,Intensity Center::1000008718,Intensity Center::1000010794,Intensity Center::1000011210,Intensity Center::1000011460,Intensity Center::1000011714,Intensity Center::1000012404,Intensity Center::1000016892,Intensity Center::1000016991,Intensity Center::1000017442,Intensity Center::1000018589,Intensity Center::1000022219,Intensity Center::1000022292,Intensity Center::1000026936,Intensity Center::1000028574,Intensity Center::1000033197,Intensity Center::1000034744,Intensity Center::1000037778,Intensity Center::1000040971,Intensity Center::1000042590,Intensity Center::1000043632,Intensity Center::1000043692,Intensity Center::1000047180,Intensity Center::1000047212,Intensity Center::1000048144,Intensity Center::1000051284,Intensity Center::1000051855,
0.000000,985,1114,1237,1818,1440,1094,1425,1096,1442,1402,2098,918,3385,2417,1644,1904,2249,2341,2031,2349,2273,4846,3432,1311,1422,1531,2449,2161,2157,1473,1791,1504,1393,1347,1814,2674,2095,1248,1438,3511,2524,1860,2396,1553,2995,1558,3755,1835,1701,2088,3387,4316,1648,2004,2838,1643,1285,2367,1439,1507,2566,1590,2275,1951,1739,2378,3307,1313,1754,1598,1820,4682,1871,3008,2006,2551,1382,2992,1494,1904,1639,2413,3122,1648,1591,2400,1273,1447,1378,1444,1411,2083,1450,985,1113,1617,1456,1752,1278,1188,1859,2207,1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.000000,1133,988,1652,1587,1104,1048,1627,1265,1196,1509,1921,994,2575,2337,1460,1896,2540,2378,1943,2220,2202,4145,3278,1485,1501,1481,3054,1728,1870,1279,2329,1476,1220,1596,1677,2561,2195,1448,1603,3305,2257,1382,2024,1572,2620,1706,,1897,,1937,3055,3481,1609,2031,2454,1335,1282,2417,1663,1525,2108,1985,2034,1923,1544,2316,3062,1134,1843,1681,1882,4636,1935,2881,1955,2510,1329,2478,1306,1636,1690,1897,3015,1815,1697,2647,1127,1736,1251,1552,1246,2909,1417,1252,1065,1388,1389,1703,1229,1069,1472,2222,1535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.000000,1043,1183,1358,1869,1276,1135,1475,1128,1484,1224,1877,1037,2971,2219,1483,2127,2384,1811,1894,2047,2478,4275,2909,1459,1232,1550,2985,1918,1483,1732,2077,1256,1530,2135,1884,2612,2044,1041,1675,3159,2865,1347,2395,1563,3167,1707,,1788,,1778,3654,4389,1699,1565,3016,1784,1016,2470,1585,1727,2046,1717,2015,1823,1898,2731,2611,1259,2166,2044,1945,5154,1933,3044,2231,3022,1276,2990,1686,1497,2169,1787,2738,2102,1687,2572,1149,1883,1459,1157,1262,3122,,1084,1065,1159,1658,1798,1158,1453,1826,2349,1566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.000000,943,1095,1393,1796,1146,1098,1279,1145,1519,1198,1468,979,2845,2365,1495,1857,2489,2429,1818,2330,2253,4630,3067,1385,1149,1336,3048,2232,1661,1693,2074,1279,1589,2081,1931,1889,1766,1279,1801,3788,2694,1522,1885,1516,3381,1740,,1453,,2116,2910,4019,1834,1928,2997,1630,1497,1777,1313,2103,2131,1650,2429,1893,1682,2465,2838,1417,2117,2153,2445,4655,2421,3145,2394,2575,1708,2933,1539,1678,1696,2071,3031,2494,1441,2032,1178,2558,1451,1327,1217,3852,,1045,1033,1316,1265,2040,1143,1263,1583,2293,1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2990,,2034,,,,,,,,,,,,,,,,,,,,,,,,,,,,1756,,,,,,,,,,,,,,,,1617,,,,,,,,,,,1135,1835,1380,1073,1438,1186,1596,1624,819,1539,1708,2283,3093,2063,2788,2083,1786,2273,4120,3252,1343,1172,1470,3046,2563,2094,1843,1465,1594,2728,1873,2436,2102,1800,3512,2557,1551,1568,2130,2862,2017,2069,1744,3529,2591,1828,1956,3419,1416,1577,1612,2588,1698,1595,2082,1882,1807,2274,2454,1708,3217,2108,1939,2474,4175,3114,2606,2858,2927,2464,1877,2588,2049,1566,3168,2595,2298,1324,2233,1556,1083,3677,3363,1199,1394,1400,1376,1821,1277,994,1767,2035,1624,1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3565,,1614,,,,,,,,,,,,,,,,,,,,,,,,,,,,1843,,,,,,,,,,,,,,,,1429,,,,,,,,,,,1024,1869,1368,995,1348,,1108,1496,975,1402,1975,2168,2810,2042,2970,2065,1992,2299,4555,2858,1364,1051,1385,3474,2322,2288,2018,1553,1447,2174,1423,1698,1810,1449,2867,2330,1741,1610,2405,2198,1946,1955,1605,4520,2691,1832,2013,2941,1737,,1219,1776,1553,1548,2062,1779,1771,2105,2746,1862,3372,2151,2173,2120,4642,3371,2878,2945,2750,2430,1877,2732,1974,1828,2963,2763,2835,1494,2531,1438,1516,3085,4330,1233,1120,1365,1226,2148,1268,1020,2000,2154,1472,1217,1164,1105,2342,1206,1317,,,,,,,,,,,,,,,,,,,,,,,,,,
6.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3944,,1691,,,,,,,,,,,,,,,,,,,,,,,,,,,,1765,,,,,,,,,,,,,,,,1634,,,,,,,,,,,,1813,1307,1090,1498,,1152,1121,907,1554,1991,2151,2644,2309,2889,2003,1746,2029,4586,2486,1410,1195,1449,2975,2628,2547,2015,1764,1582,2371,1316,2291,1868,1769,3268,2182,1471,1774,1818,2849,2078,2179,1531,5159,2864,1619,1909,3754,1433,1772,1353,2069,1589,1710,2332,1905,1672,2057,2539,2216,3552,1929,1881,1814,4664,2555,2312,2445,2392,2498,1674,2321,1437,1389,3003,2321,2887,1264,2190,1457,1756,2890,3465,1033,1078,1097,1196,2367,1218,1404,1687,1958,1363,1413,1157,,2007,,1335,,,,,,,,,,,,,,,,,,,,,,,,,,
7.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3013,,1492,,,,,,,,,,,,,,,,,,,,,,,,,,,,2119,,,,,,,,,,,,,,,,1448,,,,,,,,,,,1042,1451,1416,1001,1598,,1406,1559,1106,1588,1995,2438,2546,2406,3526,1871,1452,2253,4756,2858,1415,1390,1532,3130,2026,2062,1910,1555,1275,2107,1638,2121,1722,1748,3227,1896,1380,1462,2461,2005,1790,1984,2074,3401,3313,1821,1907,2136,1596,,1082,1698,1983,1255,2272,1678,1768,2141,2289,2087,2784,2423,1961,1558,4976,2862,2368,2452,1798,2297,1399,2573,2130,1372,3895,2757,2871,1092,2099,1432,1415,3043,3684,1070,1323,1009,1315,2523,1267,1461,1692,2172,1406,1582,986,,3005,942,1441,1139,1520,971,1354,,,,,,,,,,,,,,,,,,,,,,
8.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4003,,1477,,,,,,,,,,,,,,,,,,,,,,,,,,,,1798,,,,,,,,,,,,,,,,1428,,,,,,,,,,,1135,1792,1392,1116,1462,1315,1276,1316,1120,1587,1788,2233,3236,2678,3389,1816,1608,2194,3961,2863,1401,1311,1417,2838,2344,2333,2206,1679,1530,2408,1410,1876,1727,1662,3673,1998,1309,1408,2253,2278,1751,1851,1685,3492,2982,1575,2070,2275,1843,1771,1443,1625,2082,1158,2340,1758,1773,1896,2274,2580,2634,2475,2055,1673,4054,2441,2118,2321,2235,2384,1522,1661,2029,1525,4462,3215,2832,,2123,1501,1507,2078,4034,1136,1275,990,1182,2566,1193,1557,1631,2184,1445,1500,,1321,2064,1064,1284,,,1241,1513,1257,,,,,,,,,,,,,,,,,,,,,
9.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3408,,1462,,,,,,,,,,,,,,,,,,,,,,,,,,,,1697,,,,,,,,,,,,,,,,1388,,,,,,,,,,,1194,1469,1274,1121,1594,1327,1427,1043,1124,1450,1819,2394,3140,2634,3202,1845,1736,2271,4271,2839,,1385,1487,2823,2198,2390,2191,2042,1599,2522,1466,2464,1609,1965,3570,2411,,1427,2333,2310,1694,1880,1763,2504,3444,1781,1891,2641,1567,1885,1179,2085,2086,,2257,1693,1705,1990,2240,1839,2941,2450,2006,1473,3228,2787,2444,2060,2358,2444,1693,1963,1770,1534,4504,3002,3170,1335,2015,1338,1313,2320,3965,1082,,,1227,2686,1125,1602,1842,2170,1348,1532,1305,1359,1734,,1501,1061,1557,1084,1554,1221,,,,,,,,,,,,,,,,,,,,,
