
Intensity Center Ch=1 Img=1
 ==================== 
Time [s],Intensity Center::1000000110,Intensity Center::1000000121,Intensity Center::1000000149,Intensity Center::1000000166,Intensity Center::1000000167,Intensity Center::1000000168,Intensity Center::1000000172,Intensity Center::1000000181,Intensity Center::1000000182,Intensity Center::1000000183,Intensity Center::1000000187,Intensity Center::1000000190,Intensity Center::1000000191,Intensity Center::1000000192,Intensity Center::1000000193,Intensity Center::1000000196,Intensity Center::1000000197,Intensity Center::1000000199,Intensity Center::1000000200,Intensity Center::1000000205,Intensity Center::1000000207,Intensity Center::1000000208,Intensity Center::1000000209,Intensity Center::1000000210,Intensity Center::1000000212,Intensity Center::1000000214,Intensity Center::1000000218,Intensity Center::1000000220,Intensity Center::1000000221,Intensity Center::1000000222,Intensity Center::1000000224,Intensity Center::1000000225,Intensity Center::1000000227,Intensity Center::1000000230,Intensity Center::1000000232,Intensity Center::1000000235,Intensity Center::1000000237,Intensity Center::1000000238,Intensity Center::1000000242,Intensity Center::1000000243,Intensity Center::1000000244,Intensity Center::1000000245,Intensity Center::1000000251,Intensity Center::1000000255,Intensity Center::1000000258,Intensity Center::1000000259,Intensity Center::1000000261,Intensity Center::1000000262,Intensity Center::1000000264,Intensity Center::1000000267,Intensity Center::1000000271,Intensity Center::1000000272,Intensity Center::1000000273,Intensity Center::1000000278,Intensity Center::1000000279,Intensity Center::1000000280,Intensity Center::1000000281,Intensity Center::1000000282,Intensity Center::1000000283,Intensity Center::1000000284,Intensity Center::1000000288,Intensity Center::1000000291,Intensity Center::1000000293,Intensity Center::1000000297,Intensity Center::1000000298,Intensity Center::1000000299,Intensity Center::1000000302,Intensity Center::1000000306,Intensity Center::1000000308,Intensity Center::1000000310,Intensity Center::1000000316,Intensity Center::1000000318,Intensity Center::1000000323,Intensity Center::1000000324,Intensity Center::1000000325,Intensity Center::1000000329,Intensity Center::1000000332,Intensity Center::1000000333,Intensity Center::1000000334,Intensity Center::1000000335,Intensity Center::1000000340,Intensity Center::1000000341,Intensity Center::1000000343,Intensity Center::1000000349,Intensity Center::1000000350,Intensity Center::1000000351,Intensity Center::1000000353,Intensity Center::1000000355,Intensity Center::1000000497,Intensity Center::1000000549,Intensity Center::1000000550,Intensity Center::1000000557,Intensity Center::1000000559,Intensity Center::1000000563,Intensity Center::1000000565,Intensity Center::1000000570,Intensity Center::1000000575,Intensity Center::1000000580,Intensity Center::1000000581,Intensity Center::1000000587,Intensity Center::1000000588,Intensity Center::1000000602,Intensity Center::1000000604,Intensity Center::1000000605,Intensity Center::1000000606,Intensity Center::1000000613,Intensity Center::1000000615,Intensity Center::1000000617,Intensity Center::1000000622,Intensity Center::1000000627,Intensity Center::1000000629,Intensity Center::1000000638,Intensity Center::1000000640,Intensity Center::1000000642,Intensity Center::1000000646,Intensity Center::1000000653,Intensity Center::1000000662,Intensity Center::1000000666,Intensity Center::1000000672,Intensity Center::1000000673,Intensity Center::1000000676,Intensity Center::1000000677,Intensity Center::1000000685,Intensity Center::1000000686,Intensity Center::1000000689,Intensity Center::1000000691,Intensity Center::1000000697,Intensity Center::1000000704,Intensity Center::1000000705,Intensity Center::1000000708,Intensity Center::1000000710,Intensity Center::1000000713,Intensity Center::1000000715,Intensity Center::1000000717,Intensity Center::1000000722,Intensity Center::1000000734,Intensity Center::1000000742,Intensity Center::1000000752,Intensity Center::1000000760,Intensity Center::1000000761,Intensity Center::1000000771,Intensity Center::1000000922,Intensity Center::1000000923,Intensity Center::1000000940,Intensity Center::1000000947,Intensity Center::1000000955,Intensity Center::1000000973,Intensity Center::1000001815,Intensity Center::1000003808,Intensity Center::1000003858,Intensity Center::1000007999,Intensity Center::1000008133,Intensity Center::1000009303,Intensity Center::1000009412,Intensity Center::1000009447,Intensity Center::1000009624,Intensity Center::1000013452,Intensity Center::1000014235,Intensity Center::1000014388,Intensity Center::1000014714,Intensity Center::1000018460,Intensity Center::1000019860,Intensity Center::1000020172,Intensity Center::1000024084,Intensity Center::1000024097,Intensity Center::1000024191,Intensity Center::1000025300,Intensity Center::1000025509,Intensity Center::1000025810,Intensity Center::1000028878,Intensity Center::1000028907,Intensity Center::1000028944,Intensity Center::1000030235,Intensity Center::1000030466,Intensity Center::1000033738,Intensity Center::1000035037,Intensity Center::1000041056,Intensity Center::1000045122,Intensity Center::1000045349,Intensity Center::1000057205,Intensity Center::1000077166,Intensity Center::1000081848,Intensity Center::1000083305,Intensity Center::1000094224,Intensity Center::1000104479,Intensity Center::1000113886,Intensity Center::1000114026,Intensity Center::1000120662,Intensity Center::1000122011,Intensity Center::1000122029,Intensity Center::1000128715,Intensity Center::1000142534,Intensity Center::1000149053,Intensity Center::1000150947,Intensity Center::1000153406,Intensity Center::1000153814,Intensity Center::1000155055,Intensity Center::1000160630,Intensity Center::1000166774,Intensity Center::1000166898,Intensity Center::1000166932,Intensity Center::1000168321,Intensity Center::1000173132,Intensity Center::1000188089,Intensity Center::1000198470,
0.000000,832,1173,1143,1304,871,1213,1633,1284,1422,981,1334,1780,915,1573,1337,1006,911,1293,1388,1181,1160,1736,1762,1107,1503,1269,1302,1979,2189,1020,1170,1658,3017,2132,1664,1589,1359,1692,1915,815,2559,2170,1383,2694,1878,3483,1034,1598,1101,1260,1428,1751,1503,2921,1266,1519,1054,1972,1659,1375,1994,2369,3032,1424,1807,1358,2667,1011,1044,2134,1347,1053,1935,1756,1207,2232,3053,3565,1167,1661,1182,1591,1319,1989,4112,1907,1826,1106,1252,1111,1292,1095,1237,1495,858,1314,1606,1518,2105,1969,1325,2918,1569,1348,1269,1957,902,1253,1403,1231,1950,1450,1575,1391,1034,1428,2395,1325,1138,1394,2036,1063,1309,1148,1594,790,812,2041,892,1124,914,1311,1044,1003,722,1056,1288,856,1583,726,1268,1089,1495,1090,1079,937,898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.000000,762,1052,926,1166,969,1086,1312,1277,1391,938,1151,1265,821,1255,1075,927,902,1124,1741,1265,1068,1571,1631,1298,1396,1435,1052,1824,1971,971,988,1088,2878,2133,1293,1580,1046,1534,1656,875,2161,1726,1167,2390,1796,2758,957,1533,1316,1477,1695,1608,1198,2601,1246,1974,1156,1662,1739,1447,1724,1945,2463,1031,1797,1337,2379,1525,1210,2257,1234,1160,1762,1365,1188,2519,3105,3769,1232,1833,,1647,1300,1737,3557,1981,1916,1344,1089,912,1277,1041,1160,1368,962,1670,1590,1420,1976,1752,1085,2340,1537,1210,1194,2253,837,1194,1108,1289,1755,1319,1578,1394,964,1223,2203,955,,1458,1771,1162,1408,1232,1542,945,837,2073,882,1243,739,1300,937,,952,1023,1097,834,2173,867,1382,1188,1334,953,1051,865,933,867,996,1317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.000000,786,1053,1021,923,766,1110,1216,1067,1469,935,1291,1271,794,1371,1037,1150,997,1047,1559,1031,1126,1865,1684,1195,1113,1454,959,2043,1990,1123,863,1030,2890,1798,1475,1540,1061,1060,1485,680,2340,1737,1418,1676,2442,3134,927,1374,1898,1187,1723,1704,1585,2917,1419,1891,1229,1449,1923,1476,1931,2460,2641,1522,1839,1210,2707,1528,1142,2285,1206,1217,1728,1664,1287,2689,3070,3569,,1602,1210,1721,1357,1563,3140,2155,1884,1172,1159,1083,1207,992,1236,1449,992,1630,1446,1123,1793,1900,1108,2892,1708,1368,1092,2245,877,1098,1007,1350,1821,1432,1563,1436,862,1269,2656,1149,,1323,1357,1207,1405,1369,1408,942,830,1739,1038,919,902,1185,865,,920,1039,1019,783,2447,1017,939,1242,1359,975,1027,,961,1065,1479,1346,1214,848,1296,1102,974,788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.000000,797,1077,1110,1026,993,1395,1224,1268,1169,828,1351,1288,899,1168,1193,1188,1016,1268,1759,1019,1250,1521,1641,878,1345,1059,1268,2065,2473,1013,793,1418,3230,2114,1345,1184,1403,1502,1484,1023,2023,1914,1386,2020,2322,3068,995,1370,1523,956,1493,1761,1406,2445,1304,2052,1284,1460,2837,1466,1609,2107,2195,1155,1836,1482,2690,1619,1269,1975,1199,1000,2111,2001,1115,2839,3323,3701,,2219,1215,1870,1500,1790,2957,2260,2271,1105,1188,1102,1185,978,1124,1454,,1584,1525,1153,1619,1814,934,2963,1594,877,985,2187,945,1446,948,1324,1935,1387,1314,1076,1023,1296,2326,1111,1260,1160,1883,1155,1417,1159,1418,1093,919,2059,1046,1192,1047,1796,948,1217,957,,991,840,1797,1291,1394,1093,1409,1154,1061,,916,936,1046,1569,1040,970,1297,1022,1091,901,1223,905,1621,1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.000000,753,1023,1097,906,1092,946,1110,1059,1410,806,1390,1235,,1135,987,1228,1158,1212,1347,855,1425,1476,1536,,965,1045,1021,1840,2257,1115,920,1311,2958,2009,1197,1302,1522,1335,1864,853,2051,2029,1215,2046,2313,3180,887,1524,1565,1305,1360,1599,1633,3142,1328,1546,1229,1810,2578,1458,1954,1931,2531,1655,1824,1452,3009,1302,1119,1822,1342,1365,1975,1841,1459,2606,3888,3565,990,2358,904,1835,1598,1431,3536,2189,2009,1213,1167,,1158,971,1139,1458,,1484,1518,1173,1834,1860,1055,2815,1654,974,,2087,840,1456,1338,1343,1807,1404,1649,1309,1137,1169,2402,1148,1414,1568,1810,1360,1197,1503,1721,916,1013,2518,1133,1010,860,1559,929,896,1017,984,1040,1011,2371,1210,1558,1097,1195,1321,1140,942,963,935,1295,1513,1197,898,,1217,1151,962,1114,922,1811,1112,922,1097,881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.000000,706,927,892,1043,1041,1007,1015,979,1321,,1399,1017,,1132,1092,1204,1067,1159,1436,993,1272,1352,1744,,1287,1308,1089,1688,1733,1058,,1136,2664,1984,1370,1372,1413,1145,1523,,1965,2226,,1787,2287,3157,973,1293,1271,1297,,,1056,2899,1565,1525,,1452,1997,1500,1852,1610,2277,1455,1737,1349,2921,1144,1171,1929,1299,,1632,2321,1283,2560,2862,2676,1112,1469,,1939,1466,2171,4024,,2229,1598,1233,1066,1123,,1267,1310,,1286,1484,894,1815,1273,1215,2649,1652,1059,,2022,907,1315,1335,1306,1777,1484,1388,959,1172,1271,2606,1039,983,1489,,1152,,1606,1854,848,866,2618,1003,1076,940,1201,821,,929,,1216,904,,1329,,1270,1438,1111,1065,947,1035,988,1741,954,1116,761,,1016,1148,1174,1092,,1999,1112,950,1138,1039,1547,1820,1289,1054,1252,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.000000,849,1037,1099,1133,1005,1341,1023,992,1291,930,1587,679,,1347,1112,1348,1190,1195,1561,1289,1656,1541,1912,963,1510,1067,1237,1582,2475,1072,,1359,2404,2067,1529,1495,1355,1506,1599,816,2252,2460,,1944,1926,3505,900,1266,1510,1590,,,1255,2116,1570,1904,1240,1801,2575,1436,1816,1853,1882,1243,1603,1206,2690,1360,1370,1616,1172,,1611,2309,1038,2426,3021,2953,1082,1784,,1882,1399,2231,2373,,1338,1910,1305,1088,1019,951,1268,1214,900,1677,1359,937,1664,1535,1114,2347,1816,1384,,2067,1114,1411,1073,1047,1805,1608,1300,1199,1014,1039,2742,908,,1227,,1127,,1332,1553,867,948,2913,1021,977,867,1426,,,972,,1188,943,,1164,,1110,1395,995,884,870,997,819,1690,983,,742,,,1044,1290,1147,,2027,1494,737,970,895,1837,1865,1224,1130,1526,1682,758,864,787,800,1684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.000000,826,1045,935,1146,1214,1009,1389,1188,1073,888,1385,840,,1532,1010,1216,1141,1107,1483,931,1538,1414,1699,1072,1532,1282,1347,1994,1922,1066,,1223,2333,1547,1728,1946,1185,1509,1776,855,1965,2629,,1487,2279,3297,961,1836,1704,1119,,,1620,2178,1552,1862,,1708,3032,1928,1824,2386,2335,1068,1390,1334,2594,1394,1263,1681,1165,,1523,2085,1062,2454,3095,2478,,1798,,1918,1467,2004,2085,,1445,1648,1495,1058,1145,930,1166,1551,,1652,1261,1199,2069,1618,1220,2663,1538,1017,,1925,1069,1497,1117,1053,1761,1620,1372,1403,1035,1023,2570,839,,1399,,934,,989,1336,820,844,2214,1059,1138,875,1218,,,776,,1192,891,,1297,,1128,1025,1093,,924,896,952,,,,770,1213,967,982,934,1052,,2090,1256,740,1126,864,1656,1731,1427,934,1554,1453,782,944,1114,758,1336,1305,1077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.000000,845,1113,941,1094,1171,1239,1333,952,1258,1015,1490,781,,1675,938,1049,958,1048,1467,1104,1201,1454,1859,1001,1694,1540,1318,1790,2158,942,,1284,2110,1935,1293,1961,1033,1581,1457,761,2104,2756,,1882,2703,3362,921,1236,1576,1419,,,1541,2657,1250,2052,,1520,2937,1735,2101,2237,2301,1301,1433,1433,2512,1347,967,1621,1118,,1815,1877,1064,2433,2824,2581,1214,1379,,1677,1244,2605,2806,,1437,1224,1397,1062,1055,962,1402,1306,,1602,1411,1460,1540,1491,1251,2418,1591,1204,,1743,972,1414,1351,930,1903,1660,1285,1044,1192,1046,2466,1122,1044,1244,,1042,,894,1355,731,860,2342,804,969,937,1047,,,744,,987,906,,1295,,984,1124,1216,,842,846,975,,,,851,,1120,949,980,1058,875,1524,1710,793,1165,697,1511,1614,1255,1138,2010,1050,,879,800,932,1548,1258,1172,891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.000000,788,1223,1117,1124,1159,914,1204,1106,1184,890,1499,891,,1609,1009,1167,1080,1246,1712,1073,1420,1275,1608,1060,1451,1610,1464,2201,1626,,,1350,2394,1619,1368,1632,1115,1043,1702,764,2177,2655,,2233,3125,3392,1061,1696,1212,1064,,,1580,2784,1487,2353,,1615,2260,1698,1925,1945,2426,1073,1421,1310,2169,1268,1136,1628,1018,,1884,1443,1063,1990,2932,2353,,1136,,1613,1367,1837,2401,,1703,1328,1469,1187,1163,926,1357,1310,,1940,1197,1630,1546,1360,1119,2362,1820,1487,,1939,977,1409,1244,1113,1738,1401,1177,905,966,1009,2458,1001,,979,,1037,,,1661,717,,2661,,908,,926,,,792,,988,885,,1221,,1116,1160,1111,,864,838,949,,,,904,,,1042,812,1121,,1485,1739,,,713,1388,1861,1295,1149,1383,965,811,870,924,821,1394,1233,938,850,1014,1213,,,,,,,,,,,,,,,,,,,,,,,,,,,
