
Intensity Center Ch=1 Img=1
 ==================== 
Time [s],Intensity Center::1000000179,Intensity Center::1000000231,Intensity Center::1000000239,Intensity Center::1000000240,Intensity Center::1000000265,Intensity Center::1000000274,Intensity Center::1000000303,Intensity Center::1000000306,Intensity Center::1000000310,Intensity Center::1000000316,Intensity Center::1000000317,Intensity Center::1000000323,Intensity Center::1000000331,Intensity Center::1000000333,Intensity Center::1000000334,Intensity Center::1000000341,Intensity Center::1000000349,Intensity Center::1000000361,Intensity Center::1000000365,Intensity Center::1000000377,Intensity Center::1000000383,Intensity Center::1000000384,Intensity Center::1000000386,Intensity Center::1000000389,Intensity Center::1000000391,Intensity Center::1000000397,Intensity Center::1000000399,Intensity Center::1000000400,Intensity Center::1000000407,Intensity Center::1000000410,Intensity Center::1000000417,Intensity Center::1000000419,Intensity Center::1000000421,Intensity Center::1000000425,Intensity Center::1000000429,Intensity Center::1000000432,Intensity Center::1000000444,Intensity Center::1000000452,Intensity Center::1000000457,Intensity Center::1000000458,Intensity Center::1000000459,Intensity Center::1000000465,Intensity Center::1000000466,Intensity Center::1000000467,Intensity Center::1000000469,Intensity Center::1000000474,Intensity Center::1000000477,Intensity Center::1000000480,Intensity Center::1000000490,Intensity Center::1000000497,Intensity Center::1000000500,Intensity Center::1000000504,Intensity Center::1000000507,Intensity Center::1000000508,Intensity Center::1000000510,Intensity Center::1000000512,Intensity Center::1000000513,Intensity Center::1000000515,Intensity Center::1000000518,Intensity Center::1000000519,Intensity Center::1000000522,Intensity Center::1000000524,Intensity Center::1000000525,Intensity Center::1000000526,Intensity Center::1000000527,Intensity Center::1000000529,Intensity Center::1000000530,Intensity Center::1000000532,Intensity Center::1000000538,Intensity Center::1000000545,Intensity Center::1000000547,Intensity Center::1000000549,Intensity Center::1000000551,Intensity Center::1000000557,Intensity Center::1000000558,Intensity Center::1000000568,Intensity Center::1000000569,Intensity Center::1000000572,Intensity Center::1000000573,Intensity Center::1000000574,Intensity Center::1000000575,Intensity Center::1000000582,Intensity Center::1000000590,Intensity Center::1000000597,Intensity Center::1000000598,Intensity Center::1000000604,Intensity Center::1000000614,Intensity Center::1000000617,Intensity Center::1000000620,Intensity Center::1000000623,Intensity Center::1000000630,Intensity Center::1000000636,Intensity Center::1000000638,Intensity Center::1000000639,Intensity Center::1000000645,Intensity Center::1000000650,Intensity Center::1000000993,Intensity Center::1000001001,Intensity Center::1000001004,Intensity Center::1000001012,Intensity Center::1000001051,Intensity Center::1000001080,Intensity Center::1000001082,Intensity Center::1000001085,Intensity Center::1000001099,Intensity Center::1000001107,Intensity Center::1000001126,Intensity Center::1000001129,Intensity Center::1000001145,Intensity Center::1000001157,Intensity Center::1000001161,Intensity Center::1000001162,Intensity Center::1000001163,Intensity Center::1000001174,Intensity Center::1000001177,Intensity Center::1000001180,Intensity Center::1000001191,Intensity Center::1000001199,Intensity Center::1000001208,Intensity Center::1000001209,Intensity Center::1000001216,Intensity Center::1000001222,Intensity Center::1000001226,Intensity Center::1000001234,Intensity Center::1000001251,Intensity Center::1000001256,Intensity Center::1000001258,Intensity Center::1000001263,Intensity Center::1000001265,Intensity Center::1000001266,Intensity Center::1000001267,Intensity Center::1000001269,Intensity Center::1000001274,Intensity Center::1000001278,Intensity Center::1000001282,Intensity Center::1000001284,Intensity Center::1000001292,Intensity Center::1000001298,Intensity Center::1000001302,Intensity Center::1000001330,Intensity Center::1000001339,Intensity Center::1000001352,Intensity Center::1000001370,Intensity Center::1000001372,Intensity Center::1000001404,Intensity Center::1000001417,Intensity Center::1000001422,Intensity Center::1000001581,Intensity Center::1000001630,Intensity Center::1000001649,Intensity Center::1000001662,Intensity Center::1000001687,Intensity Center::1000001690,Intensity Center::1000001721,Intensity Center::1000001722,Intensity Center::1000001725,Intensity Center::1000001729,Intensity Center::1000001770,Intensity Center::1000001863,Intensity Center::1000002508,Intensity Center::1000002674,Intensity Center::1000002687,Intensity Center::1000004466,Intensity Center::1000005463,Intensity Center::1000005595,Intensity Center::1000007344,Intensity Center::1000007394,Intensity Center::1000007852,Intensity Center::1000008789,Intensity Center::1000009300,Intensity Center::1000010805,Intensity Center::1000011590,Intensity Center::1000011625,Intensity Center::1000012772,Intensity Center::1000012843,Intensity Center::1000012900,Intensity Center::1000013528,Intensity Center::1000013641,Intensity Center::1000014089,Intensity Center::1000014126,Intensity Center::1000014800,Intensity Center::1000015331,Intensity Center::1000016762,Intensity Center::1000016874,Intensity Center::1000017652,Intensity Center::1000017716,Intensity Center::1000019025,Intensity Center::1000020093,Intensity Center::1000020307,Intensity Center::1000021541,Intensity Center::1000021623,Intensity Center::1000021784,Intensity Center::1000021795,Intensity Center::1000021869,Intensity Center::1000023589,Intensity Center::1000024100,Intensity Center::1000024319,Intensity Center::1000025062,Intensity Center::1000025923,Intensity Center::1000025930,Intensity Center::1000026467,Intensity Center::1000028263,Intensity Center::1000028442,Intensity Center::1000029448,Intensity Center::1000029961,Intensity Center::1000030137,Intensity Center::1000030169,Intensity Center::1000030208,Intensity Center::1000031997,Intensity Center::1000032213,Intensity Center::1000032216,Intensity Center::1000032277,Intensity Center::1000032645,Intensity Center::1000032718,Intensity Center::1000033672,Intensity Center::1000034805,Intensity Center::1000034983,Intensity Center::1000035751,Intensity Center::1000036477,Intensity Center::1000036495,Intensity Center::1000036515,Intensity Center::1000036539,Intensity Center::1000038398,Intensity Center::1000038506,Intensity Center::1000038619,Intensity Center::1000038694,Intensity Center::1000038791,Intensity Center::1000039893,Intensity Center::1000039982,Intensity Center::1000040014,Intensity Center::1000040035,Intensity Center::1000040569,Intensity Center::1000040590,Intensity Center::1000040779,Intensity Center::1000042741,Intensity Center::1000043015,Intensity Center::1000043415,Intensity Center::1000044696,Intensity Center::1000044949,Intensity Center::1000045100,Intensity Center::1000046111,Intensity Center::1000046277,Intensity Center::1000046876,Intensity Center::1000047133,Intensity Center::1000047625,Intensity Center::1000048407,Intensity Center::1000048492,Intensity Center::1000049115,Intensity Center::1000049179,Intensity Center::1000050485,Intensity Center::1000051145,Intensity Center::1000052499,Intensity Center::1000053220,Intensity Center::1000053230,Intensity Center::1000053258,Intensity Center::1000053504,Intensity Center::1000054498,Intensity Center::1000054672,Intensity Center::1000055371,Intensity Center::1000056690,Intensity Center::1000057945,Intensity Center::1000059371,Intensity Center::1000059575,Intensity Center::1000059674,Intensity Center::1000059714,Intensity Center::1000059914,Intensity Center::1000059952,Intensity Center::1000059998,Intensity Center::1000060582,Intensity Center::1000061356,Intensity Center::1000061768,Intensity Center::1000062020,Intensity Center::1000063023,Intensity Center::1000063634,Intensity Center::1000063758,Intensity Center::1000063759,Intensity Center::1000063951,Intensity Center::1000064741,Intensity Center::1000064933,Intensity Center::1000065030,Intensity Center::1000065532,Intensity Center::1000065658,Intensity Center::1000067006,Intensity Center::1000067188,Intensity Center::1000067627,Intensity Center::1000067897,Intensity Center::1000068018,Intensity Center::1000068024,Intensity Center::1000068956,Intensity Center::1000069082,Intensity Center::1000069147,Intensity Center::1000069693,Intensity Center::1000069910,
0.000000,1341,1265,1097,1220,1738,1278,1809,1118,2297,1253,1214,1700,1649,1137,1131,1939,2015,2636,2476,3995,3377,2304,1411,2657,1686,1394,3283,1538,1907,4156,1746,1917,1326,2283,1415,2602,1870,940,1225,3162,1612,1719,2145,2268,1913,1988,1488,1620,1938,3039,3271,2619,1531,2073,2005,2956,1706,2544,3655,1745,2708,4129,3350,1136,1973,1301,1868,1715,1391,2479,1756,5579,5354,1761,2010,4146,2513,1932,4715,1850,2920,2592,2571,1629,1377,1563,1447,1249,2725,2208,3203,3122,2055,2015,2259,2115,1657,1681,1473,1356,1835,2006,1442,1740,2390,1815,1716,2136,2193,1508,1732,1357,2229,887,1560,1543,2042,1892,2326,2147,1309,1229,2068,1993,2254,2250,1700,1167,1748,1745,1154,2078,2371,1350,1428,1825,1320,3591,1234,1185,1445,1948,1510,1211,1076,1102,956,3072,1231,1188,1546,1117,1597,1374,1231,1169,1371,950,1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.000000,1135,1429,1012,,1492,1521,1791,1078,2379,1160,,1720,1785,1137,1044,1481,1787,2231,2572,3924,3076,2286,1722,3096,1780,1343,2248,1607,1663,3217,1436,2075,1343,3025,1584,2418,1544,945,1259,3371,1812,1416,1796,2177,2005,2027,1419,1922,2387,2454,2969,2726,1497,1739,2091,2928,1652,2110,3470,1686,2254,3115,3237,972,2163,1244,1861,1940,,3282,2221,5078,4003,1414,1939,4273,2470,1737,3434,1830,2833,2181,2855,1369,1131,,1399,,2473,2594,3097,2278,1400,1673,2170,1913,1669,1764,,1364,1636,1920,1126,1479,2386,2017,1349,2242,2283,,1950,,1617,987,1647,1658,1934,1853,2238,2040,1337,1275,1876,2005,1788,2209,1751,1255,1556,1698,,2122,2592,1406,1562,2496,1368,2885,,1137,1488,1789,1253,1383,1027,1230,973,2223,1353,1082,1512,1118,2170,1482,1152,998,1322,956,1330,1954,1418,2139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.000000,1096,1207,1018,1112,1494,1551,2001,1118,2497,1161,1007,2087,1931,1313,988,1714,1911,2511,2138,3572,3602,1607,1880,3005,1554,1326,2584,1718,1217,3304,1663,1765,1345,2851,1803,2411,1404,1036,1532,3069,1625,1305,1805,1919,2205,1863,1563,1498,2329,2364,2836,2611,1837,1799,2120,3213,1482,2357,3686,1850,2882,3474,3608,1175,1975,1276,1860,2125,,2542,2317,5425,4568,1556,1882,3839,2042,1898,4250,2024,2461,2823,2982,1264,1464,1638,1309,1537,2660,2159,3035,2435,1618,1853,2059,2010,1688,1974,,1224,1429,2203,1257,1318,1925,2107,1579,2896,1879,1435,1490,,1679,1499,1642,1629,1945,2199,2306,2037,1324,1534,1845,2086,2262,2334,1582,1122,1782,2057,,2029,2387,1384,1315,2497,1468,4346,1182,1007,1395,2196,1336,1182,1021,1295,1124,2446,1506,1222,1506,1409,1916,1336,1197,1073,1441,,1381,1728,1234,2350,1205,2587,1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.000000,1012,1225,949,1090,1447,1387,1660,1165,2345,,1315,1818,1622,1469,1064,1778,1832,2450,1865,4388,3677,1798,1696,2423,1947,1446,2650,1568,1756,3641,1694,1866,1405,2835,1461,2163,1450,1286,1625,2811,1490,1719,1486,2142,2273,1983,1566,1760,1873,2255,3082,2555,1660,1994,2364,3177,1289,2808,3970,1594,2832,3541,3065,1124,2081,1292,1522,2364,1275,2930,1859,6676,4266,1740,1756,3138,1949,2031,4904,1650,3426,1783,2986,1173,1951,,1402,1468,2962,2481,2472,2523,1302,1826,1668,1857,1419,1760,1140,1270,1437,2300,1696,1571,2074,2037,,2433,2270,1543,1866,,1401,1399,2165,1626,2324,1994,2076,2119,,1175,1887,2018,2335,1667,1510,1132,2065,2035,1720,1140,2717,1475,1176,2429,1205,3206,1099,1090,1680,1898,1303,1506,1041,1287,1045,2094,1323,1429,1524,1318,1787,1411,1423,1178,1300,,1578,1849,,2011,1267,2541,1219,1368,1140,1423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.000000,1192,1293,1045,1159,1561,1491,1914,1014,2251,,1140,1732,1982,1283,1241,1615,1964,2664,1975,3135,3801,1812,2110,2258,1831,1287,3182,1330,1585,3394,1573,1811,1405,3016,,2383,1373,1271,1514,3316,1477,1485,1742,1968,2404,1619,,1542,2072,2522,2909,2541,1931,1746,2087,2783,1607,2103,3413,1720,2627,3175,3206,1220,1873,,1833,1738,,3077,1759,6413,4512,1760,1808,4083,1785,2188,4219,1503,4033,3306,2774,1159,1930,,1413,1584,3063,2285,2841,2320,1343,1700,1832,2205,1510,1826,1275,,1200,1953,1739,1363,2439,1696,,2794,1760,,1650,1209,1262,1473,2287,1584,2242,2549,2237,2153,1115,1284,2149,1872,2429,2019,1494,1140,1976,1994,1743,,2648,1390,1219,2441,1222,3879,,,1309,1752,1560,1441,955,1276,969,,1266,1603,1455,1531,1949,,1113,1148,1326,,1429,2161,1419,2078,1189,2955,1117,1620,1216,1311,2274,1523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.000000,1145,1262,1040,1374,1282,1619,1745,1098,2129,1222,,1555,2103,1198,1176,1519,1677,2587,2342,3937,3395,2045,1762,2158,1799,1415,2891,1606,1611,3919,1649,1889,1380,2062,1765,2297,1223,1485,1627,3097,1923,1415,1735,1713,2059,1976,,,2358,2504,3259,2954,1535,1946,2024,2694,1468,2773,3287,1635,2440,2752,3147,1195,2272,,1779,1988,1275,2740,1823,6093,4501,1846,1775,2728,1856,1970,4400,1755,4364,3042,2656,1055,1826,1709,1662,1669,2976,2321,3037,2199,1314,1440,1896,2187,1761,1689,1526,,1598,1892,1262,1480,2283,1891,,2196,1934,,1739,,1264,1456,2113,1607,1837,2810,1969,2262,1266,1800,2090,1996,2162,2797,1815,1238,1754,1866,1845,,2695,1403,904,1621,1369,2642,,,1073,1622,1585,1331,,1272,1062,,1389,1683,1417,1893,1918,1408,,1055,1150,1218,1231,2091,,1743,1193,2720,990,1021,,1110,2950,,1399,1193,1289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.000000,,1289,1258,1431,1357,1596,1114,955,2472,1329,,2177,2181,1331,1203,1225,1761,2375,2205,3824,3912,1808,1774,2307,1575,1244,2389,1619,1460,3597,1547,2005,1426,2353,,1892,1435,1327,1052,2954,1581,1469,1806,2396,1771,1992,,1333,2193,2460,3380,2553,1565,2031,2174,2715,1362,2815,3731,1512,2927,3933,2993,1207,2034,1489,1558,2270,1655,2882,1408,6360,4137,1664,1687,2417,2164,2000,4009,1826,4073,2418,2662,1025,1226,1815,1735,1737,3270,2229,,2526,1386,1318,1762,,1615,1874,1346,,1194,2161,1520,1505,2656,1750,1453,2487,1934,,1837,1301,1180,1579,2186,1529,2111,2119,2110,1853,1467,1679,2208,2037,2050,2204,1818,1319,1710,1960,2439,,2629,1386,1003,1128,1442,2366,1312,,1208,1713,1859,1314,,1167,1038,,1133,1659,1444,1821,1978,1577,,1470,,,,1394,,1917,1294,2653,,1157,1199,1348,2631,1467,1245,1113,1707,1361,1198,2916,1102,2093,1145,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.000000,1052,1200,1205,1315,1133,1291,,,2489,1368,,2032,2209,1428,1081,1141,1649,2726,2115,3675,3593,1849,1967,1935,1688,1311,1846,1547,1790,3962,1556,2142,1509,1912,,1982,1319,1035,1366,3445,2059,1873,1622,2315,1721,2124,,1564,2393,2619,2594,2667,1769,2049,1978,,1254,2606,3940,1767,3609,3685,2821,1153,2255,1499,1740,2452,1135,2836,1710,6381,3955,1959,1762,3004,2139,2189,4113,1867,4560,2050,2907,1003,1067,,1660,1501,3565,2030,,2738,1542,1961,1505,,1644,1602,1378,1217,1334,1893,1557,1638,2317,1541,1480,2701,2135,1783,1679,1253,1326,1649,1623,1683,2171,1941,,2179,,1558,1949,2035,2125,2680,1624,1234,1734,2214,3081,,2383,1382,1322,1458,1456,3297,1169,,1303,1930,1572,1605,,1281,999,,1168,1539,1395,1542,1853,1287,1081,960,,,,1573,,1663,1388,2824,,,1206,1543,3160,1431,1308,1057,1827,1531,1775,2658,1168,2153,1171,1450,1858,1147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.000000,1210,1312,1332,1572,1506,1439,,,2530,,,1847,1862,1466,1169,1397,1694,2882,1551,4006,3901,1591,2100,2237,1520,1265,1823,1684,1929,3161,1697,1856,1485,1207,,1914,1327,1176,1365,3700,1965,1885,2049,1687,2065,1993,,1933,2498,2642,2483,3164,1621,1806,2321,,1233,2275,3318,1847,3324,4131,2807,1276,2071,1550,1594,2399,1293,2606,1259,5811,5327,1953,2226,3476,2150,1786,3634,2098,4501,3535,2829,1196,1258,,1989,1647,3395,1966,,2528,1391,1686,1714,,1627,1700,1347,,1362,2116,1519,1895,2565,1742,1482,2684,2387,1744,1842,1277,1266,1748,1675,1734,2083,2684,,2283,1400,1514,1769,2130,2182,2456,1752,1395,1526,2267,2653,,2748,1504,1356,1622,1723,2772,1107,,1444,2006,1949,1656,,1174,1026,,1150,1498,1352,1604,1905,1425,1445,1278,,,,,,1731,1385,,,,,1252,3155,1481,,1218,1618,1207,2037,2717,1258,2151,1181,1469,2138,1204,1217,1261,1255,1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.000000,,1327,1226,1364,,,,1057,2020,,,1950,2296,1395,1226,1173,1886,2599,2781,3055,3488,,2000,2045,1761,1167,1557,1281,1751,4036,1552,1871,1273,1479,,1944,,1081,1223,3364,1910,,1899,2142,2430,1968,,,2188,2453,1940,2341,,2471,2014,,1300,2654,3095,1883,3302,3165,2445,1089,2161,1956,1832,2235,1185,3010,,5666,2704,1948,2374,3861,2023,1438,4352,2016,4574,3016,2877,1345,1291,1813,2049,1573,3555,1902,,2679,1949,1609,1868,,1757,1932,,,,1500,1295,1510,1594,2075,1474,2352,2280,1409,1527,1340,1228,1712,1454,1655,2213,2323,,2287,1189,1467,1727,1852,2335,2343,1596,1287,1506,2354,2183,,3410,1537,1311,1297,1580,2386,1181,,1253,1789,1747,1476,,1287,1242,,1210,1695,1367,1683,2055,1300,1146,1663,,,,,,1812,1243,2588,,,,1204,2722,1465,1461,1242,1783,1255,2024,2396,,1892,1178,1459,2032,1186,1385,1426,1198,966,1319,1456,1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
