
Intensity Center Ch=1 Img=1
 ==================== 
Time [s],Intensity Center::1000000116,Intensity Center::1000000129,Intensity Center::1000000141,Intensity Center::1000000155,Intensity Center::1000000170,Intensity Center::1000000175,Intensity Center::1000000179,Intensity Center::1000000181,Intensity Center::1000000182,Intensity Center::1000000184,Intensity Center::1000000186,Intensity Center::1000000195,Intensity Center::1000000199,Intensity Center::1000000200,Intensity Center::1000000201,Intensity Center::1000000202,Intensity Center::1000000205,Intensity Center::1000000206,Intensity Center::1000000209,Intensity Center::1000000211,Intensity Center::1000000214,Intensity Center::1000000215,Intensity Center::1000000216,Intensity Center::1000000226,Intensity Center::1000000227,Intensity Center::1000000232,Intensity Center::1000000233,Intensity Center::1000000236,Intensity Center::1000000238,Intensity Center::1000000239,Intensity Center::1000000241,Intensity Center::1000000243,Intensity Center::1000000250,Intensity Center::1000000256,Intensity Center::1000000257,Intensity Center::1000000264,Intensity Center::1000000266,Intensity Center::1000000268,Intensity Center::1000000270,Intensity Center::1000000273,Intensity Center::1000000279,Intensity Center::1000000280,Intensity Center::1000000282,Intensity Center::1000000284,Intensity Center::1000000285,Intensity Center::1000000295,Intensity Center::1000000296,Intensity Center::1000000301,Intensity Center::1000000302,Intensity Center::1000000309,Intensity Center::1000000310,Intensity Center::1000000318,Intensity Center::1000000332,Intensity Center::1000000483,Intensity Center::1000000503,Intensity Center::1000000513,Intensity Center::1000000518,Intensity Center::1000000529,Intensity Center::1000000538,Intensity Center::1000000542,Intensity Center::1000000553,Intensity Center::1000000559,Intensity Center::1000000560,Intensity Center::1000000567,Intensity Center::1000000578,Intensity Center::1000000579,Intensity Center::1000000584,Intensity Center::1000000586,Intensity Center::1000000588,Intensity Center::1000000589,Intensity Center::1000000590,Intensity Center::1000000599,Intensity Center::1000000602,Intensity Center::1000000606,Intensity Center::1000000612,Intensity Center::1000000613,Intensity Center::1000000646,Intensity Center::1000000655,Intensity Center::1000000677,Intensity Center::1000000697,Intensity Center::1000000737,Intensity Center::1000000804,Intensity Center::1000000805,Intensity Center::1000000829,Intensity Center::1000000832,Intensity Center::1000001109,Intensity Center::1000001229,Intensity Center::1000001283,Intensity Center::1000001598,Intensity Center::1000001606,Intensity Center::1000001619,Intensity Center::1000001672,Intensity Center::1000003197,Intensity Center::1000004652,Intensity Center::1000009355,Intensity Center::1000009697,Intensity Center::1000012806,Intensity Center::1000014910,Intensity Center::1000017288,Intensity Center::1000019396,Intensity Center::1000024753,Intensity Center::1000024760,Intensity Center::1000024779,Intensity Center::1000024827,Intensity Center::1000026648,Intensity Center::1000028377,Intensity Center::1000031990,Intensity Center::1000033371,Intensity Center::1000033444,Intensity Center::1000036432,Intensity Center::1000041088,Intensity Center::1000042669,Intensity Center::1000042727,Intensity Center::1000043013,Intensity Center::1000046087,Intensity Center::1000046348,Intensity Center::1000047330,Intensity Center::1000047366,Intensity Center::1000077099,Intensity Center::1000077357,Intensity Center::1000085030,Intensity Center::1000090892,Intensity Center::1000092814,Intensity Center::1000094501,Intensity Center::1000098289,Intensity Center::1000098302,Intensity Center::1000104292,Intensity Center::1000104633,Intensity Center::1000105506,Intensity Center::1000109351,Intensity Center::1000109479,Intensity Center::1000122854,Intensity Center::1000126492,Intensity Center::1000128281,Intensity Center::1000131961,Intensity Center::1000137948,Intensity Center::1000139456,Intensity Center::1000148012,Intensity Center::1000148084,Intensity Center::1000148452,
0.000000,1289,1424,2230,1958,1712,2086,1767,2159,1262,1481,1889,1375,992,1119,1271,2038,1933,3595,1879,1062,1569,2480,1713,1839,3112,1382,2122,1868,967,2031,2068,2049,2701,3903,2172,1609,3064,1439,3468,1135,1715,1260,3344,1027,2071,1161,1685,1697,1179,1547,3412,1274,1190,1858,1270,1329,1587,1527,2254,1384,1104,1422,968,1238,1082,1377,1026,1488,1167,1210,1169,1402,2031,1127,1413,1350,3134,1763,2792,863,1690,1641,1403,872,1158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.000000,1330,1137,1753,1799,2012,1603,1723,2655,1096,1292,1545,1257,1182,,1123,2128,1296,3425,1867,1248,1508,2093,1299,1818,4196,1808,1872,1765,1003,2623,2273,2466,1985,4020,2012,1380,3243,1494,4464,1031,1923,1126,2896,1075,2331,1229,1750,1807,1173,1303,2591,1067,1204,1404,1311,1204,1829,1234,2147,1620,1183,1412,,1244,1148,1299,1081,1380,1123,1223,1524,1268,2095,1106,1340,1249,3060,2050,2758,968,1877,1583,1520,,1025,1019,1247,1133,1133,1096,999,819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.000000,1110,1193,1798,1432,1919,1349,1647,2474,1177,1592,1346,1551,1100,,1052,2263,920,3530,1581,1173,1300,2421,1255,1806,3848,1598,1806,1773,955,1933,1671,2054,2351,3762,2103,1158,4184,1409,3395,1133,1392,1194,2639,1217,2297,1241,1531,1802,1138,1397,2022,1096,1421,1262,1310,1339,1762,1315,1979,1429,976,1459,,1320,1266,1387,1063,1470,1213,1140,1596,1447,2351,1203,1429,1298,2487,2025,2717,829,1912,1468,1302,,1031,,1366,1271,1055,,1041,,1106,843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.000000,1067,1079,1606,1667,1776,1669,1559,2040,1211,1270,1338,1326,838,,1181,2098,1536,3553,1813,1073,1508,2243,1514,1524,2981,1545,2082,1973,931,1955,1942,2158,1979,4020,2096,1427,2727,1518,4160,963,1877,1162,2951,1320,2137,1353,1501,1810,1103,1681,2465,1086,1168,1474,1127,1128,1275,1360,2061,1531,1139,1213,969,1423,1188,1349,1135,1515,1109,1121,1152,1213,2689,1435,1575,1385,2975,1348,2448,1088,2154,1354,1324,,1324,,,1174,958,996,971,,953,1075,938,6086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.000000,990,991,1596,1683,1702,1955,1033,1950,1391,1077,1302,1297,1149,1217,1049,1880,1654,3481,1993,1289,1637,2494,,1288,3831,1504,2448,1955,,1632,1738,2299,2104,3205,2327,1393,2804,1445,4243,1148,1629,1303,2247,1068,1440,1178,1358,1606,1250,1666,2368,1294,1387,1403,1125,1237,1465,1200,2051,1291,1210,1417,868,1341,1347,1219,1277,1741,1017,1250,1585,1509,2573,1343,1455,1464,2565,1023,2065,1196,2792,1346,1542,923,1412,1017,1328,1195,949,923,1055,744,1142,1308,1108,4233,1293,915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.000000,1045,888,1832,1745,1558,2237,1128,1841,1109,1322,1268,1165,,,1200,2132,1814,3971,1985,1410,1720,2398,,1559,2717,1361,2150,1838,,1854,1722,1791,2377,3679,2110,,2550,1533,4232,1020,1308,1557,3151,1129,1729,1255,1648,1869,1444,1698,2852,1168,1276,1294,1033,1193,1277,1427,1865,1930,1210,1597,,1272,1307,994,1223,1808,1140,1593,1518,1491,2719,1279,1425,1391,2319,,,1188,2637,1103,1641,890,1402,,1340,907,1017,1254,1002,,1122,1401,,4533,1318,1754,1280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.000000,1079,932,1816,1891,1816,1531,2060,1909,1104,1258,1471,1370,,,1221,1924,1810,4071,2148,1284,1880,2480,1575,1447,3216,1845,2372,1671,973,1548,1886,1954,1615,3613,1884,1352,2964,1750,4721,1047,1351,1361,2405,1221,1903,1280,1793,1748,1540,1607,1912,1324,1470,1360,1200,1306,1625,1268,1681,1374,1293,1485,994,1396,1203,1186,1500,1880,963,1194,1330,1420,1855,915,1537,1375,2757,,,1093,2215,1346,1692,,1580,911,1243,967,,1075,1251,,1287,1383,1037,4487,1238,1115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.000000,1167,948,1946,1685,1740,1447,1889,2337,1040,1365,1482,1526,1059,835,1300,2355,1838,3434,2859,1140,1443,2685,1466,1491,3767,1418,2031,1868,1004,2224,1935,1980,2003,3771,2178,,2806,1577,4549,1094,1562,1528,2596,1258,1796,1250,1528,1856,1289,1264,2257,1217,964,1665,1136,1189,1474,1560,1768,1641,1197,1384,1070,1302,1285,1273,1117,1656,,1062,1301,1469,2407,,1628,1505,2173,,,956,2926,1225,1532,817,1262,,1207,1036,876,1078,1233,,1255,1464,,5037,1310,955,1162,1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.000000,1138,861,1950,1687,1839,1394,1630,2172,1209,1113,1734,1657,,1031,1065,2396,1572,3366,2916,1225,1693,2177,1660,1532,4023,1414,2095,1351,978,2388,1719,1863,2034,3323,1761,,2607,1277,4654,1141,1662,1364,1980,1171,1644,1057,1383,1900,1204,1255,1664,1055,863,1254,1225,1193,1453,1237,1897,1441,1039,1526,1015,1533,1041,,1395,1556,,1327,950,1499,2073,,1405,1376,2206,,,874,2805,1234,1365,,1320,,,1063,1017,,1075,,1200,1300,922,3792,1234,,1367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.000000,1030,954,2492,1701,1782,1465,1079,2092,,1316,1728,1427,,1136,1182,1941,1771,3342,2964,1267,1928,2639,,1133,3799,1559,2497,1697,992,2266,1888,2336,2714,3458,1763,,2221,1481,5099,1268,1511,1251,2401,1094,1852,1090,1643,1648,1335,1114,1874,1239,963,1500,1214,1244,1563,1669,2061,1520,1122,1481,1004,1396,1191,,1360,,,1198,1160,1204,2194,,1457,1239,1678,,,,1973,1460,1186,865,1408,,,1106,,,1120,,1096,1151,959,3645,1210,,1185,1460,1157,1047,902,1095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
