
Intensity Center Ch=1 Img=1
 ==================== 
Time [s],Intensity Center::1000000179,Intensity Center::1000000184,Intensity Center::1000000187,Intensity Center::1000000194,Intensity Center::1000000195,Intensity Center::1000000213,Intensity Center::1000000214,Intensity Center::1000000215,Intensity Center::1000000226,Intensity Center::1000000227,Intensity Center::1000000230,Intensity Center::1000000240,Intensity Center::1000000253,Intensity Center::1000000258,Intensity Center::1000000259,Intensity Center::1000000260,Intensity Center::1000000262,Intensity Center::1000000264,Intensity Center::1000000265,Intensity Center::1000000266,Intensity Center::1000000269,Intensity Center::1000000271,Intensity Center::1000000273,Intensity Center::1000000274,Intensity Center::1000000275,Intensity Center::1000000281,Intensity Center::1000000283,Intensity Center::1000000284,Intensity Center::1000000285,Intensity Center::1000000288,Intensity Center::1000000290,Intensity Center::1000000293,Intensity Center::1000000294,Intensity Center::1000000296,Intensity Center::1000000297,Intensity Center::1000000298,Intensity Center::1000000299,Intensity Center::1000000301,Intensity Center::1000000302,Intensity Center::1000000305,Intensity Center::1000000306,Intensity Center::1000000311,Intensity Center::1000000312,Intensity Center::1000000313,Intensity Center::1000000315,Intensity Center::1000000317,Intensity Center::1000000318,Intensity Center::1000000324,Intensity Center::1000000327,Intensity Center::1000000328,Intensity Center::1000000332,Intensity Center::1000000333,Intensity Center::1000000335,Intensity Center::1000000336,Intensity Center::1000000338,Intensity Center::1000000342,Intensity Center::1000000344,Intensity Center::1000000543,Intensity Center::1000000556,Intensity Center::1000000562,Intensity Center::1000000566,Intensity Center::1000000567,Intensity Center::1000000576,Intensity Center::1000000582,Intensity Center::1000000595,Intensity Center::1000000596,Intensity Center::1000000597,Intensity Center::1000000598,Intensity Center::1000000603,Intensity Center::1000000604,Intensity Center::1000000606,Intensity Center::1000000609,Intensity Center::1000000617,Intensity Center::1000000618,Intensity Center::1000000628,Intensity Center::1000000629,Intensity Center::1000000632,Intensity Center::1000000636,Intensity Center::1000000644,Intensity Center::1000000663,Intensity Center::1000000664,Intensity Center::1000000666,Intensity Center::1000000667,Intensity Center::1000000671,Intensity Center::1000000677,Intensity Center::1000000683,Intensity Center::1000000687,Intensity Center::1000000689,Intensity Center::1000000690,Intensity Center::1000000692,Intensity Center::1000000693,Intensity Center::1000000694,Intensity Center::1000000706,Intensity Center::1000000707,Intensity Center::1000000708,Intensity Center::1000000711,Intensity Center::1000000716,Intensity Center::1000000721,Intensity Center::1000000723,Intensity Center::1000000726,Intensity Center::1000000732,Intensity Center::1000000754,Intensity Center::1000000766,Intensity Center::1000000777,Intensity Center::1000000784,Intensity Center::1000000956,Intensity Center::1000000974,Intensity Center::1000000976,Intensity Center::1000000981,Intensity Center::1000000982,Intensity Center::1000000997,Intensity Center::1000001018,Intensity Center::1000001019,Intensity Center::1000002132,Intensity Center::1000002587,Intensity Center::1000002602,Intensity Center::1000002858,Intensity Center::1000003007,Intensity Center::1000003038,Intensity Center::1000003250,Intensity Center::1000004051,Intensity Center::1000004448,Intensity Center::1000004469,Intensity Center::1000004927,Intensity Center::1000005379,Intensity Center::1000005388,Intensity Center::1000005406,Intensity Center::1000005437,Intensity Center::1000005571,Intensity Center::1000005628,Intensity Center::1000006442,Intensity Center::1000006793,Intensity Center::1000007236,Intensity Center::1000007701,Intensity Center::1000008668,Intensity Center::1000008915,Intensity Center::1000009437,Intensity Center::1000009504,Intensity Center::1000009507,Intensity Center::1000009527,Intensity Center::1000010258,Intensity Center::1000010265,Intensity Center::1000010673,Intensity Center::1000011184,Intensity Center::1000011812,Intensity Center::1000012084,Intensity Center::1000012245,Intensity Center::1000012910,Intensity Center::1000013289,Intensity Center::1000013310,Intensity Center::1000014141,Intensity Center::1000014496,Intensity Center::1000016505,Intensity Center::1000017648,Intensity Center::1000017951,Intensity Center::1000018077,Intensity Center::1000018734,Intensity Center::1000019199,Intensity Center::1000021401,Intensity Center::1000021462,Intensity Center::1000022590,Intensity Center::1000023037,Intensity Center::1000023751,Intensity Center::1000024251,Intensity Center::1000025374,Intensity Center::1000025810,Intensity Center::1000026083,Intensity Center::1000026898,Intensity Center::1000027279,Intensity Center::1000027973,Intensity Center::1000029171,Intensity Center::1000029488,Intensity Center::1000029922,Intensity Center::1000030415,Intensity Center::1000031113,Intensity Center::1000033062,Intensity Center::1000035429,Intensity Center::1000036074,Intensity Center::1000036122,Intensity Center::1000037319,Intensity Center::1000037377,Intensity Center::1000037648,Intensity Center::1000037702,Intensity Center::1000038666,
0.000000,1272,1772,1385,1450,1463,1510,2160,1991,2063,1856,2073,1623,2115,1280,1829,1319,1402,3604,2010,1811,1395,2014,3281,1421,3764,1567,1832,1568,2673,1249,2143,2627,2099,1607,2941,2509,2082,1528,1793,3072,1311,2352,2562,1665,2368,1463,2319,3413,5040,6586,1501,2102,3029,3658,2218,3267,3182,1645,1277,1083,1433,2100,1842,2227,1697,1339,1584,2471,1832,2410,2373,1514,1959,1486,1959,1688,2185,1645,1399,2228,1613,3587,2434,4120,1885,1474,1740,1695,3569,1647,5151,3158,1392,3008,1709,1157,1439,1413,1432,2048,1618,1200,1363,1061,2881,1540,2168,1483,1613,1112,1507,1110,1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.000000,1305,1406,1448,1551,1746,1326,2029,1462,2247,2196,2037,1840,2649,726,1783,1315,1060,3752,2142,1905,1874,2019,3346,1736,4974,1524,2058,1792,2997,1207,1860,2959,1883,2535,3400,2376,1742,1522,2213,3489,1353,2408,3555,2041,2648,1862,2395,3870,5418,5325,1654,1750,2927,2705,2021,3064,4093,1532,1188,,1620,2112,1424,2234,1674,,1682,2803,1892,2525,1986,1738,1830,1824,1869,1662,2237,1619,1189,2011,1799,3176,2443,4013,1877,1487,1825,1531,3282,1641,4526,2971,1408,2676,1859,1363,1904,1532,1366,2273,1459,1269,1502,1172,2780,1870,2187,1562,1570,1090,1458,1137,1617,1426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.000000,1395,1506,1482,1636,1529,1572,1829,,1989,1785,2041,1729,2252,1348,1808,1247,1239,3691,1931,1720,1828,1966,3199,1778,4633,1897,1574,1626,2444,1443,2021,3282,1935,2418,3230,2189,2390,1734,1928,3915,1594,2995,3158,2159,2263,1562,2858,4005,5472,5796,1516,2412,3231,3129,2311,3242,3982,1757,1062,,1257,1850,1716,1681,1762,1199,1612,3056,2216,2729,2301,1622,2107,1808,2026,1449,1858,1682,1219,2099,1784,3635,2320,3500,2169,,1859,1290,3050,1684,3903,3263,1359,2664,2045,1615,2177,1458,1323,2448,1369,1172,1547,1260,2866,1672,1958,1392,1694,1245,1364,960,,1189,2262,1537,1354,1110,1150,1263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.000000,1212,1415,1701,1493,1641,1492,1826,1364,1647,1645,2311,1733,1930,1046,1814,1170,1268,3176,1470,1705,,2024,3007,1555,4532,1483,1583,1986,2515,1482,2437,3088,2129,2483,3298,2440,2352,1792,1792,3283,1284,2971,3733,1973,2145,1644,2785,4217,5305,5864,1620,2056,3210,4070,2229,3063,3187,1582,1131,1091,1412,1952,1651,1853,2024,1197,1633,3189,2112,2566,2944,1305,1941,2039,1750,1537,1740,2117,964,1745,1884,3318,1913,3973,2212,1461,1882,1301,3474,2031,3382,3156,1500,2253,1866,1607,1723,1368,1795,2359,1266,1100,1925,1485,3099,1914,2077,1375,1585,1206,1420,1090,1505,1467,2250,1557,,1289,,1216,1260,1321,1434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.000000,1394,1448,1692,1484,1599,1601,1732,1312,1926,1325,2086,2010,2379,1118,1851,1133,,2884,1358,1497,1888,1816,2746,1467,4261,1499,1817,1829,1663,1769,2010,2144,2229,2068,3652,2313,1907,2032,1904,2872,1438,2768,3810,2186,1926,2369,3085,4006,4444,4767,1584,2202,3020,3971,2701,3380,3716,1483,1182,,1485,1886,1486,2091,2188,1126,,2753,1693,2017,2838,1427,1991,1844,1534,1612,2209,1793,1138,2755,1605,2980,2191,3830,2027,1359,1983,1259,2963,1777,2396,,1563,2525,2151,1537,1587,1461,1498,1818,1357,1368,1877,1334,3503,1920,2284,1342,1741,1130,,1138,1522,1286,1771,1688,,1532,1236,1265,1542,,1655,2101,1120,1266,1096,1106,1336,1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.000000,1530,,1572,1579,1780,1437,1925,,1846,1520,2310,1746,2211,1016,1770,1032,,3539,1109,1322,1703,1800,2718,1306,4291,1807,2049,1334,1739,1377,2088,2968,2460,2121,4092,2165,1139,1904,2000,3647,1362,2919,3479,2054,2243,2362,2867,4593,5377,5128,1817,2177,3411,3190,2575,3225,4214,1443,,,1406,1865,1441,2181,1803,1376,1587,2742,1733,1931,3005,1980,1826,1761,1503,1471,2269,1718,1124,2558,1584,3055,2537,3637,2411,1798,1700,1464,3158,2160,2325,,1750,2762,2318,1651,1571,1549,1560,1672,1323,1251,1799,1136,3887,1988,1853,1323,1592,1218,,1235,1436,1417,1928,1681,1330,1429,1212,1347,1458,1343,1626,2175,1075,,1519,1109,1355,1307,2017,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.000000,1305,,1495,1663,1911,1291,1940,,1591,1985,2426,1724,2287,815,1989,1096,,3345,1215,1185,1346,2102,2447,,5035,1687,1205,1329,1783,1602,2351,3059,1924,2010,3259,2520,2258,1769,1789,3458,1695,2910,3344,2082,2352,2524,2960,4106,5421,5492,1734,2337,3116,2439,2276,4104,2983,1551,,,1422,1942,1274,1985,1466,1705,1711,2590,1784,2521,2778,1489,1798,1548,2101,1406,2108,1723,1266,2871,2003,3850,2278,4334,2057,1390,1886,1533,3463,1939,2178,,1791,2730,2206,1836,1735,1555,1377,1801,1308,1362,1737,1298,3997,1821,2499,1608,1949,1028,,1297,1508,1791,2210,1737,,1727,,1388,1303,1364,1543,1650,1026,,1252,955,1393,1274,2663,1796,1567,2967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.000000,1245,,1793,1636,1187,1509,2492,,1463,1989,2289,1660,2219,1001,2298,1123,,3104,1371,1328,1285,1921,3091,1455,4760,1652,1790,1309,2261,1367,1334,3168,1609,1878,3220,2231,1837,1644,1916,3146,1685,3283,3924,1973,2091,2392,2329,4440,5036,5306,1729,2381,3013,1978,2387,3775,3320,1496,,,1453,1919,1251,1888,1564,1232,1717,3185,1748,2062,2506,1880,1975,1929,2059,1410,1625,1816,1049,2589,1858,3948,2199,4189,2607,1846,1803,1492,3436,2097,2140,,2158,2298,2332,1683,1715,1371,1330,2436,1251,1316,1728,1219,4232,1730,2394,1596,1778,1235,,1541,1269,1819,1828,1645,,1538,1345,1412,1215,,1426,,,1408,1138,1229,1463,1355,2373,1493,,2936,1586,1137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.000000,1359,,1648,1699,1569,1393,2155,,1806,2013,2072,1757,1934,1150,2639,974,,3045,1102,1297,1818,1839,2887,1249,4468,1736,1684,1305,2548,1310,1883,2492,2164,2321,3438,2103,1969,1625,1922,3379,1363,3110,2830,2254,2581,2283,2599,4685,4307,5933,,1889,3167,1675,2384,3471,4184,1454,,,1242,1933,1487,2025,1806,,1750,2393,1549,2177,2424,1894,2109,1714,1837,1393,1949,1843,1103,3212,1986,2757,2598,3608,2302,2129,1672,1622,3837,1965,1820,,2628,2220,2387,1943,1484,1298,1695,2022,1311,1851,1582,1180,4211,1460,2017,1388,1790,1199,,1452,1418,1551,2150,1843,1395,1603,1229,1444,1312,1424,1451,1522,1139,1373,1367,1091,1480,1256,2359,1141,1217,2673,1473,1348,1330,1694,1132,1640,1249,1422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.000000,1175,,1750,1518,1588,1316,2609,,1557,2244,2289,1600,1949,1046,2191,1174,,2540,1030,1312,,1601,2792,1345,4489,1775,1695,1417,2381,1302,1114,2858,1795,2359,3468,2737,1763,1667,2157,3558,1425,3258,3553,2424,2346,2021,2379,4501,4000,4102,,1881,3133,1116,2573,3316,2686,1563,,,1293,2051,1398,1807,1656,,1769,2881,1515,2374,2975,1685,1843,1765,2056,1601,2070,1684,1009,2959,1741,3063,2432,,2857,1930,1747,1349,3275,2658,1821,,1958,2392,1996,2312,,1245,1824,1810,1304,1906,1403,1221,4371,1435,1804,1556,1699,1033,,1497,1475,1433,1958,1565,,1543,,1445,1257,,,,,1483,1425,1030,1162,1215,2290,1315,1221,1767,1358,1175,1448,,1144,1640,1131,,1564,994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
