
Intensity Center Ch=1 Img=1
 ==================== 
Time [s],Intensity Center::1000819429,Intensity Center::1000819468,Intensity Center::1000819498,Intensity Center::1000819532,Intensity Center::1000819533,Intensity Center::1000819567,Intensity Center::1000819589,Intensity Center::1000819597,Intensity Center::1000819615,Intensity Center::1000819622,Intensity Center::1000819630,Intensity Center::1000819634,Intensity Center::1000819635,Intensity Center::1000819644,Intensity Center::1000819646,Intensity Center::1000819651,Intensity Center::1000819671,Intensity Center::1000819688,Intensity Center::1000819699,Intensity Center::1000819720,Intensity Center::1000819736,Intensity Center::1000819745,Intensity Center::1000819746,Intensity Center::1000819750,Intensity Center::1000819765,Intensity Center::1000819769,Intensity Center::1000819774,Intensity Center::1000819776,Intensity Center::1000819777,Intensity Center::1000819778,Intensity Center::1000819783,Intensity Center::1000819784,Intensity Center::1000819787,Intensity Center::1000819790,Intensity Center::1000819793,Intensity Center::1000819807,Intensity Center::1000819810,Intensity Center::1000819813,Intensity Center::1000819814,Intensity Center::1000819816,Intensity Center::1000819827,Intensity Center::1000819837,Intensity Center::1000819839,Intensity Center::1000819842,Intensity Center::1000819850,Intensity Center::1000819853,Intensity Center::1000819855,Intensity Center::1000819858,Intensity Center::1000819864,Intensity Center::1000819865,Intensity Center::1000819873,Intensity Center::1000819881,Intensity Center::1000819885,Intensity Center::1000819888,Intensity Center::1000819892,Intensity Center::1000819893,Intensity Center::1000819897,Intensity Center::1000819899,Intensity Center::1000819902,Intensity Center::1000819905,Intensity Center::1000819906,Intensity Center::1000819908,Intensity Center::1000819910,Intensity Center::1000819911,Intensity Center::1000819915,Intensity Center::1000819925,Intensity Center::1000819931,Intensity Center::1000819932,Intensity Center::1000819936,Intensity Center::1000819944,Intensity Center::1000819945,Intensity Center::1000819946,Intensity Center::1000819947,Intensity Center::1000819949,Intensity Center::1000819954,Intensity Center::1000819955,Intensity Center::1000819961,Intensity Center::1000819962,Intensity Center::1000819977,Intensity Center::1000819993,Intensity Center::1000819995,Intensity Center::1000820003,Intensity Center::1000820004,Intensity Center::1000820007,Intensity Center::1000820024,Intensity Center::1000820025,Intensity Center::1000820029,Intensity Center::1000820030,Intensity Center::1000820032,Intensity Center::1000820050,Intensity Center::1000821073,Intensity Center::1000821082,Intensity Center::1000821166,Intensity Center::1000821197,Intensity Center::1000821222,Intensity Center::1000821272,Intensity Center::1000821294,Intensity Center::1000821312,Intensity Center::1000821320,Intensity Center::1000821345,Intensity Center::1000821351,Intensity Center::1000821388,Intensity Center::1000821395,Intensity Center::1000821446,Intensity Center::1000821450,Intensity Center::1000821460,Intensity Center::1000821461,Intensity Center::1000821463,Intensity Center::1000821464,Intensity Center::1000821465,Intensity Center::1000821467,Intensity Center::1000821469,Intensity Center::1000821470,Intensity Center::1000821475,Intensity Center::1000821479,Intensity Center::1000821488,Intensity Center::1000821494,Intensity Center::1000821497,Intensity Center::1000821527,Intensity Center::1000821529,Intensity Center::1000821537,Intensity Center::1000821538,Intensity Center::1000821542,Intensity Center::1000821545,Intensity Center::1000821547,Intensity Center::1000821548,Intensity Center::1000821559,Intensity Center::1000821560,Intensity Center::1000821571,Intensity Center::1000821573,Intensity Center::1000821578,Intensity Center::1000821587,Intensity Center::1000821588,Intensity Center::1000821596,Intensity Center::1000821597,Intensity Center::1000821603,Intensity Center::1000821619,Intensity Center::1000821622,Intensity Center::1000821623,Intensity Center::1000821648,Intensity Center::1000821651,Intensity Center::1000821678,Intensity Center::1000821717,Intensity Center::1000821718,Intensity Center::1000821725,Intensity Center::1000821743,Intensity Center::1000821754,Intensity Center::1000821780,Intensity Center::1000821790,Intensity Center::1000821852,Intensity Center::1000821854,Intensity Center::1000822065,Intensity Center::1000822947,Intensity Center::1000822956,Intensity Center::1000822962,Intensity Center::1000822968,Intensity Center::1000822972,Intensity Center::1000822999,Intensity Center::1000823002,Intensity Center::1000823017,Intensity Center::1000823020,Intensity Center::1000823044,Intensity Center::1000823065,Intensity Center::1000823072,Intensity Center::1000823159,Intensity Center::1000823161,Intensity Center::1000825591,Intensity Center::1000825867,Intensity Center::1000827496,Intensity Center::1000827577,Intensity Center::1000827588,Intensity Center::1000828896,Intensity Center::1000831700,Intensity Center::1000833549,Intensity Center::1000833557,Intensity Center::1000835105,Intensity Center::1000837948,Intensity Center::1000846337,Intensity Center::1000850736,Intensity Center::1000852230,Intensity Center::1000858547,Intensity Center::1000864902,Intensity Center::1000866827,Intensity Center::1000871878,Intensity Center::1000878677,Intensity Center::1000891361,Intensity Center::1000891446,Intensity Center::1000891464,Intensity Center::1000891637,Intensity Center::1000891658,Intensity Center::1000891711,Intensity Center::1000898461,Intensity Center::1000898779,Intensity Center::1000900209,Intensity Center::1000905266,Intensity Center::1000905544,Intensity Center::1000912365,Intensity Center::1000926568,Intensity Center::1000928791,Intensity Center::1000933716,Intensity Center::1000935713,Intensity Center::1000941078,Intensity Center::1000955671,Intensity Center::1000962668,Intensity Center::1000969866,Intensity Center::1000981908,Intensity Center::1000981987,Intensity Center::1000984102,Intensity Center::1000984147,Intensity Center::1000990713,Intensity Center::1000995970,Intensity Center::1000998560,Intensity Center::1001000057,Intensity Center::1001003282,Intensity Center::1001005857,Intensity Center::1001013163,Intensity Center::1001013263,Intensity Center::1001020153,Intensity Center::1001020717,Intensity Center::1001021808,Intensity Center::1001027503,Intensity Center::1001027763,Intensity Center::1001029495,Intensity Center::1001032610,Intensity Center::1001034935,Intensity Center::1001040279,Intensity Center::1001042903,Intensity Center::1001044104,Intensity Center::1001044300,Intensity Center::1001049646,Intensity Center::1001050140,Intensity Center::1001050155,
0.000000,792,887,864,791,859,783,926,1092,1123,1100,855,1142,889,859,998,824,1262,702,903,859,744,1447,947,711,1154,1084,1153,718,710,1147,1357,978,1705,1058,976,1282,1058,1594,972,1221,1313,935,930,919,1874,1191,939,1159,1732,884,887,1089,1525,1464,1191,1282,1102,1881,2121,1740,1431,1592,1815,1732,2615,1319,1809,1450,2410,1465,1448,914,977,683,1459,961,1078,1714,1906,1938,2474,1530,2865,1647,1250,1045,2885,1152,2354,1018,1184,1032,719,966,1266,924,796,757,885,1225,1194,881,810,1611,1823,841,775,911,1080,1514,1094,3042,696,879,1589,1334,811,1066,909,1040,781,1735,1227,757,1008,1120,1090,954,895,1255,1267,769,848,655,975,865,643,1189,947,719,1081,722,654,894,937,671,913,672,738,735,669,738,1175,866,1427,799,767,846,1169,1080,867,877,895,1038,734,962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.000000,760,857,817,849,817,691,630,931,998,1353,759,954,948,726,1059,833,1348,876,885,987,989,1393,839,864,1029,1609,1574,838,707,1364,1555,995,1843,1102,884,1061,887,1954,1001,1115,1275,873,1154,1213,1735,1158,921,1562,1710,832,871,1071,1590,1477,1535,1243,1096,1602,2361,1817,1339,1917,2041,1775,1687,1319,1820,1738,2330,1531,1429,995,1036,559,1050,945,761,1332,1771,2517,2497,1540,2449,1535,1068,1088,2328,1070,2840,1154,1139,898,,1009,1264,997,642,774,935,1512,1215,863,866,1310,1826,818,694,935,1090,1596,1159,3041,708,757,1823,1421,1081,1123,896,819,,2050,909,756,969,1298,933,729,843,1098,1393,681,912,630,1005,985,702,1143,897,863,982,926,871,791,1142,681,904,708,786,741,765,687,1251,723,1584,723,894,884,1124,1109,906,855,1004,1193,743,780,767,1163,632,746,846,886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.000000,821,863,898,818,815,713,838,1037,1145,1217,943,968,816,760,1027,912,1098,782,909,800,899,1382,951,857,1040,846,1640,728,744,1300,1368,1008,2002,1073,800,1127,909,1549,960,1304,1075,880,1247,1329,1109,1043,,1402,1562,875,981,929,1566,1432,1392,1374,1191,1766,2465,1643,1333,1844,1890,1771,2270,1250,2173,1312,1864,1409,1424,953,950,815,1251,773,821,1554,1746,1510,1965,1380,2666,1281,1125,999,2808,1017,2967,1013,1037,837,710,960,1335,970,735,783,818,1566,1125,866,903,1548,1335,858,784,907,1071,1794,1002,3285,798,887,1962,1476,1244,1109,886,926,741,1988,955,738,903,1294,1101,822,834,919,1358,696,867,682,1116,829,735,1143,915,847,1071,677,910,799,915,613,944,700,801,844,661,662,1065,,1603,851,752,995,929,985,927,1084,1055,1081,831,788,875,1267,,,945,852,722,853,835,745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.000000,687,774,843,839,808,802,941,973,1083,1308,793,917,938,839,944,790,1248,723,826,872,813,1379,978,825,825,1763,1484,813,709,1191,1164,880,1887,929,860,1018,757,1311,859,1329,1232,898,1249,997,1525,984,,1209,1545,807,811,960,1147,1273,1477,1149,961,1656,1778,1836,1159,1934,1901,1752,1830,1146,2375,1658,2200,1182,1470,983,1212,829,1215,646,1285,1456,1830,1130,2275,1301,2848,1206,1325,928,2457,1080,2852,1059,1002,774,745,891,1159,884,713,688,956,1645,1076,894,859,1361,2225,778,789,1058,1059,1714,890,3086,751,885,2247,1185,909,1198,951,928,790,2393,906,739,1069,1207,1106,1000,878,1048,1640,,868,642,989,857,,1269,905,886,987,893,816,1112,916,737,864,764,678,823,693,735,953,723,1492,877,845,818,1139,951,890,830,1082,1000,841,792,,1011,695,,1288,,1052,802,767,841,788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.000000,696,,835,716,881,680,1013,806,1054,1387,828,857,872,901,944,723,1055,802,763,971,803,1198,793,868,1034,1712,1417,827,,1279,1194,811,1325,1001,,972,737,1665,851,1425,1287,818,882,1344,1649,1040,724,1077,1649,776,892,1011,1961,1185,1316,1280,1074,1777,1909,1930,1120,1511,1482,1649,1808,935,1738,1360,2197,1391,1305,986,1041,911,1281,752,1059,1306,1703,1030,2617,1233,2622,1083,1355,956,2464,1054,3020,1079,949,802,756,775,1342,833,688,714,987,1207,1082,842,976,1549,2003,813,805,1126,853,1452,1054,3154,885,788,2687,1254,734,949,913,811,743,1851,673,774,1178,1265,1144,1090,873,1165,1475,756,905,706,964,731,,1203,900,898,1360,845,797,1147,733,678,856,716,727,932,716,766,1104,860,1155,903,739,950,1021,1250,889,819,1029,1026,799,,833,990,729,773,1293,,1161,800,798,786,753,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.000000,,,860,892,815,863,779,966,941,1229,749,784,802,685,869,883,918,819,772,840,888,1232,800,,929,1823,1004,800,,1134,1256,863,1466,832,850,1011,831,1705,1017,1210,1377,875,1084,1273,1406,,,1439,1727,930,784,894,1613,1298,916,1351,846,1666,1896,1432,1198,1634,1602,1561,1645,941,1895,1365,1768,1384,1243,925,958,992,1105,869,824,1096,1700,1133,2776,1401,2781,1101,1677,802,2551,1196,2765,1288,868,815,708,1108,1152,847,863,765,844,1349,928,874,913,1556,2113,843,819,1217,1045,1767,1325,2912,870,890,2392,1363,,796,878,857,,2097,654,806,1115,,1233,1189,817,1230,1816,,821,942,976,1041,,1144,861,1601,1295,736,832,931,708,697,1087,767,626,849,726,865,925,857,1222,798,669,1191,1057,1067,932,870,1029,987,839,945,,,897,,1295,797,1072,713,630,946,784,940,915,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.000000,,,805,775,775,987,985,913,895,1246,724,847,797,835,933,921,989,797,838,869,907,1195,865,,903,925,1319,934,,1130,1270,937,1561,,,988,733,1515,913,1465,1417,806,995,1495,1182,,,1567,1682,835,785,944,1727,1260,974,1299,956,1608,2131,1594,1095,1959,1464,1439,2173,1158,1677,1251,1572,1446,1205,934,953,958,1149,963,927,1114,1422,1048,2241,1295,2237,1237,1273,915,2142,1112,2895,1028,899,735,731,1352,1232,797,784,720,973,1558,1006,828,937,1674,1373,883,796,1146,,1500,951,2697,912,785,1907,908,,1065,873,998,781,2170,707,1049,1143,,1245,1051,816,911,1615,,761,882,917,1002,733,984,1168,1133,1205,670,881,1019,731,692,1266,738,591,882,659,789,1028,872,1476,791,825,1025,1006,1084,997,755,1122,964,824,951,842,,945,,1297,913,1213,937,733,805,738,808,962,835,758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.000000,,,725,,880,779,765,911,807,1086,760,695,818,739,910,,1007,716,803,974,737,1102,897,,1114,1485,928,827,738,1252,1437,945,1278,951,,1041,747,1688,899,1314,1319,825,866,837,1452,,,1498,1676,917,,913,1374,,1096,1209,867,1576,2072,1733,1050,1582,1470,1332,1686,1086,1669,1494,1687,1207,1350,1105,865,1103,1153,793,1018,1079,1815,1413,2236,1224,1978,1397,1456,934,2617,1066,3135,1212,913,,704,1320,1012,759,688,818,871,1301,1186,869,902,1588,1716,774,811,959,,1413,1307,,930,770,2212,998,,994,823,1060,780,2103,817,1015,1423,,1006,1047,889,944,1584,,762,803,959,1026,706,1011,961,1264,990,800,824,1012,735,696,1079,787,624,906,737,747,990,747,958,695,885,953,872,1064,955,809,1175,926,925,935,,,1108,,1085,857,1033,913,736,874,914,714,865,749,699,3033,847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.000000,,,758,,716,896,761,905,895,1079,688,803,870,889,810,722,1059,695,748,949,774,1099,884,,1031,1203,1021,774,725,1279,1287,908,1101,853,,1027,875,1718,895,1126,1324,829,979,876,1551,,,1740,1611,902,,962,1624,,1075,1030,932,1594,1608,1569,936,1706,1457,1364,1917,1126,1545,1538,1940,1284,1203,1123,982,827,1191,895,1002,1108,1816,1330,2643,1306,1630,1425,1554,796,2863,1053,3397,1021,845,,775,824,970,871,681,809,,1246,868,,1018,1595,1583,816,788,855,,1300,1281,,836,880,2083,968,,1009,912,1128,690,2352,1140,715,1016,,1084,970,796,899,1777,,767,944,897,885,680,965,1007,1029,978,731,853,1027,,690,1037,630,538,866,716,732,1174,840,1104,785,925,1036,1187,1013,996,865,1167,1024,960,865,,,1017,,810,810,1235,906,784,876,,757,762,800,851,2455,928,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.000000,,,833,,711,893,846,896,887,1387,749,852,900,873,740,825,1007,712,782,911,887,1229,853,,903,1427,1111,763,,1098,1334,944,1174,863,,1128,835,1586,869,1013,1573,818,764,606,1578,,,1260,1760,1048,,985,1597,,1322,1110,775,1658,1467,1063,1104,1998,1928,1318,1897,1110,2069,1243,1455,1233,1201,1059,924,947,961,766,785,1340,1902,1112,2117,1075,2373,1408,1313,876,2727,1095,3429,1127,749,,733,747,1041,851,797,767,,1133,1196,977,832,1686,1383,939,839,785,,1068,1097,,963,703,1753,1111,,1088,883,1122,,1828,748,857,1527,,1137,1019,863,872,1675,,845,960,950,876,759,901,845,1255,917,725,798,1045,,746,836,684,653,990,655,681,1031,,1424,789,977,991,991,1119,1018,,1194,964,857,859,,,979,,,,1203,814,717,875,,,995,758,670,2714,,993,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
