
Intensity Center Ch=1 Img=1
 ==================== 
Time [s],Intensity Center::1000000165,Intensity Center::1000000278,Intensity Center::1000000294,Intensity Center::1000000298,Intensity Center::1000000305,Intensity Center::1000000308,Intensity Center::1000000340,Intensity Center::1000000347,Intensity Center::1000000350,Intensity Center::1000000360,Intensity Center::1000000362,Intensity Center::1000000368,Intensity Center::1000000370,Intensity Center::1000000377,Intensity Center::1000000400,Intensity Center::1000000414,Intensity Center::1000000419,Intensity Center::1000000424,Intensity Center::1000000425,Intensity Center::1000000433,Intensity Center::1000000436,Intensity Center::1000000439,Intensity Center::1000000441,Intensity Center::1000000445,Intensity Center::1000000446,Intensity Center::1000000448,Intensity Center::1000000450,Intensity Center::1000000451,Intensity Center::1000000453,Intensity Center::1000000454,Intensity Center::1000000457,Intensity Center::1000000458,Intensity Center::1000000462,Intensity Center::1000000466,Intensity Center::1000000470,Intensity Center::1000000471,Intensity Center::1000000472,Intensity Center::1000000476,Intensity Center::1000000479,Intensity Center::1000000482,Intensity Center::1000000486,Intensity Center::1000000487,Intensity Center::1000000493,Intensity Center::1000000494,Intensity Center::1000000495,Intensity Center::1000000496,Intensity Center::1000000500,Intensity Center::1000000501,Intensity Center::1000000502,Intensity Center::1000000507,Intensity Center::1000000509,Intensity Center::1000000510,Intensity Center::1000000515,Intensity Center::1000000516,Intensity Center::1000000518,Intensity Center::1000000521,Intensity Center::1000000523,Intensity Center::1000000525,Intensity Center::1000000528,Intensity Center::1000000529,Intensity Center::1000000533,Intensity Center::1000000537,Intensity Center::1000000540,Intensity Center::1000000541,Intensity Center::1000000543,Intensity Center::1000000545,Intensity Center::1000000546,Intensity Center::1000000547,Intensity Center::1000000548,Intensity Center::1000000551,Intensity Center::1000000554,Intensity Center::1000000559,Intensity Center::1000000560,Intensity Center::1000000561,Intensity Center::1000000566,Intensity Center::1000000567,Intensity Center::1000000569,Intensity Center::1000000572,Intensity Center::1000000575,Intensity Center::1000000578,Intensity Center::1000000581,Intensity Center::1000000585,Intensity Center::1000000591,Intensity Center::1000000594,Intensity Center::1000000596,Intensity Center::1000000600,Intensity Center::1000000603,Intensity Center::1000000604,Intensity Center::1000000608,Intensity Center::1000000609,Intensity Center::1000000613,Intensity Center::1000000618,Intensity Center::1000000619,Intensity Center::1000000620,Intensity Center::1000000622,Intensity Center::1000000624,Intensity Center::1000000625,Intensity Center::1000000628,Intensity Center::1000000629,Intensity Center::1000000630,Intensity Center::1000000631,Intensity Center::1000000634,Intensity Center::1000000635,Intensity Center::1000000637,Intensity Center::1000000642,Intensity Center::1000000648,Intensity Center::1000000649,Intensity Center::1000000650,Intensity Center::1000000652,Intensity Center::1000000653,Intensity Center::1000000655,Intensity Center::1000000657,Intensity Center::1000000659,Intensity Center::1000000663,Intensity Center::1000000664,Intensity Center::1000000668,Intensity Center::1000000669,Intensity Center::1000000674,Intensity Center::1000000676,Intensity Center::1000000683,Intensity Center::1000000685,Intensity Center::1000001020,Intensity Center::1000001090,Intensity Center::1000001122,Intensity Center::1000001133,Intensity Center::1000001134,Intensity Center::1000001154,Intensity Center::1000001158,Intensity Center::1000001172,Intensity Center::1000001180,Intensity Center::1000001185,Intensity Center::1000001195,Intensity Center::1000001198,Intensity Center::1000001203,Intensity Center::1000001212,Intensity Center::1000001215,Intensity Center::1000001248,Intensity Center::1000001259,Intensity Center::1000001270,Intensity Center::1000001272,Intensity Center::1000001279,Intensity Center::1000001280,Intensity Center::1000001289,Intensity Center::1000001302,Intensity Center::1000001315,Intensity Center::1000001325,Intensity Center::1000001327,Intensity Center::1000001354,Intensity Center::1000001355,Intensity Center::1000001356,Intensity Center::1000001360,Intensity Center::1000001362,Intensity Center::1000001363,Intensity Center::1000001365,Intensity Center::1000001366,Intensity Center::1000001368,Intensity Center::1000001370,Intensity Center::1000001375,Intensity Center::1000001381,Intensity Center::1000001384,Intensity Center::1000001385,Intensity Center::1000001394,Intensity Center::1000001395,Intensity Center::1000001398,Intensity Center::1000001401,Intensity Center::1000001405,Intensity Center::1000001406,Intensity Center::1000001417,Intensity Center::1000001419,Intensity Center::1000001420,Intensity Center::1000001422,Intensity Center::1000001424,Intensity Center::1000001425,Intensity Center::1000001434,Intensity Center::1000001436,Intensity Center::1000001438,Intensity Center::1000001444,Intensity Center::1000001457,Intensity Center::1000001458,Intensity Center::1000001460,Intensity Center::1000001462,Intensity Center::1000001463,Intensity Center::1000001471,Intensity Center::1000001473,Intensity Center::1000001475,Intensity Center::1000001486,Intensity Center::1000001490,Intensity Center::1000001493,Intensity Center::1000001499,Intensity Center::1000001505,Intensity Center::1000001507,Intensity Center::1000001518,Intensity Center::1000001522,Intensity Center::1000001525,Intensity Center::1000001531,Intensity Center::1000001532,Intensity Center::1000001544,Intensity Center::1000001545,Intensity Center::1000001560,Intensity Center::1000001561,Intensity Center::1000001573,Intensity Center::1000001584,Intensity Center::1000001588,Intensity Center::1000001589,Intensity Center::1000001615,Intensity Center::1000001909,Intensity Center::1000001910,Intensity Center::1000001918,Intensity Center::1000001937,Intensity Center::1000001938,Intensity Center::1000001955,Intensity Center::1000001957,Intensity Center::1000001965,Intensity Center::1000001966,Intensity Center::1000001990,Intensity Center::1000001998,Intensity Center::1000002000,Intensity Center::1000002001,Intensity Center::1000002021,Intensity Center::1000002022,Intensity Center::1000002897,Intensity Center::1000002947,Intensity Center::1000003073,Intensity Center::1000003201,Intensity Center::1000003260,Intensity Center::1000003908,Intensity Center::1000004128,Intensity Center::1000004154,Intensity Center::1000004648,Intensity Center::1000006666,Intensity Center::1000006675,Intensity Center::1000006709,Intensity Center::1000006881,Intensity Center::1000006916,Intensity Center::1000007685,Intensity Center::1000007949,Intensity Center::1000007972,Intensity Center::1000010195,Intensity Center::1000010221,Intensity Center::1000010291,Intensity Center::1000010353,Intensity Center::1000011533,Intensity Center::1000011624,Intensity Center::1000013891,Intensity Center::1000013984,Intensity Center::1000014056,Intensity Center::1000014165,Intensity Center::1000014226,Intensity Center::1000014270,Intensity Center::1000014305,Intensity Center::1000015296,Intensity Center::1000015556,Intensity Center::1000018005,Intensity Center::1000018065,Intensity Center::1000018185,Intensity Center::1000018272,Intensity Center::1000018326,Intensity Center::1000018343,Intensity Center::1000018418,Intensity Center::1000019200,Intensity Center::1000019494,Intensity Center::1000019615,Intensity Center::1000019630,Intensity Center::1000019893,Intensity Center::1000021919,Intensity Center::1000022135,Intensity Center::1000022155,Intensity Center::1000022237,Intensity Center::1000022277,Intensity Center::1000022976,Intensity Center::1000025616,Intensity Center::1000025943,Intensity Center::1000025970,Intensity Center::1000026020,Intensity Center::1000026972,Intensity Center::1000044204,Intensity Center::1000046684,Intensity Center::1000047075,Intensity Center::1000047136,Intensity Center::1000047152,Intensity Center::1000048371,Intensity Center::1000051664,Intensity Center::1000051709,Intensity Center::1000051768,Intensity Center::1000051972,Intensity Center::1000056078,Intensity Center::1000056202,Intensity Center::1000057693,Intensity Center::1000059869,Intensity Center::1000066790,Intensity Center::1000066894,Intensity Center::1000067416,Intensity Center::1000067663,Intensity Center::1000073201,Intensity Center::1000076211,Intensity Center::1000081747,Intensity Center::1000087095,Intensity Center::1000093187,Intensity Center::1000093684,Intensity Center::1000095124,Intensity Center::1000107722,Intensity Center::1000112975,Intensity Center::1000113109,Intensity Center::1000113133,Intensity Center::1000118064,Intensity Center::1000119789,Intensity Center::1000120166,Intensity Center::1000120260,Intensity Center::1000123970,Intensity Center::1000124020,Intensity Center::1000124150,Intensity Center::1000125061,Intensity Center::1000125150,Intensity Center::1000125380,Intensity Center::1000125544,Intensity Center::1000125618,Intensity Center::1000128725,Intensity Center::1000128746,Intensity Center::1000129177,Intensity Center::1000129181,Intensity Center::1000129214,Intensity Center::1000134313,Intensity Center::1000134414,Intensity Center::1000136032,Intensity Center::1000139274,Intensity Center::1000139300,Intensity Center::1000139338,Intensity Center::1000139469,Intensity Center::1000139484,Intensity Center::1000139640,Intensity Center::1000140466,Intensity Center::1000140884,Intensity Center::1000144048,Intensity Center::1000149484,Intensity Center::1000149676,Intensity Center::1000149817,Intensity Center::1000150553,Intensity Center::1000154805,
0.000000,674,719,759,740,1045,1235,913,692,702,826,741,857,672,1090,969,1075,874,925,814,702,1135,850,1613,976,1112,958,1206,837,1630,1885,885,885,902,1541,873,1267,1549,1078,871,1544,988,2351,1205,1206,839,872,1606,1091,990,842,1786,965,1434,1020,1086,1238,884,1118,1036,965,1527,1168,954,1075,1018,1580,790,720,1019,1092,1108,1006,1090,1476,1146,806,995,1136,1265,1526,3149,1458,2578,882,1320,1533,892,2703,874,1048,1369,1004,1262,1133,1044,2826,1372,829,1875,1569,1832,2007,1090,1055,2274,3046,1032,1095,800,1736,1304,974,636,1595,1691,1066,905,1057,1568,1268,1100,749,785,663,666,795,1271,740,1215,1004,1257,968,952,1010,1085,956,731,967,1242,982,1193,816,1567,952,1058,1347,1351,969,1495,836,1190,2158,1163,1142,1159,1294,2166,1113,1029,2384,880,1731,3106,851,1230,1534,1560,744,1268,3414,770,2040,1347,2129,880,1891,1181,907,1740,2891,940,829,2681,1646,737,815,874,1131,949,1047,946,1103,1175,1020,923,1314,841,791,867,1321,1566,920,780,717,712,1173,1437,1369,1728,1103,893,883,813,1110,862,943,1094,955,1023,905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.000000,753,,,865,1058,1199,893,704,812,,827,893,,1095,972,907,730,887,924,738,800,795,1663,889,1100,985,1264,863,995,1796,1012,826,926,1468,954,1208,1428,960,970,1376,776,1850,1372,1084,792,998,1692,1005,1040,875,1524,1132,1356,988,962,1085,884,920,1165,982,1625,917,871,1176,874,1562,728,709,945,1147,1191,993,1186,1287,1154,820,1050,1169,1154,1599,3370,1403,2387,956,1539,1193,712,2042,716,943,1270,,1218,816,764,2489,1339,,1853,1081,1866,1904,1156,970,1832,2493,1029,1437,1024,1646,1229,1088,664,1544,1616,1027,1095,1520,1524,1086,1028,807,866,,615,893,1207,764,1406,921,1361,921,945,952,1010,847,755,,1085,889,1166,729,1136,881,1003,956,1266,1200,1378,952,1099,2220,1041,1156,1019,1400,2052,1354,961,1893,821,1497,2363,985,1219,1664,1369,918,,3419,885,1562,1296,1735,,1703,1113,1042,2023,2354,903,928,3302,1758,782,745,738,984,940,883,1045,1404,1148,891,949,1144,814,915,929,970,1056,965,770,852,716,845,1377,1101,1428,1098,836,1004,819,1236,886,906,1167,920,850,902,859,938,703,840,636,686,862,738,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.000000,692,,,805,930,1004,747,744,732,818,801,804,698,1196,1072,994,747,885,882,718,914,1009,1654,961,1058,961,1221,947,1120,1831,903,805,907,1397,933,1340,1492,1083,871,1365,801,2161,1479,1016,845,916,1835,970,789,1015,1443,1177,1237,904,1119,1252,,1254,1159,1006,1564,1233,770,974,998,1908,845,678,959,1439,1318,1041,1139,1155,1082,813,1037,1224,1162,1535,2946,1532,2521,1036,1591,1154,989,1843,923,1098,1461,,1024,1293,884,2885,1396,938,1509,1597,2205,2029,1208,1073,1891,3090,1025,1525,951,1479,1108,1024,763,2021,1399,990,1152,1318,1460,1172,1163,805,868,624,687,704,1346,810,1567,936,1284,814,1066,1030,984,894,777,,1035,962,1247,763,1089,862,978,1128,1228,1329,1465,808,1241,1762,1029,1206,1112,1397,1781,1485,924,1574,849,1661,2579,1319,951,1435,1377,1004,1247,3256,808,1708,1301,1616,,2055,1256,1033,1585,2234,781,989,2889,1662,955,787,956,1057,869,882,937,1940,1069,949,898,1402,759,767,1102,1819,878,746,741,812,823,989,1379,1194,1450,1091,837,862,836,1243,923,885,1011,931,,964,758,873,706,1059,745,741,878,677,716,660,711,822,846,730,802,771,978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.000000,647,,,909,1052,1019,736,773,735,,815,816,673,1124,858,1122,862,966,814,886,1046,886,1740,1086,1290,894,1376,953,1272,1847,758,791,980,1503,912,1354,1569,1045,1018,1669,811,2150,1215,962,847,728,1790,1069,789,851,1417,1082,1420,774,1213,1270,746,1268,1185,871,1461,1155,784,1118,958,1831,886,708,1267,1435,1104,936,1138,1393,1266,786,917,887,1495,1232,2852,1458,2747,1179,2160,1315,939,2205,1171,968,1734,1060,1057,1128,851,3028,1367,869,2023,1249,2321,1846,1058,995,2427,2504,1087,1371,850,1670,1123,1020,723,1628,2024,979,942,1342,1513,1320,1033,768,938,610,678,722,1446,806,1446,1017,1092,813,844,1007,955,996,734,844,847,852,1535,715,1073,,1065,992,1074,884,1349,897,968,2108,991,1105,1161,1448,2122,1379,1078,1644,1064,1405,2858,1271,1108,1654,1504,1201,1017,2834,867,1955,1382,1705,798,2059,1243,956,1485,2952,796,954,2908,2114,875,776,761,1017,998,805,888,2274,1008,899,916,1423,775,750,866,1761,926,709,718,890,692,1039,1212,1216,1453,949,931,791,816,1092,931,1000,870,851,,946,,733,682,,829,804,914,656,,731,773,862,974,891,779,942,876,659,797,872,753,695,1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.000000,825,702,746,814,1051,1060,709,740,781,816,841,859,719,1199,863,993,736,935,762,801,1061,896,1785,1063,1161,1037,1182,891,1205,2222,858,758,1055,1544,1003,1506,1342,986,1098,1845,871,2576,1542,1072,865,964,1454,835,866,965,1589,1021,1440,885,1246,1357,750,1276,1281,1086,1688,978,774,1038,1011,2138,1082,677,1028,1089,1197,978,1432,1232,1431,695,1063,847,1300,1836,3065,1440,2688,1224,2326,1234,928,1575,1148,1040,1693,778,1258,959,1131,2402,1285,,1593,1280,1956,1878,1151,1159,2454,2975,895,1537,,1823,1213,972,728,1911,2015,1086,1051,1162,1523,1410,998,801,831,,653,732,1656,799,1433,910,1194,949,,973,,1016,709,1008,841,836,1424,617,879,,1046,1078,1164,928,1241,806,1247,1834,925,1035,1103,1568,1839,1385,1105,2080,863,1787,2758,912,1316,1290,1153,1057,1016,3635,782,2030,1293,1664,825,,1374,1040,1640,3112,939,918,,2575,871,901,994,958,1023,929,897,1372,1201,1004,940,1438,745,783,999,1425,972,1403,783,922,748,940,1328,1369,1599,976,827,797,834,1150,936,858,786,835,798,888,,809,659,891,753,834,831,,,635,688,1010,966,788,849,880,917,624,,885,924,730,712,693,741,773,844,951,979,1016,797,2412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.000000,844,740,,923,891,820,,794,764,,797,900,684,1315,873,1048,777,1045,738,715,1228,1007,1869,1099,1421,1179,1196,908,1247,2733,966,,1003,1588,1083,1470,1566,1128,1002,2057,1044,2310,978,1049,943,939,2016,839,888,908,1677,1082,1366,938,1372,1301,889,1151,1212,860,1545,1108,783,1051,828,1708,1116,852,1011,1506,1137,1114,1198,1188,1160,698,1206,1305,1255,1575,3340,1303,2016,906,2023,1123,965,1608,,1186,1693,856,1101,1025,1023,3381,,,1920,1373,1980,1752,977,1070,2467,2852,975,1687,957,1696,1333,,776,1797,1701,1037,,,1624,1308,888,970,863,,718,715,1753,763,1486,867,1182,933,,989,1057,854,698,954,1125,1033,1204,682,910,890,901,820,1009,1328,1173,947,1219,2060,996,951,1093,1602,1814,1267,924,1797,,,,,1188,1314,1532,1198,908,3548,817,2247,1230,1541,,,1093,969,1222,,,849,,2631,765,712,787,1065,953,938,,1653,1036,999,871,,797,700,800,1376,889,701,740,,740,1082,1306,1369,1453,1021,749,853,925,1178,842,,,859,824,859,781,823,851,869,,703,1082,,703,675,712,1020,870,1006,,817,964,787,875,,946,706,973,632,770,725,,963,947,1047,,3975,726,874,776,777,851,1291,1399,672,1061,696,2872,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.000000,869,852,774,945,813,826,,739,798,760,846,1010,753,1147,1062,1064,726,1081,811,916,1191,1026,1855,1316,1450,980,1131,995,1262,3077,776,848,1071,1536,1113,1286,1899,1159,907,1813,1173,2622,1360,1426,1036,741,2280,1008,822,1070,1700,1428,1319,928,1400,1174,952,1310,1307,1036,1498,913,849,1189,1019,1694,1204,793,1172,1433,1346,847,1471,1213,1622,680,1091,895,1346,1453,2390,1151,2327,891,1547,1240,1012,1814,,870,1901,874,1152,1080,619,2750,,,1590,1444,2031,2041,872,976,2209,3275,855,1352,786,1275,1276,,691,1983,2038,956,1091,,1421,1338,,882,985,,703,795,1898,722,1355,876,1210,948,916,1051,919,853,775,932,1143,982,1515,777,784,,862,998,1144,996,1155,823,959,2301,828,805,1013,1468,1827,1206,1054,1780,,,,,1070,940,1464,1086,1003,2271,883,1703,1219,1273,,,1275,1167,1543,,,772,,2532,866,745,809,942,891,939,,1092,879,,766,,,937,824,1418,953,700,,,638,1097,1161,1180,1224,998,713,755,,1134,844,953,812,823,,842,870,982,915,,629,740,831,730,,713,802,896,890,929,903,,,804,830,878,1187,780,1109,674,924,,841,970,,586,754,3520,742,713,790,809,900,1104,1684,752,925,826,2738,655,762,877,772,916,832,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.000000,912,838,728,1094,774,847,,797,869,748,904,989,756,1508,1225,1194,868,1079,,910,1265,1255,1435,1246,1637,1109,1282,976,1436,2818,873,873,1039,1695,1046,1424,1263,1021,943,1583,942,2468,1025,940,1005,900,1734,918,795,1158,1897,1309,1482,1050,1422,1355,793,1018,1267,1089,1663,1180,780,1232,969,1785,1089,778,1205,1460,1014,985,1154,1159,1385,639,999,896,1493,1338,2510,1436,3063,1229,1383,1166,888,1961,,1087,1530,1164,1341,1028,665,2971,,,1745,1568,2028,1704,924,1041,2201,2680,911,1513,963,1565,1169,,721,1720,1633,1052,1073,,1362,1382,,1090,981,,655,762,1629,780,1185,960,1217,999,,1152,841,930,688,922,1170,905,1357,922,699,,946,943,937,1026,1195,888,1063,1821,935,889,1067,1129,2005,1109,999,1799,,,,,798,952,1379,1062,988,2209,866,1627,1036,1280,,,1174,948,1367,,,,,2266,824,711,904,921,801,996,891,1365,737,,781,,,785,970,1095,738,672,,,705,1289,1105,1131,1412,1044,688,717,,1031,915,885,,854,,863,942,995,819,,,727,1012,,,,806,951,1012,810,1043,,1008,785,,900,1080,846,690,670,880,,926,,867,734,834,3230,791,867,849,941,,1274,1551,713,844,669,2736,858,831,853,939,1041,972,707,807,2107,948,808,922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.000000,886,801,,920,691,980,673,818,733,,976,944,760,1321,1268,1143,931,1395,,835,1248,1164,1917,970,1398,976,1293,910,1081,2355,953,1041,1067,1765,994,1245,1189,1196,1014,1652,926,2639,1454,1104,999,712,1689,942,1036,974,1803,1389,1261,1066,1168,1111,906,1262,1307,1065,1619,971,724,1056,1007,1789,1218,797,1294,1505,1345,923,1114,1438,1360,778,1053,1214,1518,1258,3017,1345,3181,1242,1172,1251,834,1597,,1049,1451,1044,1248,1062,1082,2647,,,1814,1294,1995,1840,906,1022,1758,3150,936,1645,804,1374,1139,,726,1348,1414,938,1055,,1066,1386,,913,888,,625,737,1706,702,1130,1033,1047,908,924,1197,,945,707,,1552,,1303,739,832,924,811,909,1178,1184,1030,1112,1103,1662,1034,918,995,1220,1887,1220,973,1934,,,,,861,719,1032,924,968,2060,903,1829,973,1142,,,1052,1167,1739,,,740,,2379,785,775,,919,904,1071,957,1634,791,,,,,924,1018,985,866,,,,756,1106,1121,1153,1333,956,720,727,,1184,960,822,,765,,831,915,992,833,,,729,816,,,,777,,986,929,,,961,788,,984,1035,885,863,617,727,801,1035,,877,,,2181,735,942,911,907,,1085,1502,804,1005,716,1895,847,905,909,,908,1152,814,,1804,,1027,873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.000000,920,763,,910,707,875,739,771,817,,967,942,749,1387,1278,1086,819,1179,,1075,1099,1306,2028,1027,1317,1101,1114,1032,1291,2061,979,913,1092,1637,906,1116,1424,1086,912,1743,823,2198,1292,1101,1024,849,1469,987,1225,928,1982,1307,1349,1080,1116,1142,,1205,1288,962,1592,974,804,1317,1071,2421,1187,746,1360,1477,1229,1157,1343,1117,1396,780,1026,1311,1382,1435,2590,1300,3495,807,1096,1284,,2112,,1070,1357,1300,1232,1296,803,3010,,,2288,1718,1974,1548,949,1010,2261,2379,800,1377,,1825,1305,,690,1781,1680,933,1183,,1349,1160,,1125,982,,653,788,1667,677,1231,944,1061,960,968,1126,982,,715,,1742,899,1489,753,,,987,,1132,1337,1156,972,1023,1797,973,1195,1237,1257,1891,1010,805,2229,,,,,1008,637,1253,1108,,2708,1031,1507,926,1364,,,1098,1058,1776,,,727,,2370,799,701,,810,859,1062,919,1513,719,,,,,704,895,1127,749,,746,,753,1002,1061,1177,1238,1021,724,,,1064,948,,,,,747,891,970,1013,,,667,942,,,,707,956,904,,,,886,727,,1059,,799,696,695,851,771,987,939,860,,,2416,747,858,789,904,827,1024,1608,825,1018,725,1944,923,759,859,1009,997,911,814,815,1275,922,939,926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
