
Intensity Center Ch=1 Img=1
 ==================== 
Time [s],Intensity Center::1000000246,Intensity Center::1000000257,Intensity Center::1000000259,Intensity Center::1000000266,Intensity Center::1000000267,Intensity Center::1000000278,Intensity Center::1000000281,Intensity Center::1000000290,Intensity Center::1000000292,Intensity Center::1000000299,Intensity Center::1000000306,Intensity Center::1000000312,Intensity Center::1000000315,Intensity Center::1000000316,Intensity Center::1000000317,Intensity Center::1000000320,Intensity Center::1000000322,Intensity Center::1000000325,Intensity Center::1000000328,Intensity Center::1000000337,Intensity Center::1000000339,Intensity Center::1000000344,Intensity Center::1000000348,Intensity Center::1000000351,Intensity Center::1000000353,Intensity Center::1000000356,Intensity Center::1000000360,Intensity Center::1000000362,Intensity Center::1000000363,Intensity Center::1000000374,Intensity Center::1000000376,Intensity Center::1000000378,Intensity Center::1000000379,Intensity Center::1000000381,Intensity Center::1000000382,Intensity Center::1000000383,Intensity Center::1000000384,Intensity Center::1000000389,Intensity Center::1000000390,Intensity Center::1000000391,Intensity Center::1000000392,Intensity Center::1000000398,Intensity Center::1000000399,Intensity Center::1000000405,Intensity Center::1000000409,Intensity Center::1000000410,Intensity Center::1000000411,Intensity Center::1000000416,Intensity Center::1000000422,Intensity Center::1000000424,Intensity Center::1000000432,Intensity Center::1000000435,Intensity Center::1000000436,Intensity Center::1000000440,Intensity Center::1000000444,Intensity Center::1000000453,Intensity Center::1000000455,Intensity Center::1000000458,Intensity Center::1000000460,Intensity Center::1000000710,Intensity Center::1000000734,Intensity Center::1000000742,Intensity Center::1000000795,Intensity Center::1000000808,Intensity Center::1000000819,Intensity Center::1000000827,Intensity Center::1000000837,Intensity Center::1000000843,Intensity Center::1000000852,Intensity Center::1000000854,Intensity Center::1000000874,Intensity Center::1000000881,Intensity Center::1000000903,Intensity Center::1000000904,Intensity Center::1000000905,Intensity Center::1000000907,Intensity Center::1000000911,Intensity Center::1000000913,Intensity Center::1000000925,Intensity Center::1000000926,Intensity Center::1000000932,Intensity Center::1000000936,Intensity Center::1000000940,Intensity Center::1000000946,Intensity Center::1000000950,Intensity Center::1000000953,Intensity Center::1000000957,Intensity Center::1000000961,Intensity Center::1000000963,Intensity Center::1000000964,Intensity Center::1000000966,Intensity Center::1000000968,Intensity Center::1000000972,Intensity Center::1000000974,Intensity Center::1000000977,Intensity Center::1000000981,Intensity Center::1000000984,Intensity Center::1000000986,Intensity Center::1000000987,Intensity Center::1000000994,Intensity Center::1000000997,Intensity Center::1000000999,Intensity Center::1000001000,Intensity Center::1000001007,Intensity Center::1000001008,Intensity Center::1000001011,Intensity Center::1000001013,Intensity Center::1000001017,Intensity Center::1000001018,Intensity Center::1000001022,Intensity Center::1000001024,Intensity Center::1000001026,Intensity Center::1000001028,Intensity Center::1000001029,Intensity Center::1000001031,Intensity Center::1000001032,Intensity Center::1000001044,Intensity Center::1000001055,Intensity Center::1000001065,Intensity Center::1000001066,Intensity Center::1000001079,Intensity Center::1000001084,Intensity Center::1000001114,Intensity Center::1000001132,Intensity Center::1000001161,Intensity Center::1000001345,Intensity Center::1000001349,Intensity Center::1000001363,Intensity Center::1000001367,Intensity Center::1000001368,Intensity Center::1000001373,Intensity Center::1000001374,Intensity Center::1000001377,Intensity Center::1000001378,Intensity Center::1000001380,Intensity Center::1000001386,Intensity Center::1000001418,Intensity Center::1000001420,Intensity Center::1000001424,Intensity Center::1000001463,Intensity Center::1000001476,Intensity Center::1000001507,Intensity Center::1000001994,Intensity Center::1000002016,Intensity Center::1000002172,Intensity Center::1000002232,Intensity Center::1000002664,Intensity Center::1000002801,Intensity Center::1000003393,Intensity Center::1000004653,Intensity Center::1000004657,Intensity Center::1000005076,Intensity Center::1000005208,Intensity Center::1000005715,Intensity Center::1000005723,Intensity Center::1000006348,Intensity Center::1000006387,Intensity Center::1000006490,Intensity Center::1000006515,Intensity Center::1000006598,Intensity Center::1000006792,Intensity Center::1000006871,Intensity Center::1000006909,Intensity Center::1000008347,Intensity Center::1000009340,Intensity Center::1000009732,Intensity Center::1000009887,Intensity Center::1000010398,Intensity Center::1000011047,Intensity Center::1000011141,Intensity Center::1000011654,Intensity Center::1000011698,Intensity Center::1000011753,Intensity Center::1000011791,Intensity Center::1000012957,Intensity Center::1000013215,Intensity Center::1000013393,Intensity Center::1000013507,Intensity Center::1000015097,Intensity Center::1000016343,Intensity Center::1000016467,Intensity Center::1000016872,Intensity Center::1000016887,Intensity Center::1000016896,Intensity Center::1000018011,Intensity Center::1000018392,Intensity Center::1000018544,Intensity Center::1000018621,Intensity Center::1000018669,Intensity Center::1000019697,Intensity Center::1000019758,Intensity Center::1000019869,Intensity Center::1000021394,Intensity Center::1000022106,Intensity Center::1000023264,Intensity Center::1000023296,Intensity Center::1000023353,Intensity Center::1000023370,Intensity Center::1000024952,Intensity Center::1000025548,Intensity Center::1000026733,Intensity Center::1000026763,Intensity Center::1000027197,Intensity Center::1000027358,Intensity Center::1000027487,Intensity Center::1000027980,Intensity Center::1000028049,Intensity Center::1000028623,Intensity Center::1000028710,Intensity Center::1000029867,Intensity Center::1000030267,Intensity Center::1000030269,Intensity Center::1000030301,Intensity Center::1000030356,Intensity Center::1000030369,Intensity Center::1000030396,Intensity Center::1000030430,Intensity Center::1000030757,Intensity Center::1000032815,Intensity Center::1000032985,Intensity Center::1000034042,Intensity Center::1000034620,Intensity Center::1000034742,Intensity Center::1000034953,Intensity Center::1000035138,Intensity Center::1000036217,Intensity Center::1000036540,Intensity Center::1000037263,Intensity Center::1000038150,Intensity Center::1000038426,Intensity Center::1000039866,Intensity Center::1000040083,Intensity Center::1000040559,Intensity Center::1000040739,Intensity Center::1000041257,Intensity Center::1000041415,Intensity Center::1000041459,Intensity Center::1000042354,Intensity Center::1000042396,Intensity Center::1000042850,Intensity Center::1000042999,Intensity Center::1000043117,Intensity Center::1000044135,Intensity Center::1000044141,Intensity Center::1000044642,Intensity Center::1000045633,Intensity Center::1000045792,Intensity Center::1000046477,Intensity Center::1000050078,Intensity Center::1000050971,Intensity Center::1000051521,Intensity Center::1000052038,Intensity Center::1000052567,Intensity Center::1000052767,Intensity Center::1000052769,Intensity Center::1000052792,Intensity Center::1000052827,Intensity Center::1000053377,Intensity Center::1000053492,Intensity Center::1000053748,Intensity Center::1000053755,Intensity Center::1000054332,Intensity Center::1000054790,Intensity Center::1000056188,Intensity Center::1000056454,Intensity Center::1000056718,Intensity Center::1000057721,Intensity Center::1000058882,
0.000000,1457,2540,1362,1338,916,1187,1333,1167,1009,886,1637,1499,1553,1755,1205,2084,2536,1091,984,1471,2085,3355,1909,1684,1543,1187,1483,2278,864,1397,1224,1281,2344,1722,1692,1540,1911,1455,2406,2943,1725,2516,1351,3035,1674,2817,2746,1467,3197,2525,2630,2136,2212,1853,5048,1720,1642,1682,1380,1028,1327,1599,1495,1416,1452,1917,970,1107,1089,1317,1487,1029,1193,1134,1779,997,959,1350,1564,1722,1503,1615,1844,1077,1665,1129,2036,2018,1458,2034,824,1178,976,2254,1184,2080,2053,1510,1322,2240,2244,1056,1334,1908,1856,1419,3206,1456,2065,1111,954,985,1757,1844,2112,1683,2945,1121,1508,1421,979,1488,947,3220,1067,1861,1302,1981,1247,1886,1365,1142,1447,1120,1489,1402,1346,1211,1228,1232,988,1109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.000000,1321,2457,1733,1456,1051,1514,1170,1343,1073,882,1684,1682,1448,1978,1158,2140,2583,1310,1074,1467,2418,3693,1681,1940,1528,1389,2023,2599,843,1298,1331,1376,2021,2090,1887,1378,2182,2234,2537,2504,1671,2145,1409,2872,1568,2353,2645,1482,3255,2321,2837,2222,1544,2266,3391,1586,1285,1945,1462,1158,1145,1484,1579,1373,1477,2163,1464,1014,1128,1489,1769,1073,1273,1349,1897,995,1033,1235,1868,1869,1408,1617,1709,1050,1922,1638,1926,1792,1369,2207,802,1207,1104,1979,1220,2276,2354,1518,1445,2373,1932,1015,1157,1743,2267,2111,2356,1445,2034,1032,1044,1119,1981,1438,2466,1658,2540,1419,1480,1446,836,1362,917,2797,1186,1627,1287,1829,1358,1581,1295,867,1288,1138,1613,1461,1149,1329,1164,1065,1157,1232,1140,987,912,1170,948,1320,1073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.000000,1596,2559,1802,1275,1040,1329,1273,1300,957,982,1528,1972,1582,1822,1387,2368,2266,1289,959,1579,2092,4195,1726,1737,1715,1628,2003,2549,1012,1337,1316,1351,1895,2622,2021,1542,1812,2000,2040,2552,1783,2692,1565,2702,1386,2877,3287,1500,2740,2051,2780,1943,1348,2023,5628,1474,1451,1482,1305,1105,1276,1359,1742,1341,1402,2106,974,1146,1281,1648,1702,889,1404,1458,1671,933,1028,1289,2227,1532,1198,1460,1497,917,1967,1343,1909,1802,1460,2006,915,1172,1085,1682,1176,2508,2358,1508,1351,2315,2222,858,1207,2221,2955,2241,2128,1346,2141,1140,1063,1088,2093,1809,2223,1554,2365,1619,1405,1720,827,992,870,2684,1237,1777,1310,1657,1270,1493,1441,913,1365,,1655,1671,1421,1415,1354,,1250,,1035,1073,845,1325,1015,1363,,1692,955,1022,1076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.000000,1657,2368,1743,1220,982,1440,1448,1056,1130,930,1786,2048,1573,1917,1388,2384,2188,1252,941,1396,2508,4244,1611,2078,1719,1583,2085,2765,958,1390,1192,1247,2298,2187,2238,1789,1498,1797,2543,2631,1822,2420,1522,2687,1682,2270,2776,1780,2658,1948,2912,1954,1626,1614,6200,2116,1488,1836,1296,999,1163,1444,1748,1388,1179,2081,963,1201,1108,1349,1859,937,1507,1344,1752,1181,1014,1306,1936,1941,1492,1554,1162,976,1920,1530,2234,1830,1598,2013,828,1140,1186,1912,1162,2856,2540,1622,1714,2154,2352,997,1176,2305,2817,1757,2024,1656,2096,1261,1218,1300,1985,1290,2142,1709,2425,1224,1602,1445,942,1084,1132,2571,1328,1853,1377,1753,1437,1564,1498,1139,1431,1038,1432,1619,1433,1413,1325,1190,1253,1234,1196,958,1003,,1128,1134,,1619,873,901,1011,912,1209,1473,1345,1098,958,876,1088,1337,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.000000,1615,2367,1677,1185,1114,1498,1329,1289,1137,1118,1663,1877,1852,1712,1279,2289,2234,1273,960,1331,2107,3144,1454,2230,1696,1542,1988,2421,1109,1429,1383,1443,1900,2368,1843,1853,2119,1513,2351,1910,1803,2802,1748,2572,1407,2656,3050,1559,2546,2651,2848,2121,1500,2009,5897,1877,1345,1929,1393,973,1148,1163,1631,1489,1479,2027,924,965,1125,1773,1736,1045,1315,1699,2043,1165,871,1353,1907,1716,1594,1506,1234,1168,1899,2119,1916,1872,1686,2081,1007,1198,1099,2034,1238,2668,2619,1575,1601,2054,2108,1225,1210,2255,3498,1842,2649,1464,2241,1232,1140,1336,2122,1405,2120,1608,2490,1642,2201,1541,954,,1066,2617,,1890,1297,1702,1362,1460,1239,1224,1490,,1367,1723,1350,1579,1344,1162,1293,1202,1149,998,1110,1096,1187,1448,,1568,975,1062,1156,930,,1239,1192,,1065,886,1564,1356,1033,1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.000000,1434,2574,1645,1094,1206,1512,1338,1246,1210,1099,1841,1984,1507,1657,1178,2394,1944,1093,901,1594,2005,3446,1738,2232,1632,1401,2231,2386,1111,1377,1384,1376,1491,2434,1924,1767,1991,1955,2475,1995,1711,3438,1764,3554,1925,2507,3216,1307,2470,2160,2727,1851,1132,1879,5564,1731,1552,2008,1829,906,1270,1022,1533,1482,1653,1773,1085,1134,1168,1521,1632,870,1294,1411,1721,1194,972,1207,1831,1953,1740,1675,1500,1017,1968,1597,2125,1701,1625,2077,1072,1307,1207,1950,1034,2574,2828,1716,1734,2320,2714,1277,1072,2225,3467,1798,2462,1493,2263,1336,1187,1441,2153,1748,1915,1771,2247,1115,2601,1632,1106,,921,1971,,1790,1455,1829,1418,1255,1364,1159,1377,1023,1401,1492,1490,1347,1258,1389,1168,1337,,1085,,,1218,1525,1193,1619,1029,894,960,974,1410,1428,,1247,1049,1187,1206,987,1022,881,1146,1119,1478,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.000000,1710,2236,1613,1151,1296,1670,1583,1289,1004,1018,1829,1984,1502,1904,1252,2563,2383,1109,1068,1478,2137,3401,1360,2326,1636,1363,1921,2404,980,1601,1201,1626,1507,2214,2253,1750,2786,1430,2248,1983,1466,2111,1878,3458,1671,2617,2962,1699,2626,2744,2875,2079,1098,,5870,1801,1891,1586,1594,1008,1060,1146,1449,1418,1458,1992,1474,1015,1251,1501,1661,1015,1318,1262,1719,973,941,1170,1690,2059,1784,1312,1426,964,1985,1455,2394,1816,1701,2105,933,1403,,2614,1216,2470,3126,1665,1669,2284,2254,987,1158,2504,2578,,2320,1385,2392,1290,943,1383,2382,1430,2490,1738,2666,,2490,1198,962,,1041,1175,,1580,1363,1940,1114,1222,1315,1199,1543,1083,1379,1495,1658,1304,1420,1326,1114,1146,1002,1091,,,1353,1438,1200,1651,1053,994,937,1023,,1503,,1036,1018,911,937,1344,,977,,1123,1403,,1288,1111,1046,1526,1186,2939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.000000,1453,2122,1901,1325,1299,1471,1515,1482,1282,936,2064,1979,1510,1736,1353,2225,2541,1059,1073,1709,2376,3580,1558,2168,1628,1369,2501,1899,1199,1643,1547,1773,1590,1426,2215,1409,2299,2264,2319,1685,1824,2708,1617,2651,1870,2538,3253,1685,2399,2504,2848,2007,1175,,5050,1681,1477,2016,1618,1091,1229,1129,1610,1626,1540,1961,1499,1199,1219,1465,1491,1255,951,1420,2007,1128,958,1390,1613,2025,1749,1269,1477,872,1842,1318,2052,2008,1649,2278,853,1090,,2488,1036,2010,3163,1592,1478,2251,2475,919,1145,2159,3413,,2199,1046,2192,1115,1017,1598,1839,1204,2486,1663,2410,1486,2666,1272,999,,996,1229,,1809,1590,1590,1418,1038,1371,1082,1305,,1165,1492,1647,1264,1423,1137,1169,1229,1115,1120,,1142,1138,1119,1043,1556,1079,,986,,1277,1353,1215,,,,1171,1292,,1002,951,1091,,,1296,,,1756,1186,3528,1279,909,1088,1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.000000,1591,2252,1796,1418,1394,1569,1749,1550,1603,1005,2222,2229,1779,1970,1436,2711,2733,1040,1152,1624,2545,4264,1789,2304,1860,1611,2166,2564,1328,1806,1480,1271,1914,762,2357,1569,2464,2165,2236,2702,1836,1995,1872,3121,1591,2770,2778,1562,2701,2789,2963,2073,1310,,4776,1736,1560,1894,1372,1086,1087,1446,1749,1398,1548,1957,1277,1389,1426,1364,1471,1210,1106,1375,1638,,999,1046,1670,1694,1648,1486,1604,826,1753,1189,2193,1499,1604,2200,822,,,2015,982,1920,2761,1756,1556,2227,1860,1159,1024,2175,2995,,2280,1187,2110,1158,1150,1390,2032,1453,1704,1504,2679,1232,2424,1088,966,,973,1040,,1648,1781,1628,1361,1069,,1353,1391,,1204,1563,1255,1348,1255,1249,1262,,1311,1372,,,939,1338,914,1500,1210,944,,,1269,1372,,,,,1257,1270,988,1106,1224,1122,1536,1202,,1127,,1437,1109,3239,1190,882,1084,1233,1422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.000000,1658,2175,1889,1375,1512,1982,1942,1223,1595,1022,2201,2046,1752,2219,1396,2344,2817,1308,1203,1637,2342,4103,1872,2348,2525,1773,1902,2488,1297,1430,1495,1599,1514,,2415,1616,2062,1406,2468,3107,1329,2325,2007,2460,1438,2968,3249,1658,2816,2621,3325,1864,1508,1905,5324,1722,1498,1975,1263,,1138,1485,1655,1458,1604,2121,1494,1345,1853,1504,1522,1177,1229,1404,2266,,1048,1047,1720,1609,1545,1545,1336,1027,1569,1291,2122,1713,1452,2072,891,,,1790,994,1849,2622,1746,1683,1838,1730,1209,1131,2141,3458,,2601,954,1987,1155,1187,1398,1929,1281,1692,1582,2547,1269,2071,1180,897,,1139,1081,,1619,2126,1765,1399,,1673,1394,1401,,1353,1534,1241,1668,1340,1226,1089,,1382,1358,,1570,1000,1308,,1508,1088,991,,,1244,1469,,,,953,1392,1477,,959,1247,1122,1472,,1175,1196,,1436,1733,3325,1607,1025,1282,1594,1476,1132,1280,1112,1064,1490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
