
Intensity Center Ch=1 Img=1
 ==================== 
Time [s],Intensity Center::1000000202,Intensity Center::1000000207,Intensity Center::1000000222,Intensity Center::1000000235,Intensity Center::1000000237,Intensity Center::1000000252,Intensity Center::1000000262,Intensity Center::1000000269,Intensity Center::1000000272,Intensity Center::1000000273,Intensity Center::1000000279,Intensity Center::1000000286,Intensity Center::1000000288,Intensity Center::1000000296,Intensity Center::1000000297,Intensity Center::1000000301,Intensity Center::1000000304,Intensity Center::1000000305,Intensity Center::1000000307,Intensity Center::1000000315,Intensity Center::1000000319,Intensity Center::1000000326,Intensity Center::1000000330,Intensity Center::1000000336,Intensity Center::1000000338,Intensity Center::1000000339,Intensity Center::1000000343,Intensity Center::1000000346,Intensity Center::1000000349,Intensity Center::1000000351,Intensity Center::1000000353,Intensity Center::1000000354,Intensity Center::1000000355,Intensity Center::1000000357,Intensity Center::1000000358,Intensity Center::1000000361,Intensity Center::1000000362,Intensity Center::1000000365,Intensity Center::1000000367,Intensity Center::1000000368,Intensity Center::1000000370,Intensity Center::1000000372,Intensity Center::1000000376,Intensity Center::1000000383,Intensity Center::1000000385,Intensity Center::1000000387,Intensity Center::1000000391,Intensity Center::1000000392,Intensity Center::1000000395,Intensity Center::1000000396,Intensity Center::1000000398,Intensity Center::1000000402,Intensity Center::1000000403,Intensity Center::1000000404,Intensity Center::1000000406,Intensity Center::1000000407,Intensity Center::1000000409,Intensity Center::1000000410,Intensity Center::1000000413,Intensity Center::1000000414,Intensity Center::1000000415,Intensity Center::1000000416,Intensity Center::1000000420,Intensity Center::1000000422,Intensity Center::1000000430,Intensity Center::1000000436,Intensity Center::1000000437,Intensity Center::1000000446,Intensity Center::1000000447,Intensity Center::1000000449,Intensity Center::1000000452,Intensity Center::1000000453,Intensity Center::1000000455,Intensity Center::1000000457,Intensity Center::1000000461,Intensity Center::1000000462,Intensity Center::1000000463,Intensity Center::1000000465,Intensity Center::1000000471,Intensity Center::1000000473,Intensity Center::1000000477,Intensity Center::1000000481,Intensity Center::1000000482,Intensity Center::1000000483,Intensity Center::1000000487,Intensity Center::1000000493,Intensity Center::1000000494,Intensity Center::1000000496,Intensity Center::1000000497,Intensity Center::1000000500,Intensity Center::1000000504,Intensity Center::1000000505,Intensity Center::1000000509,Intensity Center::1000000513,Intensity Center::1000000516,Intensity Center::1000000519,Intensity Center::1000000520,Intensity Center::1000000522,Intensity Center::1000000525,Intensity Center::1000000528,Intensity Center::1000000531,Intensity Center::1000000535,Intensity Center::1000000539,Intensity Center::1000000542,Intensity Center::1000000757,Intensity Center::1000000769,Intensity Center::1000000781,Intensity Center::1000000787,Intensity Center::1000000788,Intensity Center::1000000816,Intensity Center::1000000832,Intensity Center::1000000843,Intensity Center::1000000849,Intensity Center::1000000850,Intensity Center::1000000852,Intensity Center::1000000854,Intensity Center::1000000861,Intensity Center::1000000863,Intensity Center::1000000874,Intensity Center::1000000877,Intensity Center::1000000880,Intensity Center::1000000886,Intensity Center::1000000887,Intensity Center::1000000890,Intensity Center::1000000892,Intensity Center::1000000893,Intensity Center::1000000898,Intensity Center::1000000909,Intensity Center::1000000910,Intensity Center::1000000911,Intensity Center::1000000912,Intensity Center::1000000914,Intensity Center::1000000917,Intensity Center::1000000918,Intensity Center::1000000920,Intensity Center::1000000922,Intensity Center::1000000926,Intensity Center::1000000931,Intensity Center::1000000933,Intensity Center::1000000938,Intensity Center::1000000951,Intensity Center::1000000952,Intensity Center::1000000953,Intensity Center::1000000955,Intensity Center::1000000960,Intensity Center::1000000962,Intensity Center::1000000963,Intensity Center::1000000966,Intensity Center::1000000971,Intensity Center::1000000974,Intensity Center::1000000984,Intensity Center::1000000992,Intensity Center::1000000996,Intensity Center::1000000998,Intensity Center::1000001007,Intensity Center::1000001009,Intensity Center::1000001010,Intensity Center::1000001013,Intensity Center::1000001017,Intensity Center::1000001019,Intensity Center::1000001021,Intensity Center::1000001022,Intensity Center::1000001023,Intensity Center::1000001025,Intensity Center::1000001027,Intensity Center::1000001029,Intensity Center::1000001030,Intensity Center::1000001034,Intensity Center::1000001035,Intensity Center::1000001037,Intensity Center::1000001040,Intensity Center::1000001050,Intensity Center::1000001055,Intensity Center::1000001058,Intensity Center::1000001059,Intensity Center::1000001060,Intensity Center::1000001062,Intensity Center::1000001064,Intensity Center::1000001065,Intensity Center::1000001066,Intensity Center::1000001068,Intensity Center::1000001072,Intensity Center::1000001075,Intensity Center::1000001076,Intensity Center::1000001078,Intensity Center::1000001080,Intensity Center::1000001081,Intensity Center::1000001084,Intensity Center::1000001090,Intensity Center::1000001093,Intensity Center::1000001096,Intensity Center::1000001097,Intensity Center::1000001098,Intensity Center::1000001104,Intensity Center::1000001114,Intensity Center::1000001122,Intensity Center::1000001126,Intensity Center::1000001144,Intensity Center::1000001182,Intensity Center::1000001187,Intensity Center::1000001190,Intensity Center::1000001309,Intensity Center::1000001312,Intensity Center::1000001313,Intensity Center::1000001319,Intensity Center::1000001321,Intensity Center::1000001325,Intensity Center::1000001327,Intensity Center::1000001332,Intensity Center::1000001333,Intensity Center::1000001334,Intensity Center::1000001336,Intensity Center::1000001337,Intensity Center::1000001339,Intensity Center::1000001363,Intensity Center::1000001370,Intensity Center::1000001372,Intensity Center::1000001376,Intensity Center::1000001385,Intensity Center::1000001408,Intensity Center::1000001409,Intensity Center::1000001419,Intensity Center::1000001432,Intensity Center::1000001464,Intensity Center::1000001472,Intensity Center::1000001506,Intensity Center::1000001926,Intensity Center::1000002590,Intensity Center::1000002643,Intensity Center::1000002979,Intensity Center::1000003610,Intensity Center::1000004149,Intensity Center::1000004310,Intensity Center::1000004635,Intensity Center::1000004683,Intensity Center::1000006077,Intensity Center::1000008719,Intensity Center::1000009107,Intensity Center::1000009185,Intensity Center::1000009419,Intensity Center::1000010098,Intensity Center::1000010855,Intensity Center::1000011870,Intensity Center::1000011874,Intensity Center::1000012017,Intensity Center::1000012034,Intensity Center::1000012039,Intensity Center::1000012043,Intensity Center::1000012114,Intensity Center::1000012134,Intensity Center::1000012413,Intensity Center::1000012500,Intensity Center::1000012602,Intensity Center::1000013622,Intensity Center::1000013641,Intensity Center::1000013644,Intensity Center::1000013715,Intensity Center::1000013742,Intensity Center::1000014139,Intensity Center::1000014226,Intensity Center::1000014254,Intensity Center::1000014265,Intensity Center::1000014280,Intensity Center::1000014298,Intensity Center::1000014379,Intensity Center::1000014417,Intensity Center::1000014434,Intensity Center::1000014436,Intensity Center::1000014681,Intensity Center::1000015041,Intensity Center::1000015398,Intensity Center::1000015424,Intensity Center::1000015991,Intensity Center::1000016299,Intensity Center::1000016326,Intensity Center::1000016377,Intensity Center::1000017571,Intensity Center::1000017670,Intensity Center::1000018002,Intensity Center::1000018022,Intensity Center::1000018775,Intensity Center::1000019063,Intensity Center::1000019203,Intensity Center::1000020372,Intensity Center::1000020965,Intensity Center::1000021110,Intensity Center::1000021403,Intensity Center::1000022624,Intensity Center::1000022788,Intensity Center::1000024044,Intensity Center::1000024184,Intensity Center::1000025538,Intensity Center::1000029287,Intensity Center::1000029303,Intensity Center::1000031346,Intensity Center::1000031395,Intensity Center::1000031971,Intensity Center::1000032157,Intensity Center::1000033582,Intensity Center::1000033638,Intensity Center::1000033815,Intensity Center::1000033823,Intensity Center::1000033951,Intensity Center::1000034985,Intensity Center::1000035800,Intensity Center::1000036025,Intensity Center::1000036072,Intensity Center::1000036977,Intensity Center::1000040520,Intensity Center::1000041011,Intensity Center::1000041203,Intensity Center::1000041253,Intensity Center::1000041587,Intensity Center::1000042244,Intensity Center::1000043372,Intensity Center::1000044363,Intensity Center::1000045836,Intensity Center::1000046138,Intensity Center::1000046178,Intensity Center::1000047046,Intensity Center::1000048819,Intensity Center::1000050142,Intensity Center::1000050520,Intensity Center::1000050598,Intensity Center::1000051574,Intensity Center::1000051885,Intensity Center::1000051893,Intensity Center::1000052933,Intensity Center::1000054905,Intensity Center::1000055140,Intensity Center::1000057601,Intensity Center::1000057620,Intensity Center::1000059429,Intensity Center::1000059804,Intensity Center::1000060968,Intensity Center::1000061300,Intensity Center::1000061607,Intensity Center::1000061670,Intensity Center::1000061731,Intensity Center::1000062653,Intensity Center::1000064597,Intensity Center::1000064935,Intensity Center::1000066097,Intensity Center::1000068950,Intensity Center::1000069093,Intensity Center::1000070029,Intensity Center::1000070291,Intensity Center::1000070307,Intensity Center::1000070560,Intensity Center::1000070669,Intensity Center::1000075392,Intensity Center::1000077138,Intensity Center::1000078570,Intensity Center::1000078659,Intensity Center::1000080069,Intensity Center::1000081300,Intensity Center::1000081412,Intensity Center::1000083424,Intensity Center::1000084744,Intensity Center::1000084817,Intensity Center::1000085320,Intensity Center::1000086202,Intensity Center::1000088048,Intensity Center::1000088801,Intensity Center::1000089086,Intensity Center::1000089747,Intensity Center::1000091390,Intensity Center::1000091653,Intensity Center::1000093053,Intensity Center::1000093106,Intensity Center::1000093162,Intensity Center::1000094620,
0.000000,1225,1083,1452,1184,1448,929,970,1594,1095,1480,997,1134,1240,915,1025,789,1527,1379,1114,1920,1390,1595,1565,2197,1075,1249,2339,1685,1835,1183,1206,1259,901,2245,2286,1338,1056,1550,3836,2516,2698,1462,2324,1173,1589,1357,2181,1774,1429,1052,2021,1047,3692,1349,2381,1319,1111,1829,1259,1365,1179,1779,4298,972,2636,1500,1417,1654,1790,6626,4083,1444,1774,2986,1944,2294,1629,1255,1113,1047,3067,1306,2294,2235,1777,1342,1765,1704,3302,1036,1961,1603,2556,1647,2016,1136,926,1295,1490,5345,1693,3882,2112,1278,1330,1122,1471,2073,1632,1332,1603,1187,1148,1486,1528,1472,2653,1581,1597,1329,900,1448,1369,1063,1020,1383,1394,1911,1645,1285,1514,1349,2141,1091,2010,1200,1612,1309,1329,2251,1780,1726,1380,1502,2531,1305,1290,1238,1777,2437,3736,1427,2563,1298,973,1052,995,1012,1735,1707,2274,1247,1515,1036,4022,1371,2566,1054,1228,1249,1766,1434,1556,2836,1219,1961,1332,1852,1535,1469,1784,779,1475,1880,906,1024,877,1495,1195,961,2301,932,1561,1471,1717,899,881,818,776,969,1165,1380,1364,1629,1785,1192,1449,1151,1366,1540,1815,959,2374,990,1178,1174,1245,1408,1291,1079,1117,2063,1044,1163,1795,1354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.000000,1067,1010,1351,996,1415,1159,1003,2063,1065,1536,913,1042,1223,894,1074,1033,1243,1213,1223,1895,1455,1592,1629,2279,1145,1359,2221,1563,1621,1203,1353,1493,820,2375,2027,1787,,1554,3889,1896,2449,1431,2570,1532,1389,1382,2029,1377,1390,923,1469,1075,2908,1250,1602,,,1769,1131,1196,,2154,4800,1498,2320,1455,1974,1735,2087,6185,3577,1494,1189,3619,1887,2287,1232,1152,1280,1156,3656,1383,1813,2249,1409,1697,1290,1952,3290,1304,1915,1384,2885,1659,1758,1167,959,1321,1441,5583,1486,3694,1608,1398,1119,1013,1303,1815,1628,1146,1673,,1215,1301,1421,1458,2546,1487,1106,1203,982,1306,1357,1207,1001,1258,1279,1730,1305,1286,1838,1190,2111,1043,1695,1634,1773,1110,,2057,1587,1629,1201,719,2305,1309,1131,1119,1571,2246,3577,985,2392,1027,864,817,1030,849,1630,1770,1988,1150,1327,1088,4042,1104,2249,1078,1401,949,1627,1212,1462,2458,958,1523,1332,1540,1623,1217,1496,929,1537,1613,,1010,,1428,1326,994,2815,1119,1412,1318,1660,918,,767,726,907,1263,1141,1302,1433,1739,1029,1955,1430,1261,1746,2151,820,2198,1333,1245,1061,,1355,1041,1059,1027,1872,837,994,1816,1315,1020,1369,1036,1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.000000,1223,1139,1414,1154,1539,1325,1083,1630,1000,1548,1017,1341,1157,802,909,1006,1167,1239,1157,1864,1634,1749,1776,2293,1213,1090,2136,1779,1714,1061,1311,1379,923,2066,2248,1532,990,1574,4369,1750,2240,1754,2765,1400,1483,1656,2517,1693,1384,889,2589,1019,2394,1286,1424,1390,1272,1338,1169,1376,1308,1729,5250,1281,3319,1733,1556,1830,2094,6303,4226,1485,1412,2961,1859,2444,1651,1342,1590,1710,3464,1195,2269,2237,1777,1525,1316,2229,3771,1103,1911,1253,2863,1691,1838,1265,958,1504,1624,4435,1512,3215,1421,1493,1327,935,1569,1669,1617,1207,1778,1077,1301,1501,1254,1593,1987,1548,1344,1275,946,1445,995,1247,1233,1292,1310,1325,1241,1767,1295,1217,2319,1243,1994,1629,1980,1393,1078,1788,2180,2066,1353,926,2486,1454,1146,1252,1652,2299,3943,1428,2287,1283,,1119,1120,1068,1809,2234,2049,1313,1129,853,3424,1258,2412,1033,1204,1140,1815,1367,1392,2863,966,1547,1250,1358,1829,1458,1240,906,1175,1073,,,812,1246,1283,920,2620,932,1062,1248,1597,859,840,816,742,976,1384,1234,1245,1610,1597,1107,1884,1472,1316,1959,2280,886,2041,1261,1086,1154,974,1324,1080,876,1084,2010,804,946,1577,1339,1189,1419,791,981,1565,1120,1007,1014,751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.000000,1068,1056,1219,924,1159,990,947,1263,1088,1281,870,1246,1280,836,904,804,1197,1084,988,1583,1370,1245,1449,2138,1048,1314,1791,1617,1789,1003,1394,1138,866,2468,2355,1666,969,1447,3845,1831,2470,1527,2864,1176,1599,1448,2107,1447,1459,,2071,1043,2555,1653,1892,1136,1189,1533,1177,1100,1107,1675,5048,1496,2223,1392,1162,1806,2256,5352,3162,1693,1309,2844,1656,2474,1490,1302,1241,2716,3450,1529,2232,2007,1823,1221,1610,1782,3471,1117,2312,1073,2519,1481,1625,1204,866,1213,1517,5040,1397,3290,1692,1374,1189,890,1296,1406,1480,1233,1647,1134,1149,1462,1239,1389,2168,1344,1041,1196,868,1232,1498,1239,954,1240,1119,1558,1388,1533,1451,1281,2264,1318,2002,1301,1449,1130,,1917,1910,1664,1500,1452,2109,1539,1043,944,1268,2125,2926,1035,2218,1233,840,1216,1034,985,1811,2204,1597,1206,1018,1064,3254,1138,1673,939,1186,1171,2061,1473,1196,2568,964,1485,1177,1657,1211,1449,1253,,1258,1256,765,,892,1481,1459,860,2442,1021,1177,1178,2072,,,797,888,900,1351,1324,1227,1445,1757,1270,2065,1355,1369,1668,2239,839,1943,1074,1100,1215,1208,1220,983,893,1029,1990,902,1189,1384,1152,1218,1259,988,1040,1541,,,1001,807,893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.000000,1033,972,1297,1137,1218,1250,832,1460,,1428,911,1170,1317,,915,686,1123,1195,942,1629,1491,1336,1252,2178,1173,1547,1884,1298,1177,1155,1236,1372,782,2320,2016,1819,901,1728,4204,2230,2439,1392,2637,1057,1643,1412,1994,1174,1493,,2074,1105,3048,1060,1827,,,1799,1198,1245,1185,1701,4476,1515,2625,1138,1869,1907,1952,6880,2482,1334,1342,2388,1524,2566,1792,1021,1800,2983,3259,1434,2114,2602,1932,1536,1367,2285,3370,1319,2384,1194,2441,1668,2400,1507,1030,,1729,5276,1741,2852,1777,1625,1235,1088,1280,1386,1471,1321,1384,,1256,1322,1059,1363,2367,1335,1184,991,887,1370,1274,1232,1149,963,1146,1277,,1579,1360,1085,2186,1125,2150,1295,1603,1288,,2296,1686,1927,1203,1545,2158,1223,1189,1177,1649,1894,2755,1015,2376,1233,,960,999,1199,1898,1860,1912,1483,1308,995,2707,1112,1881,869,1331,1179,2431,1747,1485,3261,945,1520,1105,1675,1080,1259,1193,855,1600,1205,787,956,858,1548,1520,929,2368,876,1673,1405,3017,768,,808,962,1066,1399,1332,1356,1380,1995,1056,1599,1220,1372,1370,2207,880,2279,1215,1069,988,1104,1198,1178,1015,1251,2122,819,1250,1201,933,1355,1060,,1033,1466,,,979,937,855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.000000,881,1029,1235,848,1228,1276,,1369,,1356,904,1115,1072,884,1111,740,970,1079,,1456,1341,1545,1196,2031,1149,1156,2095,1161,1435,1247,1311,1123,865,2177,1647,1467,,1716,4064,2157,2505,1441,2581,1222,1675,1544,2331,1349,1369,,1834,1076,3070,972,1887,,1192,1268,,1228,1262,1684,4540,1532,2920,1311,,1969,1953,6086,2919,1462,1260,2736,1890,2252,1473,1197,1708,2334,3332,1530,2283,2662,1730,1262,1360,1702,3346,1376,2344,1232,3019,1770,2443,1091,942,,1799,6046,1793,2900,2435,1665,1139,939,1354,1163,1353,1158,1378,,1227,1330,1244,1297,2423,1412,1151,919,,1146,1396,1275,1078,1254,1290,1341,,1237,1278,1204,2706,1079,2488,1382,1551,1081,1261,2441,1666,1541,,1191,1840,1029,1281,1075,1541,1663,,,2206,1589,757,845,956,1040,1603,2225,1827,1361,1400,,2496,,2180,916,1309,1629,2377,1480,1617,2959,1030,1355,1095,1395,1090,1372,1222,1116,1951,1104,1052,882,1026,1497,1585,948,2268,973,1585,1305,2972,,942,818,980,1078,,1210,1234,1600,1635,1256,1973,1255,991,1625,2035,884,2553,1269,1024,1088,1317,1200,895,971,1128,2345,833,1234,1596,,1192,1115,1062,974,1380,,1118,1039,917,1042,2443,1474,1313,1162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.000000,958,1059,1428,909,1183,1119,,1491,,1459,856,1131,1180,1071,1097,1036,987,1026,1023,1807,1372,1413,1384,1936,1056,1490,2057,1248,1545,1298,1342,1245,918,2298,2040,1560,,1783,4278,2094,2735,1312,2242,1417,1477,1677,2127,1413,1447,938,1812,1088,3401,1308,1897,,1279,886,1101,1545,1069,1517,4747,,2438,1782,,1989,1853,6665,3059,1545,1382,3024,2216,2434,1645,1192,1336,1925,3418,1778,1961,2591,1889,1425,1524,1639,3441,1180,1848,1153,3069,1444,1951,1664,1216,,1642,5328,1477,2897,1509,1495,1119,1041,1225,1312,1332,1071,1485,,1177,1495,1201,1579,2063,1539,1236,1038,,1337,1266,1571,861,1313,1252,1145,,1136,1500,967,2882,1342,2700,1303,1448,1205,,1672,1874,1593,,1097,1864,1004,1380,906,1285,1698,,942,2254,1321,,852,1054,964,1887,1993,1444,1373,1332,,1938,,2610,961,1359,1357,2090,1742,1619,2773,975,1469,1142,1360,1086,1387,1314,1053,1945,1341,971,,926,1451,1353,942,,798,1104,1182,2328,781,845,771,968,1011,,1758,1243,1470,2050,1193,1996,1135,1137,1108,1973,862,2484,1145,1098,1101,1167,1293,1006,1111,1100,2275,,1166,1581,,1409,1215,,1117,1419,1177,893,1009,949,1141,2126,2327,1593,1262,974,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.000000,1026,919,1536,1095,1149,1302,,1818,,1557,1084,1211,1501,1192,1073,1061,1059,1128,1371,1604,1568,1405,1428,2481,936,1259,2504,1149,1528,1328,1142,1187,1303,1924,2313,1817,,,4417,1691,2764,1386,2884,1231,1754,1928,2237,1578,1560,842,2231,1050,3486,1319,1885,,1241,1280,1170,,1493,1490,3067,1340,3198,1754,,1866,1996,6398,3311,1192,1411,3791,2090,1909,1647,,1577,1912,3250,1168,2159,2644,1720,1106,1362,1661,3320,1197,1770,985,3333,1452,2001,1238,,,1473,3947,1454,2411,1629,1245,1511,1149,1701,1280,1610,1439,1671,,1313,1594,1242,1483,2060,1710,1212,961,791,1375,1314,2051,1083,1297,1374,1256,1312,1094,1519,1229,2582,1383,2744,1513,1604,1178,,2051,1849,2099,,1595,2328,1776,1188,1130,1514,1744,,834,1906,1147,,1090,898,1080,1823,1892,1710,1179,1153,,2356,,2365,863,1396,1227,1889,1891,1874,2658,,1345,1043,1072,,1253,1129,1073,1867,1071,968,1086,,1089,1552,870,,,1081,1197,1864,,,,775,875,,1429,1193,1407,1964,1119,1743,1335,1372,1266,1473,834,2602,1237,908,1306,1078,1012,834,1135,1203,1869,,1301,1575,,1383,1312,,,1787,1110,,1262,913,942,2351,2445,2239,1110,1075,901,945,999,1533,1156,1137,1388,1076,841,970,813,1232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.000000,1087,1209,1206,1023,1170,,,1625,,1655,715,1357,1484,1315,1179,1244,1253,1150,1207,1584,1645,1358,1189,2653,,1422,2539,1434,1586,1214,1538,1166,1052,1818,2011,1793,,,4925,2643,2486,1321,3056,1113,2216,1824,2378,1356,1358,947,2217,1167,3499,1352,1898,,1331,1315,1144,,1467,2041,3651,1100,3394,1589,,1839,1661,5980,3058,1468,1519,2861,,2256,1335,960,1256,1603,2732,1578,1484,2538,1995,1245,1356,1913,2966,1081,1710,819,2811,1657,3068,1393,,,1576,3194,1226,2426,1201,1091,1196,1036,1596,1781,1452,1268,1283,,1157,1454,1509,1752,2225,1747,1021,962,898,1421,1150,2268,1224,987,1444,1223,1500,1072,1649,1085,1935,1667,2711,1500,1764,1361,,,2103,1907,,1272,2265,1578,1201,1068,1507,1724,,876,,1242,,918,872,1071,1749,2281,1788,1089,1370,,2367,,2197,914,1189,1199,1777,2344,2251,3240,,1277,797,1244,,1161,1266,923,1596,1025,895,869,,1249,1418,818,,,,1056,1900,,835,756,890,,,1435,1555,1579,1822,,1492,1482,976,1617,1918,1182,2286,1096,932,1261,,1075,877,1122,1114,1594,,1090,1585,,1101,,,,1763,,,993,884,,2923,2081,2654,1154,908,816,1114,1153,1679,1312,1022,1427,,1021,1188,,1134,796,1280,953,1098,2098,1074,1761,1098,795,2260,1163,1116,808,912,971,746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.000000,1214,1011,1090,1082,1320,855,,1510,,1104,983,1243,1474,1038,1128,1074,1253,1001,1352,1711,1660,1647,1110,2470,,1420,2330,1491,1686,1423,1365,1497,1037,2104,2015,1914,,,4156,2321,2417,1224,2716,1428,1882,1497,2221,1285,1339,1173,1531,1165,3323,1186,1658,,1233,947,1077,,1301,2136,3747,1213,2692,1734,,1937,1777,6697,3771,1747,1523,3471,,1907,1777,1168,1206,,3292,1217,1738,2860,1819,1847,1300,1793,2870,1280,2123,1337,3255,2151,2783,2035,,,1668,2710,1239,2201,1263,1146,1093,1034,1747,1496,1554,1196,1426,,1192,1504,1278,1548,2289,1608,1089,1034,914,1354,1030,1950,1152,1434,1202,1249,1016,1124,1604,961,2369,1392,2805,1376,1633,1269,,,1761,2370,,1188,2182,1857,1209,1217,1359,1695,,,,1275,,961,1095,1193,1812,2021,2027,1402,1312,,2437,,1729,951,1143,1712,1842,2158,2077,3280,,1372,1049,1467,,1539,1159,1006,1799,1076,819,1005,,1470,1545,1038,,,,978,1860,,958,751,793,,,1259,1382,1971,1746,1220,1537,1512,1514,1597,1452,1471,2508,953,952,1319,1016,1120,887,966,1280,1842,,1230,1759,,,,990,,1718,1159,,1137,789,,3016,2159,3091,1074,816,942,,1083,1816,958,986,1444,,831,,887,1104,,1347,,1434,1648,1369,1699,1409,959,1918,1067,1184,916,1030,867,861,956,1250,997,1084,968,1292,932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
