
Intensity Center Ch=1 Img=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ==================== ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time [s],Intensity Center::1000000679,Intensity Center::1000000854,Intensity Center::1000000856,Intensity Center::1000000866,Intensity Center::1000000887,Intensity Center::1000000923,Intensity Center::1000000931,Intensity Center::1000000984,Intensity Center::1000000995,Intensity Center::1000001002,Intensity Center::1000001013,Intensity Center::1000001021,Intensity Center::1000001025,Intensity Center::1000001037,Intensity Center::1000001057,Intensity Center::1000001127,Intensity Center::1000001130,Intensity Center::1000001134,Intensity Center::1000001138,Intensity Center::1000001147,Intensity Center::1000001160,Intensity Center::1000001179,Intensity Center::1000001207,Intensity Center::1000001220,Intensity Center::1000001224,Intensity Center::1000001231,Intensity Center::1000001256,Intensity Center::1000001266,Intensity Center::1000001270,Intensity Center::1000001276,Intensity Center::1000001281,Intensity Center::1000001302,Intensity Center::1000001308,Intensity Center::1000001315,Intensity Center::1000001323,Intensity Center::1000001341,Intensity Center::1000001378,Intensity Center::1000001398,Intensity Center::1000001405,Intensity Center::1000001415,Intensity Center::1000001419,Intensity Center::1000001426,Intensity Center::1000001427,Intensity Center::1000001447,Intensity Center::1000001448,Intensity Center::1000001471,Intensity Center::1000001501,Intensity Center::1000001520,Intensity Center::1000001524,Intensity Center::1000001527,Intensity Center::1000001531,Intensity Center::1000001541,Intensity Center::1000001545,Intensity Center::1000001546,Intensity Center::1000001573,Intensity Center::1000001577,Intensity Center::1000001591,Intensity Center::1000001592,Intensity Center::1000001593,Intensity Center::1000001596,Intensity Center::1000001619,Intensity Center::1000002619,Intensity Center::1000002715,Intensity Center::1000002782,Intensity Center::1000002799,Intensity Center::1000002800,Intensity Center::1000002817,Intensity Center::1000002829,Intensity Center::1000002847,Intensity Center::1000002859,Intensity Center::1000002920,Intensity Center::1000002929,Intensity Center::1000002958,Intensity Center::1000002959,Intensity Center::1000002968,Intensity Center::1000002976,Intensity Center::1000002984,Intensity Center::1000002997,Intensity Center::1000003001,Intensity Center::1000003005,Intensity Center::1000003014,Intensity Center::1000003024,Intensity Center::1000003027,Intensity Center::1000003029,Intensity Center::1000003033,Intensity Center::1000003040,Intensity Center::1000003079,Intensity Center::1000003123,Intensity Center::1000003130,Intensity Center::1000003131,Intensity Center::1000003133,Intensity Center::1000003134,Intensity Center::1000003188,Intensity Center::1000003193,Intensity Center::1000003199,Intensity Center::1000003203,Intensity Center::1000003204,Intensity Center::1000003218,Intensity Center::1000003220,Intensity Center::1000003221,Intensity Center::1000003254,Intensity Center::1000003266,Intensity Center::1000003274,Intensity Center::1000003293,Intensity Center::1000003303,Intensity Center::1000003308,Intensity Center::1000003312,Intensity Center::1000003334,Intensity Center::1000003353,Intensity Center::1000003355,Intensity Center::1000003387,Intensity Center::1000003451,Intensity Center::1000003498,Intensity Center::1000003519,Intensity Center::1000003544,Intensity Center::1000003592,Intensity Center::1000003594,Intensity Center::1000003600,Intensity Center::1000003771,Intensity Center::1000005161,Intensity Center::1000005164,Intensity Center::1000005169,Intensity Center::1000005203,Intensity Center::1000005204,Intensity Center::1000005228,Intensity Center::1000005259,Intensity Center::1000005275,Intensity Center::1000005305,Intensity Center::1000005359,Intensity Center::1000005569,Intensity Center::1000005721,Intensity Center::1000010280,Intensity Center::1000010612,Intensity Center::1000019705,Intensity Center::1000024484,Intensity Center::1000024665,Intensity Center::1000026192,Intensity Center::1000029692,Intensity Center::1000031994,Intensity Center::1000039109,Intensity Center::1000046209,Intensity Center::1000050916,Intensity Center::1000052885,Intensity Center::1000052886,Intensity Center::1000053263,Intensity Center::1000058338,Intensity Center::1000059948,Intensity Center::1000060382,Intensity Center::1000064637,Intensity Center::1000067451,Intensity Center::1000080896,Intensity Center::1000094667,Intensity Center::1000094985,Intensity Center::1000095716,Intensity Center::1000112915,Intensity Center::1000115188,Intensity Center::1000115340,Intensity Center::1000118013,Intensity Center::1000122770,Intensity Center::1000149185,Intensity Center::1000157009,Intensity Center::1000157062,Intensity Center::1000162301,Intensity Center::1000162772,Intensity Center::1000164366,Intensity Center::1000169754,Intensity Center::1000169794,Intensity Center::1000173176,Intensity Center::1000177365,Intensity Center::1000177696,Intensity Center::1000179705,Intensity Center::1000180321,Intensity Center::1000180334,Intensity Center::1000185196,Intensity Center::1000187804,Intensity Center::1000188036,Intensity Center::1000204577,Intensity Center::1000206599,Intensity Center::1000212006,Intensity Center::1000213621,Intensity Center::1000216624,Intensity Center::1000218881,Intensity Center::1000226908,Intensity Center::1000235120,Intensity Center::1000239595,Intensity Center::1000242189
0,769,901,901,669,668,863,704,786,779,1407,867,631,1011,825,815,894,906,1182,804,810,1571,915,1814,2249,1525,864,804,2055,1325,712,951,1019,1320,851,1109,757,1376,2158,1134,1117,2043,1044,1286,1045,766,1821,1453,1658,974,1529,1027,1696,1870,669,1124,1037,1265,1963,1329,1027,752,875,693,794,631,912,842,649,866,792,722,896,698,896,961,838,1548,973,1325,1691,1478,715,792,774,874,1255,831,990,1737,1117,2088,993,1184,1885,1153,1020,1230,1136,883,971,1081,1673,1357,1085,1494,1763,1660,1106,1335,1752,911,1208,705,1361,743,751,901,1003,636,1110,773,769,938,1199,801,1031,1489,868,1187,735,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,706,903,821,,640,861,731,876,848,1572,858,704,741,646,847,889,809,1265,739,806,1589,959,1342,1685,1582,977,780,2079,1535,902,898,946,1672,860,1012,647,1813,1728,1060,1025,2241,916,1413,1095,1078,1718,1834,1521,1032,1558,857,1852,1969,655,1251,898,1145,2032,1421,799,830,928,699,887,,845,903,756,865,669,858,842,750,907,822,824,1458,999,1346,1909,1254,833,838,788,912,1156,808,976,2027,926,2173,1174,1155,1816,980,945,1058,1115,968,1161,1027,1417,1645,1003,1433,1744,1880,1467,1038,1531,771,1222,651,2868,775,729,1001,996,690,1060,863,851,875,999,897,868,1309,823,1156,728,675,677,621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,681,856,792,622,745,979,736,1065,994,1625,795,665,956,727,695,1005,768,1261,706,867,1655,710,1647,2114,1559,913,813,2019,1299,1131,901,970,1438,821,983,791,1889,2598,1159,1177,2272,1168,1211,1130,1141,1774,1663,1688,946,1550,1074,1428,1782,658,1196,945,1076,2085,1331,1182,962,909,689,955,,926,837,723,921,725,778,912,791,812,941,857,1311,1083,1178,1949,1457,935,809,878,924,999,733,992,1751,1091,1833,1217,1102,1959,1154,991,1419,954,911,984,1132,1655,1385,1058,1554,1773,2059,1514,1035,917,865,985,702,1519,755,,930,1041,619,1065,729,728,,1137,,873,1115,860,1155,764,681,846,758,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,758,924,775,633,738,795,722,874,810,1585,768,745,853,720,784,926,788,1368,790,804,1480,818,1164,1503,1196,827,748,1725,1462,856,830,918,1191,765,990,692,1464,1843,1449,1176,1675,1007,1489,1066,788,1915,1421,1746,989,1631,1069,1662,1705,732,1328,1038,1406,1662,1504,806,921,960,747,929,585,787,900,703,761,677,891,853,961,841,861,801,1185,871,1116,1614,1467,854,806,749,1021,1042,762,871,1416,955,2075,1094,1167,1892,1367,1011,1532,1029,981,985,1000,1742,1445,911,1632,1469,2208,1797,828,1212,,1203,679,1360,739,681,1080,1001,630,1022,852,772,757,1282,800,976,1369,836,938,797,768,979,639,786,767,691,863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,693,874,799,,728,753,720,687,969,1386,730,798,823,787,666,877,818,1047,,762,1520,763,1128,1512,1211,837,707,1485,1374,805,847,969,1187,726,907,692,1577,2543,1224,1172,2166,1092,1414,1023,941,2000,1500,1317,1010,1648,1098,1508,1810,711,1157,939,1180,1879,1174,792,902,933,657,943,,802,839,750,783,690,889,772,865,874,849,714,1123,917,998,1322,1399,745,804,759,899,821,700,793,1440,1001,2143,1087,964,1830,1369,1259,1025,1165,980,1449,936,1882,1588,928,1696,1674,2233,1743,1082,1467,922,1270,707,1244,821,825,896,1038,636,1009,719,755,785,1383,,1066,1478,1065,920,907,751,1067,654,776,806,723,865,688,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,651,878,844,,658,697,667,744,882,1275,694,,,649,717,849,750,1041,700,775,1064,924,1237,1115,981,,747,1667,1364,828,826,1078,1189,717,1001,758,1380,2273,1246,1110,1865,917,1289,1082,948,1769,1619,1130,881,1550,1151,1931,1951,835,1399,1060,1141,1783,928,909,770,950,616,901,,817,909,773,768,749,835,825,672,853,,,1109,934,1127,1221,1367,932,825,756,1017,946,749,883,938,1000,2120,1253,920,1796,1304,1298,1090,1138,765,1018,1121,1586,1409,969,1945,1410,2389,1976,1304,1382,965,1366,716,1300,794,728,761,927,666,1094,727,824,800,1557,821,1109,1352,952,923,864,919,1346,847,728,791,750,875,695,1386,1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,696,860,842,,665,812,845,876,861,1570,677,756,797,755,746,796,780,1107,729,891,1144,954,1110,1150,1282,857,801,1528,1683,807,866,1097,1125,783,1022,728,1464,2266,1361,1089,1826,1220,1265,1021,839,1950,1441,1242,1101,1612,1287,2091,2271,787,1152,851,1054,1570,1265,649,831,943,621,952,,845,794,785,,810,824,891,749,828,812,719,1143,1047,1112,1277,1431,896,854,,943,1066,769,893,1007,963,1976,1006,1027,1777,1299,1038,1029,1183,984,1286,937,1834,1491,1031,1585,1586,1853,1729,1418,1406,755,1290,653,1776,739,,839,1132,633,1157,1050,846,926,1716,779,1077,1171,909,880,831,700,1545,706,768,604,634,881,762,1169,,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,683,967,912,672,816,936,793,997,818,1557,840,755,772,863,811,947,750,1357,825,959,1329,909,1283,1520,1549,1117,890,1636,1563,844,811,1051,1196,889,971,765,1585,2605,1321,1166,2248,1277,1095,938,834,1933,1297,1443,1011,1571,1052,1808,1901,702,1049,1302,1146,1672,1457,1058,825,1137,797,886,,986,1000,843,,781,859,1018,862,912,1034,871,1439,1164,1249,1529,1365,899,865,687,984,1214,,973,935,1178,1687,1212,891,1420,1089,1056,1009,968,779,1329,888,1703,1353,968,1434,1425,2030,1890,1010,1296,,1059,591,,848,,,1149,,887,968,783,805,1403,,1098,1057,801,972,,665,1199,805,,,,922,691,1120,1043,1190,690,826,946,1605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,737,799,796,634,776,958,766,955,940,1585,708,896,860,694,664,915,821,1414,,966,1482,743,1498,1567,1896,1127,850,1864,1736,817,876,1124,1486,815,929,718,1349,2270,1289,894,2202,1131,1341,1086,861,1662,1067,1109,1070,1393,971,1809,1803,836,949,1044,,2085,1326,1125,813,1050,673,1138,,930,1138,711,735,739,816,890,751,961,985,725,1287,921,1287,1543,1383,1160,808,717,976,1228,,886,1047,1406,1677,1134,1131,1720,1319,1042,907,1178,956,919,938,1739,1298,1003,1442,1741,2183,1734,,1506,,1211,699,,820,,,1074,,970,729,893,911,1316,,1097,1222,872,972,,,1606,803,632,,,711,892,,858,1501,634,799,,1206,1308,810,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,661,794,753,673,686,715,758,843,953,,773,771,767,769,656,1046,872,1229,,932,1342,773,1439,1456,1392,899,886,1719,1786,765,969,1097,1452,890,1007,665,1268,2217,1046,1295,2488,1098,1197,1004,,1505,1387,1385,1110,1577,1449,1668,2114,741,933,1152,,1625,1210,1125,932,1073,705,960,,1048,1034,716,,694,812,913,651,952,1064,711,1489,931,1278,1521,1492,856,,737,903,1158,,977,1138,1536,2175,1278,1098,1502,902,1439,995,1140,883,1045,941,1430,1330,964,1854,1580,2520,1712,,1693,,1364,740,,846,,,1068,,1126,759,874,851,1382,,1166,1115,944,905,,674,1194,1046,603,,790,850,844,,831,1439,752,981,,990,1266,,682,1185,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
