
Intensity Center Ch=1 Img=1
 ==================== 
Time [s],Intensity Center::1000000183,Intensity Center::1000000206,Intensity Center::1000000209,Intensity Center::1000000219,Intensity Center::1000000238,Intensity Center::1000000239,Intensity Center::1000000242,Intensity Center::1000000249,Intensity Center::1000000250,Intensity Center::1000000251,Intensity Center::1000000252,Intensity Center::1000000259,Intensity Center::1000000265,Intensity Center::1000000276,Intensity Center::1000000279,Intensity Center::1000000286,Intensity Center::1000000288,Intensity Center::1000000291,Intensity Center::1000000292,Intensity Center::1000000301,Intensity Center::1000000303,Intensity Center::1000000305,Intensity Center::1000000306,Intensity Center::1000000308,Intensity Center::1000000309,Intensity Center::1000000311,Intensity Center::1000000312,Intensity Center::1000000313,Intensity Center::1000000316,Intensity Center::1000000318,Intensity Center::1000000321,Intensity Center::1000000322,Intensity Center::1000000326,Intensity Center::1000000327,Intensity Center::1000000332,Intensity Center::1000000333,Intensity Center::1000000335,Intensity Center::1000000339,Intensity Center::1000000343,Intensity Center::1000000344,Intensity Center::1000000345,Intensity Center::1000000348,Intensity Center::1000000351,Intensity Center::1000000352,Intensity Center::1000000353,Intensity Center::1000000358,Intensity Center::1000000359,Intensity Center::1000000360,Intensity Center::1000000362,Intensity Center::1000000365,Intensity Center::1000000368,Intensity Center::1000000369,Intensity Center::1000000370,Intensity Center::1000000372,Intensity Center::1000000376,Intensity Center::1000000383,Intensity Center::1000000384,Intensity Center::1000000388,Intensity Center::1000000390,Intensity Center::1000000393,Intensity Center::1000000665,Intensity Center::1000000668,Intensity Center::1000000672,Intensity Center::1000000677,Intensity Center::1000000701,Intensity Center::1000000703,Intensity Center::1000000705,Intensity Center::1000000747,Intensity Center::1000000751,Intensity Center::1000000764,Intensity Center::1000000777,Intensity Center::1000000783,Intensity Center::1000000795,Intensity Center::1000000805,Intensity Center::1000000808,Intensity Center::1000000811,Intensity Center::1000000812,Intensity Center::1000000815,Intensity Center::1000000820,Intensity Center::1000000827,Intensity Center::1000000828,Intensity Center::1000000829,Intensity Center::1000000831,Intensity Center::1000000835,Intensity Center::1000000838,Intensity Center::1000000839,Intensity Center::1000000851,Intensity Center::1000000856,Intensity Center::1000000858,Intensity Center::1000000861,Intensity Center::1000000868,Intensity Center::1000000882,Intensity Center::1000000883,Intensity Center::1000000895,Intensity Center::1000000899,Intensity Center::1000000902,Intensity Center::1000000903,Intensity Center::1000000917,Intensity Center::1000000984,Intensity Center::1000001144,Intensity Center::1000001164,Intensity Center::1000001240,Intensity Center::1000001247,Intensity Center::1000001702,Intensity Center::1000001725,Intensity Center::1000002255,Intensity Center::1000002297,Intensity Center::1000002627,Intensity Center::1000002683,Intensity Center::1000003746,Intensity Center::1000003764,Intensity Center::1000003854,Intensity Center::1000004657,Intensity Center::1000005254,Intensity Center::1000005405,Intensity Center::1000010520,Intensity Center::1000010831,Intensity Center::1000012126,Intensity Center::1000012135,Intensity Center::1000012150,Intensity Center::1000012159,Intensity Center::1000012531,Intensity Center::1000012743,Intensity Center::1000013521,Intensity Center::1000013522,Intensity Center::1000013528,Intensity Center::1000013553,Intensity Center::1000013567,Intensity Center::1000013577,Intensity Center::1000013658,Intensity Center::1000013739,Intensity Center::1000013978,Intensity Center::1000014132,Intensity Center::1000014242,Intensity Center::1000014598,Intensity Center::1000015068,Intensity Center::1000015205,Intensity Center::1000015215,Intensity Center::1000015222,Intensity Center::1000015234,Intensity Center::1000015570,Intensity Center::1000015592,Intensity Center::1000015593,Intensity Center::1000015596,Intensity Center::1000015757,Intensity Center::1000015862,Intensity Center::1000016580,Intensity Center::1000016627,Intensity Center::1000017053,Intensity Center::1000017080,Intensity Center::1000017113,Intensity Center::1000017169,Intensity Center::1000017195,Intensity Center::1000017201,Intensity Center::1000017230,Intensity Center::1000017266,Intensity Center::1000017599,Intensity Center::1000017624,Intensity Center::1000018164,Intensity Center::1000018187,Intensity Center::1000018501,Intensity Center::1000018703,Intensity Center::1000018787,Intensity Center::1000018835,Intensity Center::1000018861,Intensity Center::1000019600,Intensity Center::1000019670,Intensity Center::1000019700,Intensity Center::1000019719,Intensity Center::1000019783,Intensity Center::1000020319,Intensity Center::1000020355,Intensity Center::1000021182,Intensity Center::1000021283,Intensity Center::1000021341,Intensity Center::1000021372,Intensity Center::1000021670,Intensity Center::1000021769,Intensity Center::1000021906,Intensity Center::1000021944,Intensity Center::1000022005,Intensity Center::1000022301,Intensity Center::1000022336,Intensity Center::1000022707,Intensity Center::1000022889,Intensity Center::1000022961,Intensity Center::1000022967,Intensity Center::1000022984,Intensity Center::1000022994,Intensity Center::1000023312,Intensity Center::1000023488,Intensity Center::1000023547,Intensity Center::1000023593,Intensity Center::1000023611,Intensity Center::1000024500,Intensity Center::1000024936,Intensity Center::1000025080,Intensity Center::1000025106,Intensity Center::1000026118,Intensity Center::1000026185,Intensity Center::1000026746,Intensity Center::1000026806,Intensity Center::1000026845,Intensity Center::1000026861,Intensity Center::1000026916,Intensity Center::1000027028,Intensity Center::1000027270,Intensity Center::1000027815,Intensity Center::1000027818,Intensity Center::1000027830,Intensity Center::1000027850,Intensity Center::1000027891,Intensity Center::1000028432,Intensity Center::1000028445,Intensity Center::1000028507,Intensity Center::1000029525,Intensity Center::1000030004,Intensity Center::1000030015,Intensity Center::1000030070,Intensity Center::1000030173,Intensity Center::1000030458,Intensity Center::1000031718,Intensity Center::1000032640,Intensity Center::1000032697,Intensity Center::1000032821,Intensity Center::1000032824,Intensity Center::1000033473,Intensity Center::1000033832,Intensity Center::1000034384,Intensity Center::1000034488,Intensity Center::1000034492,Intensity Center::1000035035,Intensity Center::1000035036,Intensity Center::1000035060,Intensity Center::1000035131,Intensity Center::1000035171,Intensity Center::1000035197,Intensity Center::1000035280,Intensity Center::1000036663,Intensity Center::1000036694,Intensity Center::1000036788,Intensity Center::1000038250,Intensity Center::1000038451,Intensity Center::1000040237,Intensity Center::1000040960,Intensity Center::1000041128,Intensity Center::1000041702,Intensity Center::1000041822,Intensity Center::1000042114,Intensity Center::1000042176,Intensity Center::1000043437,Intensity Center::1000044426,Intensity Center::1000045165,Intensity Center::1000045395,Intensity Center::1000045927,Intensity Center::1000046677,Intensity Center::1000046684,Intensity Center::1000048307,Intensity Center::1000049897,Intensity Center::1000050012,Intensity Center::1000050778,Intensity Center::1000051540,Intensity Center::1000053120,
0.000000,1171,1304,1129,1509,1985,1624,1470,1227,1208,1333,1714,1381,1948,1799,3567,1809,1571,2056,1265,1832,1425,1818,2022,4571,1663,3175,1196,3708,1919,1651,1511,1511,2756,2409,1825,2196,1608,2297,3918,1611,2333,2770,1249,2250,3903,3810,1766,2254,2953,3539,2026,2287,1244,3518,1451,1327,1614,2553,3553,2197,1485,1707,1799,1328,1468,1383,1190,1083,1711,1492,1491,1765,1680,3091,1739,2066,2621,1221,1213,1953,2292,1458,2506,971,2205,2134,2070,2182,1604,1186,1123,1759,1043,1086,2548,1963,1427,893,1062,1324,1536,1424,1153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.000000,1018,1405,1258,1523,2241,1354,1328,1168,1100,1310,1709,1539,1649,1634,3168,1514,,2296,1249,1444,1553,1800,2302,4081,1507,2564,1274,2994,1903,1432,1583,1774,2844,2238,2005,2077,1791,1886,3769,1520,2154,2094,1237,1913,3812,4059,1905,2433,3177,3348,2204,2585,1479,2987,1343,,1334,2605,2905,1989,1352,1454,1594,1285,1267,1473,1182,1141,1488,1680,1189,1674,1554,1996,1595,2187,2485,1718,1236,1647,2174,1556,2190,1078,1906,2133,1704,1159,1851,1329,1268,1833,1393,1336,2768,1815,1493,1199,1100,1275,1649,1492,1690,1938,1482,1291,1404,1242,1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.000000,1237,1243,1237,1585,2236,1320,1441,1295,1133,1104,1758,1465,1645,1483,2830,1518,,2211,1072,1589,1495,2292,2175,3972,1896,2522,1102,2761,1760,1946,1781,1781,3045,2383,1662,2101,1815,1798,3945,1580,2004,2172,1167,2085,3258,5411,1679,2076,2705,3649,2177,2526,1301,2897,1490,1491,1531,2289,3834,2661,1725,1426,1351,1251,1262,1347,1242,1111,1472,1461,1476,1716,1525,1490,1746,2221,1864,1328,1277,1870,2215,,2575,1032,2079,2065,1913,1196,1947,1394,1114,2130,1363,1233,3070,2249,1527,1276,,1173,1339,1507,1721,1707,1754,872,2171,,1124,1414,1344,1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.000000,1279,1404,1177,1578,1997,1324,1401,1469,1300,1307,1505,1382,1476,1457,2361,1453,1368,1815,1207,1546,1785,2434,1744,3674,1690,2357,1029,2548,2101,1590,1856,2317,3421,2422,1515,2036,1637,1425,4406,1469,1254,2462,1315,2165,3271,4172,1234,2164,2636,3872,1977,2655,1443,3139,1377,1306,1552,2550,3264,2779,1546,1320,1484,1320,1198,1506,,1095,1718,1587,1403,1517,1409,2149,1829,2308,2084,1191,1271,1783,2278,,2420,968,2566,2459,1778,1399,2421,1530,1059,2089,1271,1375,3565,2330,1582,1177,1154,1041,1405,1358,1489,1843,1590,1482,1835,1410,1134,1190,1318,1390,1631,801,1422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.000000,1173,1357,1182,1635,1996,1351,1579,1172,1294,1154,1571,1523,1506,1595,2568,1266,,2033,1361,1415,1644,2072,1393,3606,1617,2634,1031,2110,1522,,2203,2028,3307,2675,1799,2202,1860,1617,3205,1566,2200,2169,1235,1994,3672,4252,1392,2283,2940,4592,2038,2883,1109,3659,1609,1484,1415,2120,4020,2626,1330,1139,1419,1182,1362,1239,,1030,1960,1294,1168,1452,1219,1472,1847,1987,2094,,1231,2080,2245,1483,2672,1045,2475,2434,2005,1273,2349,1607,1023,2389,,1302,2352,2705,1576,1483,,1246,1314,1252,1494,1790,1761,1625,1627,1313,1189,1525,1410,1412,1377,921,1672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.000000,1194,1207,1119,1498,1780,1350,1269,1428,1557,,1739,1410,1255,1636,2728,1299,,1864,1280,1464,1325,2264,1549,3790,1608,2807,1396,2855,1562,,1736,2082,3928,2318,1814,2168,1792,1620,3526,1365,1845,2051,1226,2499,2910,3629,1869,2239,2293,4121,2176,2963,1648,2993,1323,1393,1777,2075,3304,2960,1623,1077,1390,1173,1274,1111,1283,1205,1776,1484,1278,1579,,1738,1934,2087,1914,,1372,1702,2226,,2894,992,2103,2456,1648,1206,2072,1610,1157,2329,,1496,2276,2592,1574,1518,1022,1063,1335,,1294,1453,,1272,1985,1315,1161,1236,1508,1415,,967,1780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.000000,1231,1264,1131,1801,1876,1612,1937,1376,1511,,1776,1274,1657,1440,2812,1360,,2083,1306,1464,1593,2220,1280,4180,1788,2718,1372,2558,1513,,2171,1838,3205,2763,1837,2101,1975,1493,3190,1436,1815,2237,1282,1944,3277,4767,1204,1596,2108,3169,2450,2530,1759,1241,1422,1190,1699,2205,2733,2708,1446,1308,1510,1194,1353,1096,1288,1083,1824,1358,1335,1420,,2747,2244,2342,1945,1490,1361,1331,2310,,2312,,2177,2274,2064,1127,2501,1386,977,1497,,1614,2817,2470,1559,1360,916,935,1398,1351,,1612,,1510,1927,,1086,1382,1303,1254,1478,1058,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.000000,1114,1411,1096,1825,1926,1625,2053,1429,1390,1297,1550,1393,,1461,2628,1197,,1923,1219,,1588,2135,974,4558,1606,2800,1121,2765,1444,,1921,1712,3134,2722,2171,2193,1821,1596,3237,1417,1786,2095,1297,1913,3413,3859,1621,1781,3165,3738,2138,2289,1633,,1608,1351,,2240,3568,3161,1371,1041,1500,1292,1412,1357,1365,1136,1469,1431,1408,1389,,2546,2357,2202,2167,1416,1171,1953,2194,1440,2478,,2410,1865,2377,1340,1983,1554,1106,1396,,1272,2658,2246,1292,1245,,977,1313,1210,,1469,,1551,1844,,1124,1018,1428,,,906,1702,1966,1196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.000000,1188,1439,1219,1557,2091,1596,2077,1215,1297,1273,1854,1312,1451,1900,2857,1231,,1851,1108,1289,1593,2056,956,4458,1692,2682,1441,2720,1440,,1955,,3293,2920,2138,2270,1948,1607,3624,1232,1882,1990,1263,1702,3253,4419,1674,2001,2684,3748,2381,2544,1843,,,,1595,2315,3092,2548,1490,1215,1593,1183,1429,1255,1237,1164,1728,1625,1284,1387,,2911,2138,2788,1952,1492,1251,1689,2002,1514,2198,,2431,2147,1798,1175,1931,1758,,1543,,1320,2350,2434,1269,1207,,959,1185,1193,,1897,1489,1816,2059,,1110,1454,,,,1118,1741,1435,1333,1269,980,1504,1688,1188,1095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.000000,1129,1639,1325,1824,1980,1752,2089,1588,1457,1183,1615,1315,1862,2290,2953,1524,,2203,,1209,1670,2345,984,4882,1748,2653,1482,3217,1585,,2017,,3082,2593,1777,2472,2101,2065,3546,1165,1996,2559,1470,1876,2912,3961,1605,2021,2557,3728,2064,2822,1480,,,1272,1500,2975,2877,2534,1984,1421,1323,1404,1709,1513,1394,1297,1634,1569,,1660,,3136,2286,2450,2144,1778,1090,2228,1969,1190,3101,,2071,,1775,1366,1522,1852,,1404,,1438,2272,2184,1198,1325,,904,1149,1383,,1828,,1494,1545,,1117,,,,1673,1173,,1356,1416,1354,915,1467,1447,1506,1298,1170,1056,922,1134,1028,1396,1704,1442,1049,1289,2134,1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
